Gene = mfr
index = 1789
Annotated 5SS: [ 794 1225 1407 1650 2148 3459 3684 4950 5148 5607 5853 6254 6413]
Annotated 3SS: [ 865 1282 1471 1698 2199 3511 3736 5010 5424 5731 5962 6311 6476]
SMsplice 5SS: [ 348  794 1225 1650 2148 3459 3684 4950 5148 5607 5883 6254 6413]
SMsplice 3SS: [ 460  865 1282 1698 2199 3511 3736 5010 5424 5731 5962 6311 6528]
top_k =  100
Partition function (log Z): 13.98926424120465

Sorted 5' Splice Sites (High to Low Probability):
Position 6254: 0.9862117458997522
Position 1225: 0.9564672532476303
Position 3684: 0.9520505944189881
Position 794: 0.9386527735248984
Position 5148: 0.8927380972669682
Position 4950: 0.86685813984446
Position 5607: 0.8573432129212272
Position 2148: 0.8195397891900198
Position 3459: 0.8135390906268798
Position 1650: 0.7418531439713758
Position 6413: 0.7292642078057874
Position 5883: 0.5973278571433118
Position 348: 0.5925934084662108
Position 5853: 0.386228820381972
Position 1407: 0.2737160382998095
Position 5518: 0.09534734449325404
Position 291: 0.08949627591203181
Position 282: 0.08353269795188878
Position 5167: 0.04172354906563085
Position 359: 0.03857756250280414
Position 1196: 0.0374526263965437
Position 1386: 0.03721229041037439
Position 715: 0.028131699976744598
Position 199: 0.027487406825567842
Position 248: 0.026714106205669767
Position 362: 0.020619969647814228
Position 295: 0.019293131001095386
Position 2105: 0.013353343146523122
Position 6132: 0.012964173764786518
Position 1318: 0.012905181710832343
Position 3468: 0.012472919209429183
Position 6103: 0.010079240259562075
Position 796: 0.0067713089535050485
Position 93: 0.006482266736052106
Position 415: 0.004364413119916838
Position 4461: 0.0038411425625967657
Position 5877: 0.003115806795896298
Position 6112: 0.0028350629780175027
Position 1351: 0.002107593274234612
Position 692: 0.0013928458311282261
Position 3923: 0.0011674238067321523
Position 1391: 0.0010764185787549938
Position 184: 0.0009428604647124981
Position 6210: 0.0008892147882003787
Position 6260: 0.0006381019138723138
Position 719: 0.0006079248257824769
Position 268: 0.0004398159717984635
Position 965: 0.0002939291160895629
Position 815: 0.00024757224052835146
Position 800: 0.00019750074794032193
Position 962: 0.00013537116238974606
Position 888: 0.00011361860381161137
Position 946: 0.00010292092705543578
Position 115: 9.676554217957363e-05
Position 1189: 7.071381045899355e-05
Position 101: 6.167794845082294e-05
Position 131: 5.901483977224226e-05
Position 528: 5.75631879531765e-05
Position 1229: 4.81155272267791e-05
Position 1237: 4.4760107600682784e-05
Position 993: 1.0922854823177928e-06
Position 48: 2.459803368393713e-07
Position 5: 1.4908158216011935e-07
Position 156: 9.947759026163213e-08
Position 134: 4.901226526210362e-08
Position 642: 1.0334859122482151e-08
Position 698: 4.2209382114463445e-09
Position 66: 7.060657093312384e-10
Position 21: 1.7924578506097556e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 5424: 0.9894362456539537
Position 3511: 0.988485174391481
Position 5962: 0.9768695469687175
Position 865: 0.9640667318711685
Position 6311: 0.9413011973042471
Position 5010: 0.8587760719644622
Position 5731: 0.8457084099487123
Position 2199: 0.8353661481380503
Position 460: 0.810538869846534
Position 1282: 0.6917529373806481
Position 6528: 0.5751788268162855
Position 3736: 0.5663848996308488
Position 1698: 0.4817491407563883
Position 1471: 0.4562950604110913
Position 3754: 0.16691810943998162
Position 6476: 0.15481439765522254
Position 4336: 0.11890699882078878
Position 1811: 0.09360863249080942
Position 5790: 0.08443954021617624
Position 1455: 0.07460246480657219
Position 641: 0.06847841082269789
Position 1450: 0.05952934603584844
Position 3807: 0.044544742954687355
Position 1266: 0.034417344196485546
Position 6479: 0.027175004434191952
Position 6034: 0.022229090739360868
Position 6323: 0.019730342081181976
Position 415: 0.017747221656832325
Position 6175: 0.016280952180104627
Position 5678: 0.014129786874116222
Position 597: 0.011756010313604593
Position 993: 0.006525532958186844
Position 1318: 0.004643084884223883
Position 6181: 0.004382282961097249
Position 5446: 0.003661058279388798
Position 773: 0.002962657636961706
Position 6151: 0.002420885415841893
Position 3746: 0.0022888215371018304
Position 3804: 0.00210859906792149
Position 6302: 0.0015978585618069143
Position 464: 0.0012550223908680172
Position 1027: 0.0011676729375518149
Position 5208: 0.0010796049522330355
Position 5687: 0.0010788592736583214
Position 2250: 0.0009635730376306763
Position 1129: 0.0006727873880969267
Position 1006: 0.0006567889711721777
Position 1367: 0.0005442236474164451
Position 168: 0.00019020413488723547
Position 965: 0.00016079108717072626
Position 557: 0.00014882236661370668
Position 525: 0.00011116646729039133
Position 268: 5.143168368011566e-05
Position 248: 5.044835236850476e-05
Position 198: 5.5249261893361334e-06
Position 3867: 3.011885676053746e-06
Position 328: 1.9137099472679413e-06
Position 228: 7.818146342035891e-07
