Gene = CycJ
index = 1114
Annotated 5SS: [195 445 945]
Annotated 3SS: [257 521 997]
SMsplice 5SS: [195 945]
SMsplice 3SS: [ 257 1004]
top_k =  100
Partition function (log Z): -5.620190913802258

Sorted 5' Splice Sites (High to Low Probability):
Position 945: 0.9066520655571152
Position 195: 0.8817607553809013
Position 445: 0.2881019855378114
Position 503: 0.01786041538098337
Position 1297: 0.009083523049945096
Position 1063: 0.005484378715512244
Position 207: 0.004561707678289319
Position 454: 0.002014128477758311
Position 1134: 0.0017090998738094924
Position 1096: 0.0007702094511943822
Position 1083: 0.0007059751957931369
Position 969: 0.0006595972803258473
Position 940: 0.0005273079028036872
Position 189: 0.00021551909324456271
Position 6: 0.0001254585838863592
Position 694: 0.0001254199981654682
Position 545: 0.00010879676218703715
Position 489: 9.813521564481596e-05
Position 430: 4.672735741559032e-05
Position 37: 1.6449715318768846e-05
Position 21: 1.252718447655549e-05
Position 78: 6.5988005428525335e-06
Position 60: 3.3566075011598967e-06
Position 239: 3.0658597987055516e-06
Position 150: 1.0443459248023012e-06
Position 254: 1.0349880352098498e-06
Position 123: 9.459362057422984e-07
Position 147: 5.859196970404802e-07
Position 55: 4.055548798703319e-07
Position 835: 3.2638646053621015e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 257: 0.8697003177265734
Position 1004: 0.5282556126359453
Position 997: 0.3649037578244312
Position 608: 0.16128747368605426
Position 521: 0.07379122518171324
Position 811: 0.038661219259036414
Position 1179: 0.02570314657511122
Position 651: 0.020431516734239607
Position 1369: 0.009956129099051601
Position 786: 0.008765368755165308
Position 762: 0.006006103790452299
Position 362: 0.005730436559108281
Position 1326: 0.002190288983144578
Position 1054: 0.0020796675087332277
Position 616: 0.001962292906837287
Position 1206: 0.000611259375747352
Position 316: 0.00028271253345686745
Position 269: 0.00011896877568336622
Position 87: 9.493205139767806e-05
Position 910: 5.312593871156259e-05
Position 60: 4.932365637757216e-05
Position 119: 1.0845616529747433e-05
Position 324: 9.906470592583793e-06
Position 116: 1.216024405861506e-06
Position 137: 5.743041571582642e-07
Position 186: 5.801638576663505e-08
Position 409: 5.3807485037677586e-08
Position 167: 8.929991946555522e-09
Position 183: 3.380402098572932e-09
Position 134: 9.81991413589331e-10
Position 123: 7.027152148683601e-10
