Gene = cutlet
index = 1660
Annotated 5SS: [1012 1647 1932 2115 2274 2473 2771 3258 3451 3734 4233]
Annotated 3SS: [1066 1702 1997 2170 2332 2535 3081 3316 3512 4168 4293]
SMsplice 5SS: [1012 1647 1875 2115 2274 2473 2771 3258 3451 3734 4233]
SMsplice 3SS: [1066 1702 1997 2170 2332 2535 3081 3316 3512 4168 4293]
top_k =  100
Partition function (log Z): 27.51121271837756

Sorted 5' Splice Sites (High to Low Probability):
Position 2115: 0.9948915774507041
Position 4233: 0.9943833780424591
Position 2473: 0.9938145671625769
Position 3451: 0.9924554379549804
Position 3258: 0.9708576762623992
Position 1012: 0.9705800095228433
Position 1647: 0.9317014596094229
Position 2771: 0.8001298218865563
Position 3734: 0.6987893685650608
Position 2274: 0.6280159541728345
Position 1879: 0.20574155969537958
Position 2284: 0.20517418624198147
Position 2242: 0.15273932949186647
Position 2970: 0.11895710938037991
Position 1919: 0.09424258349363235
Position 2673: 0.06858666882462384
Position 1350: 0.02439541054462766
Position 781: 0.022812979388730423
Position 580: 0.021647941493104974
Position 2944: 0.013177388213348257
Position 1896: 0.007737203358364015
Position 1777: 0.005557995163764439
Position 2692: 0.005420119261012867
Position 1670: 0.004807176062790126
Position 1888: 0.0047520924520186286
Position 2697: 0.0046525277471654945
Position 1289: 0.004557959715665927
Position 4037: 0.0042397707300962754
Position 971: 0.003721742039427144
Position 2255: 0.003355522949982421
Position 2457: 0.003304526612569839
Position 34: 0.003023056421398105
Position 4237: 0.0024947248322478373
Position 1473: 0.0023286136971830762
Position 222: 0.0023024917576324965
Position 2080: 0.002232101472887152
Position 889: 0.002051326644409433
Position 1234: 0.0019994086087963816
Position 1448: 0.0018804891542822913
Position 2119: 0.0017329630303440531
Position 28: 0.0015128817010644586
Position 2444: 0.001366069327716327
Position 63: 0.001358344124286472
Position 1962: 0.0013351976290856028
Position 3969: 0.001251501181860579
Position 1042: 0.0012073695510627228
Position 1640: 0.0011692577522303279
Position 2677: 0.001038668720702807
Position 2435: 0.0010064861769802343
Position 1159: 0.0007989178467194282
Position 454: 0.0006680841638654937
Position 1023: 0.0006442935052147931
Position 1050: 0.000641601516458469
Position 3947: 0.0004896448054408179
Position 3812: 0.0004797373990543165
Position 3606: 0.0004636365483942677
Position 1607: 0.0004537536606874091
Position 2483: 0.0004229526617060538
Position 584: 0.0003644080385021064
Position 1247: 0.00033664192232217273
Position 2620: 0.00032558552382305566
Position 1016: 0.0003213410350448637
Position 2639: 0.0003115409078706258
Position 415: 0.00030200637246668207
Position 2683: 0.0002839174971835006
Position 374: 0.0002823873120971092
Position 2090: 0.00028188391213705406
Position 955: 0.00024006492756001345
Position 2253: 0.0002255812691664224
Position 3262: 0.0001961388528579241
Position 2246: 0.00018641667518645502
Position 2602: 0.00016294464315085608
Position 828: 0.00010749342972097537
Position 3354: 9.628133087776412e-05
Position 3348: 9.197272718167863e-05
Position 952: 8.706263955152686e-05
Position 595: 5.6419702373796836e-05
Position 3455: 3.925835174228783e-05
Position 4371: 3.455701605667372e-05
Position 2447: 3.230743681447322e-05
Position 1518: 1.930544066258091e-05
Position 4359: 1.8661908134789722e-05
Position 4328: 1.5470989504322358e-05
Position 2410: 6.841378838159889e-06
Position 4345: 3.5871698083128397e-06
Position 446: 8.184213220738791e-07
Position 2426: 6.027177863733363e-07
Position 2414: 5.240871415531111e-07
Position 369: 5.010479973885586e-07
Position 213: 4.4981413072044284e-07
Position 2375: 2.574182882935622e-07
Position 465: 2.532016063254945e-07
Position 2393: 2.244901344696086e-07
Position 61: 1.4043565572344107e-07
Position 73: 6.972517022206594e-08
Position 283: 2.9281337014599623e-08
Position 3238: 2.307867877799601e-08

