Gene = Capr
index = 1053
Annotated 5SS: [ 694 1835 2057]
Annotated 3SS: [1651 1889 2135]
SMsplice 5SS: [ 694 1835]
SMsplice 3SS: [1651 2135]
top_k =  100
Partition function (log Z): -7.245108646463252

Sorted 5' Splice Sites (High to Low Probability):
Position 694: 0.9838054040288768
Position 1835: 0.9826490899948996
Position 2057: 0.20018033864082072
Position 1191: 0.02687102707411224
Position 2054: 0.0225308884038418
Position 1480: 0.00857435542981564
Position 2179: 0.006444815080242556
Position 1211: 0.006255145975577533
Position 445: 0.00487062009441352
Position 2306: 0.0037148953264147595
Position 1363: 0.0034307031830744634
Position 2021: 0.001902948432330949
Position 1980: 0.0015174697142643833
Position 1280: 0.0014842318690853995
Position 1413: 0.0007953393485815603
Position 1136: 0.0006700913337867197
Position 700: 0.0006263782724248883
Position 2240: 0.0004551144556366004
Position 2247: 0.0003617063664990606
Position 710: 0.0003178747716416267
Position 951: 0.0002072402789443843
Position 440: 3.3983433728304225e-05
Position 944: 3.069123487344108e-05
Position 400: 3.1069816129703794e-06
Position 97: 1.1299455238615225e-06
Position 1764: 9.861432446793561e-07
Position 237: 7.159059385617521e-07
Position 600: 6.335809547091278e-07
Position 1843: 5.008336490513835e-07
Position 698: 4.2545562394698517e-07
Position 274: 4.127339806138493e-07
Position 104: 3.541471883679706e-07
Position 171: 2.1055989516979743e-07
Position 234: 8.134302610419478e-08
Position 598: 6.582862630491875e-08
Position 779: 1.5239010810277112e-08
Position 769: 2.4532720321834192e-09
Position 652: 2.011645517972357e-09
Position 771: 6.318012338350524e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 1651: 0.9377945374333245
Position 2135: 0.7373114936958554
Position 1889: 0.2636222975142343
Position 4646: 0.05241679439995266
Position 4366: 0.025832792058882913
Position 1681: 0.022364008246293608
Position 1015: 0.021145474441947514
Position 1001: 0.020285018320967935
Position 2295: 0.020271049808103517
Position 843: 0.015889267473637805
Position 3012: 0.015861720946664222
Position 4686: 0.015515896938247994
Position 1904: 0.01414402567857842
Position 4610: 0.014091520825209675
Position 2292: 0.011706532299099062
Position 4682: 0.010750484093989657
Position 3168: 0.010584897444708346
Position 1949: 0.004809267820603933
Position 3402: 0.0047494544379951004
Position 3399: 0.004170011663791773
Position 5147: 0.00413831573302088
Position 2205: 0.0034133072221033942
Position 1605: 0.003291587513743161
Position 3171: 0.003271229040574952
Position 1925: 0.002767201343334762
Position 1686: 0.002568521995256368
Position 3574: 0.0021783814359576208
Position 1261: 0.0018235097268423637
Position 1104: 0.0016305894457760099
Position 1250: 0.001521896578107746
Position 1035: 0.0011005417823018013
Position 869: 0.0009986720470945897
Position 501: 0.0008729146707192354
Position 1577: 0.0007213350695659186
Position 1273: 0.0006344083495232897
Position 1539: 0.0005554525294492503
Position 2202: 0.000519385857332116
Position 827: 0.00039733553477257764
Position 2105: 0.00032848062774829044
Position 1279: 0.0003093722450521764
Position 1051: 0.00024066006694912237
Position 1146: 0.00023355813472126895
Position 1368: 0.00017924983220294786
Position 1515: 0.0001625854307521705
Position 622: 0.0001600024859990965
Position 1305: 0.0001269032886511918
Position 876: 0.00012032925122455569
Position 1413: 8.819817862131236e-05
Position 645: 6.852557939323297e-05
