Gene = trc
index = 1919
Annotated 5SS: [ 695 1371 1535 2077]
Annotated 3SS: [1160 1427 1591 2133]
SMsplice 5SS: [ 695 1371 1535 2077]
SMsplice 3SS: [1160 1427 1591 2133]
top_k =  100
Partition function (log Z): 9.492090070922162

Sorted 5' Splice Sites (High to Low Probability):
Position 1371: 0.9986839941153168
Position 1535: 0.996329123605011
Position 2077: 0.9899856466165547
Position 695: 0.9370765157376156
Position 1270: 0.143870706148553
Position 1748: 0.03447068902515547
Position 737: 0.02206304011276169
Position 664: 0.020801819903273233
Position 1081: 0.008255371083083005
Position 2211: 0.00807509380069404
Position 2754: 0.005992746352948643
Position 1689: 0.004018942837072323
Position 3214: 0.0037255516910547543
Position 2280: 0.0032342336624554585
Position 1727: 0.0030863895981322774
Position 296: 0.0024440884928429267
Position 3031: 0.0023071886520738202
Position 1259: 0.0022701144917895806
Position 530: 0.002201078263408818
Position 2525: 0.002149166295246434
Position 2016: 0.0020356013247979717
Position 2482: 0.0016727214169877207
Position 2081: 0.0014336561435530754
Position 90: 0.0013569927029332878
Position 2158: 0.0012906266744869802
Position 88: 0.0011795148787039926
Position 679: 0.000977540676237629
Position 671: 0.000885072523363015
Position 1526: 0.0007598331496028345
Position 741: 0.0006276103989539283
Position 2906: 0.0006141606328541722
Position 1812: 0.0005260671990724454
Position 477: 0.0005215090527479425
Position 623: 0.0005186080182674708
Position 1987: 0.0004115321355267184
Position 1659: 0.00040129826098059403
Position 1070: 0.0003931399028229265
Position 3233: 0.0003807119162681128
Position 761: 0.0003347294995204525
Position 565: 0.0002971228090914623
Position 185: 0.0002614014675742534
Position 525: 0.0002579877437864205
Position 1740: 0.0002554976814513621
Position 614: 0.00022613529174228842
Position 1025: 0.0001956119599925177
Position 1730: 0.0001733083520232621
Position 668: 0.00017242337774307526
Position 1946: 0.0001638177943009828
Position 753: 0.00016185863501928262
Position 578: 0.0001559231335992306
Position 243: 0.00014270644869748453
Position 1036: 0.00010498968745988685
Position 970: 9.195117960129827e-05
Position 106: 7.773076046940621e-05
Position 503: 5.7600597956082175e-05
Position 1542: 4.333616020029598e-05
Position 326: 3.068042501529319e-05
Position 976: 2.955205237017238e-05
Position 539: 2.457187862102879e-05
Position 92: 1.6944621083332553e-05
Position 1204: 9.285968192064365e-06
Position 1375: 8.393327631527398e-06
Position 647: 3.1189911229388266e-06
Position 94: 2.6912453918404436e-06
Position 2612: 2.436061080988433e-06
Position 699: 2.3173622425051146e-06
Position 1309: 1.4153213760485797e-06
Position 1463: 8.742598979695587e-07
Position 1930: 8.108436585456484e-08
Position 448: 2.50366898456176e-08
Position 334: 7.77637928169419e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 1427: 0.9979111237801687
Position 2133: 0.9933641080191423
Position 1160: 0.9883369685898162
Position 1591: 0.9760167370966255
Position 1321: 0.1505735911310205
Position 1796: 0.028791170952335333
Position 1848: 0.022464412115189486
Position 1579: 0.009226320092877008
Position 2742: 0.008105966593295993
Position 3378: 0.007575308301011584
Position 2805: 0.005982358220845683
Position 1122: 0.005037712335897108
Position 3273: 0.0044123661864805055
Position 1654: 0.0016181896882510327
Position 2633: 0.0015265678044728847
Position 2423: 0.001413219764948338
Position 151: 0.0006935862475450252
Position 2494: 0.0006805225777021845
Position 1700: 0.0006798200544721534
Position 577: 0.0006165420137991916
Position 735: 0.0005125616685106798
Position 2237: 0.0004487114228917311
Position 550: 0.00042254669606937303
Position 2153: 0.0003936808377588336
Position 1476: 0.00038448779323539266
Position 1874: 0.0002862408528975552
Position 2500: 0.0002718419576690962
Position 1521: 0.000267247418021671
Position 988: 0.00026673447849814125
Position 177: 0.0002423930139184137
Position 211: 0.00021065396167590166
Position 1232: 0.00019247269030402708
Position 364: 0.00018477407401936203
Position 1229: 0.00014439515605974812
Position 1689: 0.00013989438065201853
Position 352: 0.00012986082589339017
Position 544: 0.00011802319228871129
Position 1607: 0.0001105977159908832
Position 1811: 0.00010682609211696713
Position 1463: 8.788631091715757e-05
Position 1460: 7.226406623282115e-05
Position 1331: 6.855664356071271e-05
Position 1499: 5.4592987823267366e-05
Position 206: 4.064518974758057e-05
Position 1107: 3.090037916582585e-05
Position 590: 2.614505715425584e-05
Position 1190: 2.5956674694835564e-05
Position 255: 2.3108354096589672e-05
Position 406: 1.3537431163448565e-05
Position 613: 1.0048446241594238e-05
Position 1045: 9.410830383498868e-06
Position 976: 5.9972569437865145e-06
Position 766: 4.632363776044031e-06
