Gene = GlyP
index = 1192
Annotated 5SS: [ 442 4155 5832]
Annotated 3SS: [3625 4224 5917]
SMsplice 5SS: [ 442 4155 5832]
SMsplice 3SS: [3625 4224 5917]
top_k =  100
Partition function (log Z): -0.8401427173056908

Sorted 5' Splice Sites (High to Low Probability):
Position 442: 0.998344102484018
Position 5832: 0.9841615541398946
Position 4155: 0.8594414438921162
Position 5154: 0.35474437161211975
Position 2959: 0.07362237381580822
Position 3485: 0.053328245057176676
Position 2930: 0.0209929294492781
Position 5676: 0.006375155752645206
Position 4027: 0.0030743732587641356
Position 262: 0.0024248093870553582
Position 3055: 0.0011813955534881984
Position 52: 0.00019775469737193753
Position 6197: 9.219127502522387e-05
Position 46: 9.029074234433962e-05
Position 4419: 7.576575572970564e-05
Position 4909: 7.185090345715342e-05
Position 391: 5.0765278979707946e-05
Position 280: 4.3065968983798895e-05
Position 244: 1.2524735056417281e-05
Position 107: 1.130935258271264e-05
Position 58: 1.0040634885207197e-05
Position 36: 2.8955368623565837e-06
Position 319: 2.0725245632591175e-06
Position 33: 1.100226675474199e-06
Position 40: 8.258453574406054e-07
Position 76: 7.352234632208837e-07
Position 63: 6.788964376883117e-07
Position 4452: 9.070669913297618e-09
Position 4816: 7.138011222015283e-09
Position 3102: 4.8900552895135124e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 5917: 0.9989985902752343
Position 3625: 0.8305673356482195
Position 4224: 0.7825288128091993
Position 5221: 0.42969146811832504
Position 2675: 0.1455801153776437
Position 5153: 0.05530623685012859
Position 3288: 0.028755474043571587
Position 2647: 0.017191775634764244
Position 4247: 0.016382735343618653
Position 3596: 0.011533146862000205
Position 3473: 0.008280167241214414
Position 3700: 0.006237115035038056
Position 3007: 0.004793905144845113
Position 3892: 0.004520589847428494
Position 3889: 0.003927358910260519
Position 2514: 0.0034529663150902035
Position 3570: 0.0025108956585886055
Position 2800: 0.0011477407985864094
Position 2710: 0.0011199777802000277
Position 2783: 0.001079246913340189
Position 2691: 0.0010526056669204035
Position 2622: 0.0007733513117582903
Position 324: 0.0007411672451142502
Position 2870: 0.0005624287753332346
Position 2223: 0.00044754851489828165
Position 2897: 0.00036132084992039756
Position 237: 0.0003132692644582802
Position 5964: 0.00021062468150146745
Position 6241: 9.219127502522387e-05
Position 347: 8.573559746249726e-05
Position 381: 5.2799427600761074e-05
Position 2331: 4.237770067338947e-05
Position 1933: 1.2464569685767155e-05
Position 504: 3.847543517606469e-07
Position 507: 3.029431706287348e-07
Position 1100: 2.2871358772882672e-07
Position 1174: 1.8235896077191988e-07
