Gene = mtgo
index = 1803
Annotated 5SS: [   423  14929 107897 112937]
Annotated 3SS: [ 12862 107726 112482 113007]
SMsplice 5SS: [   423 107897 112937]
SMsplice 3SS: [107726 112482 113007]
top_k =  100
Partition function (log Z): -145.3130109268147

Sorted 5' Splice Sites (High to Low Probability):
Position 423: 0.6927047457632662
Position 74: 0.3072753962806191
Position 327: 9.368251705568407e-06
Position 143: 9.122016349983948e-06
Position 4081: 9.104795727541014e-06
Position 3807: 8.922254658603755e-06
Position 305: 7.919230627091973e-06
Position 1998: 4.566048686457964e-06
Position 120: 3.0092641289140274e-06
Position 1329: 2.820621134422103e-06
Position 178: 9.850455841807217e-07
Position 2282: 4.415384575345909e-07
Position 961: 3.880383523663006e-07
Position 1008: 3.572116925245838e-07
Position 897: 3.361055150072129e-07
Position 309: 2.9088636083056087e-07
Position 323: 1.8919364108638724e-07
Position 1036: 1.8165550848779705e-07
Position 82: 7.413253864898366e-08
Position 152: 2.8444483888994038e-08
Position 1085: 1.575846980014776e-08
Position 159: 1.3487552158635058e-08
Position 1029: 1.2914802696548356e-08
Position 644: 9.12342050158074e-09
Position 648: 7.795548119622128e-09
Position 53: 6.442131205371339e-09
Position 185: 2.8144923142965076e-09
Position 188: 2.3988545543194665e-09
Position 101: 2.262479984695835e-09
Position 311: 3.561357310265253e-10
Position 20: 3.104185980431794e-11
Position 113: 2.179862046535897e-11
Position 89: 1.7338516173561397e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 12862: 0.990699303905713
Position 9341: 0.004954037500754321
Position 8321: 0.004169837538590999
Position 3674: 7.255031310697886e-05
Position 1470: 4.8066105373387774e-05
Position 4544: 3.106127446303272e-05
Position 2871: 2.9549502566005326e-05
Position 203: 1.573365892690578e-05
Position 3365: 6.605277793679758e-06
Position 3730: 3.805200948681154e-06
Position 477: 2.757615629897853e-06
Position 2200: 2.011158191575386e-06
Position 119: 1.1715570272618156e-06
Position 2346: 4.415384575345909e-07
Position 2250: 4.053988571508636e-07
Position 255: 1.9840479113308785e-07
Position 838: 1.8564410367087163e-07
Position 553: 1.8467254094367832e-07
Position 407: 1.4089438080008484e-07
Position 301: 1.3890919540875908e-07
Position 602: 1.0833123920149377e-07
Position 327: 1.776653659521639e-08
Position 374: 6.535181832391531e-09
Position 252: 5.178944233582646e-10
Position 356: 4.986600582284511e-10
Position 131: 1.8900138181010278e-10
Position 384: 1.4883074823950757e-10
Position 336: 1.2877079689876413e-10
