Gene = sturkopf
index = 1898
Annotated 5SS: [122 658]
Annotated 3SS: [255 716]
SMsplice 5SS: [658]
SMsplice 3SS: [716]
top_k =  100
Partition function (log Z): -7.432843855957727

Sorted 5' Splice Sites (High to Low Probability):
Position 658: 0.9511689079182023
Position 122: 0.07747824858076464
Position 1010: 0.06854055488528893
Position 1412: 0.05762060575494443
Position 1075: 0.012954164682892452
Position 1078: 0.010400338332234645
Position 849: 0.007450558265399579
Position 1033: 0.006327562874282046
Position 524: 0.006089704072307405
Position 1024: 0.0056163124793635125
Position 1031: 0.004221738433330524
Position 689: 0.004044494348867821
Position 943: 0.0036905762131936677
Position 338: 0.0036003378714294853
Position 1533: 0.002958713134226736
Position 592: 0.002721008832925418
Position 761: 0.0011933882614611124
Position 651: 0.0010913882837127167
Position 998: 0.0009099554719133319
Position 5: 0.0005839557265450071
Position 1406: 0.0004847915733967808
Position 341: 0.00032426132786093757
Position 400: 0.0001863223699668702
Position 31: 0.00016735423800398014
Position 45: 0.00016605378043186905
Position 1214: 0.00014539650936668143
Position 1238: 5.7813939514373875e-05
Position 965: 5.3097716965458415e-05
Position 583: 4.1383043563472416e-05
Position 415: 3.662789098555431e-05
Position 889: 3.453033640622632e-05
Position 126: 2.440757108153306e-05
Position 180: 1.9210344481285488e-05
Position 101: 1.258943876938328e-05
Position 59: 1.1941129044674477e-05
Position 662: 1.0512375246621462e-05
Position 629: 3.9638205860221005e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 716: 0.7990260842192108
Position 1132: 0.3078231689402533
Position 1611: 0.040297836471249834
Position 186: 0.03578660035050884
Position 1512: 0.019376291733850387
Position 1470: 0.005939765014004696
Position 437: 0.004492851500406795
Position 591: 0.0037496450338416623
Position 432: 0.002770665794986643
Position 197: 0.0020269585372872114
Position 523: 0.0012541417836618683
Position 307: 0.000977513602926028
Position 1172: 0.0008627596649243357
Position 453: 0.000856811794885698
Position 1315: 0.0008494867033857938
Position 603: 0.00068422708777421
Position 161: 0.0005967622357621206
Position 414: 0.0005681004718442707
Position 255: 0.0004758881569336462
Position 258: 0.00046634207304625493
Position 743: 0.00032316755214270126
Position 456: 0.0002570103528475154
Position 268: 0.00025168567031642674
Position 1584: 0.00022427870199631002
Position 1598: 0.0001904246902133095
Position 325: 0.00015744519680975418
Position 141: 8.65420105385507e-05
Position 398: 6.674904482119e-05
