Gene = Sur
index = 1533
Annotated 5SS: [  670  2126  2356  3248  3908  4246  4750  4967  5900  7510  9501  9842
 10096 10770 10961 12628 13211 13476 14526 14878 15668 16110]
Annotated 3SS: [ 1859  2179  3031  3315  4132  4611  4803  5034  7247  9362  9704  9902
 10158 10856 11995 13052 13279 13756 14749 15372 15912 16186]
SMsplice 5SS: [ 2126  2356  3248  3908  4246  4750  4967  7510  9501  9842 10096 10770
 10961 13211 13476 14526 14878 15668 16110]
SMsplice 3SS: [ 2179  3031  3315  4132  4611  4803  7247  9362  9704  9902 10158 10856
 13052 13279 13756 14749 15372 15912 16186]
top_k =  100
Partition function (log Z): 57.24896226586582

Sorted 5' Splice Sites (High to Low Probability):
Position 10770: 0.9993254951347008
Position 13211: 0.9986448341918681
Position 4750: 0.9963141936725463
Position 10961: 0.9958774681177386
Position 9501: 0.9947301258963748
Position 4246: 0.9939828338892347
Position 16110: 0.9917312661465464
Position 13476: 0.9912517777004999
Position 2126: 0.9910038560437083
Position 14878: 0.9844786320926578
Position 15668: 0.9843692168525356
Position 4967: 0.9623452844898487
Position 3908: 0.9433345365037002
Position 2356: 0.9048928973142759
Position 3248: 0.8983278632395767
Position 14526: 0.895306124086723
Position 9842: 0.867357828400711
Position 7510: 0.765530317115944
Position 670: 0.6807551883797325
Position 13937: 0.5738627267353764
Position 10096: 0.5689954632681431
Position 5900: 0.45756362068212414
Position 10102: 0.3816416556698446
Position 12628: 0.33113151625256937
Position 390: 0.2712262910975639
Position 3595: 0.12880240042585256
Position 7879: 0.10382998923076633
Position 16330: 0.08814713319956183
Position 8762: 0.06670705112259827
Position 11333: 0.06484519981210168
Position 10089: 0.031431414136365736
Position 987: 0.028163369534021626
Position 9165: 0.025323362766758617
Position 14144: 0.016560459928201737
Position 3205: 0.015623470474049418
Position 4971: 0.015201111291764168
Position 1581: 0.013839397214044572
Position 9923: 0.013743149051451792
Position 1338: 0.01345072585816321
Position 7861: 0.012512905227471649
Position 12177: 0.012313631862717183
Position 3226: 0.010986534564858274
Position 2346: 0.010682849257893857
Position 205: 0.008424414652129938
Position 3916: 0.007422126991721235
Position 16128: 0.006836023884017706
Position 3407: 0.006262263479991896
Position 4003: 0.0059976851683747195
Position 10093: 0.0055034046502077496
Position 218: 0.00515045794817716
Position 238: 0.0038084902387688817
Position 77: 0.003745878829862247
Position 3912: 0.0035984160819272967
Position 4741: 0.0035419310117999186
Position 16376: 0.002973956891724784
Position 2746: 0.001944740299988539
Position 9908: 0.0016961872585459347
Position 909: 0.0014493097133341914
Position 4250: 0.001371658793976422
Position 101: 0.0011524958589383266
Position 13682: 0.0009838647897028833
Position 776: 0.0009614965947221767
Position 13480: 0.0006110618570456783
Position 33: 0.0005985813068155314
Position 13218: 0.0005654708632215196
Position 16368: 0.0005326691089357836
Position 13199: 0.0005310942786170619
Position 4271: 0.0004871769685568588
Position 202: 0.000326818732697886
Position 10715: 0.00020645800500529145
Position 23: 0.00010811069767865688
Position 10242: 8.619016010422306e-05
Position 646: 8.356314937932786e-05
Position 10478: 6.516331356450924e-05
