Gene = AIMP2
index = 3
Annotated 5SS: [ 244  458  802 1231]
Annotated 3SS: [ 358  648 1001 1284]
SMsplice 5SS: [ 244  802 1231]
SMsplice 3SS: [ 648 1001 1284]
top_k =  100
Partition function (log Z): 2.514646503605823

Sorted 5' Splice Sites (High to Low Probability):
Position 1231: 0.9600668270198774
Position 244: 0.8781684749121146
Position 802: 0.6604483317606926
Position 845: 0.2651104140778883
Position 458: 0.08188944975796097
Position 306: 0.04680157237003259
Position 3: 0.02621107391493825
Position 824: 0.020082114667322456
Position 265: 0.015418423331111899
Position 877: 0.011846356027267607
Position 99: 0.011621543317278823
Position 575: 0.00990829091975006
Position 788: 0.006696544422518804
Position 1176: 0.005650578666358542
Position 62: 0.0029190219620649216
Position 1182: 0.002667284449347527
Position 272: 0.0025073284710720586
Position 10: 0.0015028845838181302
Position 1368: 0.0011166614531583634
Position 169: 0.001022925152659954
Position 1235: 0.0009737072653986477
Position 600: 0.0009652088329512186
Position 837: 0.0005573368294868164
Position 299: 0.00041764245634044235
Position 1209: 0.00041552402158662936
Position 1319: 0.00038472106594210635
Position 1341: 0.0003609285428444636
Position 743: 0.00029581659276184765
Position 745: 0.00029227023497049924
Position 276: 0.00028088691194431726
Position 293: 0.00025254162394372303
Position 1207: 0.00023863484215824767
Position 248: 8.531259910182876e-05
Position 343: 8.361666932706942e-05
Position 15: 8.195380031102606e-05
Position 408: 6.652547858377034e-05
Position 281: 4.700062896413104e-05
Position 153: 3.600726396016562e-05
Position 228: 2.348307499154299e-05
Position 68: 6.274197935515484e-06
Position 70: 4.157312387186496e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 648: 0.9994962866407363
Position 1284: 0.9725982753973892
Position 1001: 0.8704193939969724
Position 1013: 0.061106522239779644
Position 358: 0.03966869666052976
Position 61: 0.02657400070904639
Position 165: 0.011155753057949998
Position 928: 0.010592986866779617
Position 944: 0.006203230233998159
Position 938: 0.005731054145657137
Position 1475: 0.002523968286047333
Position 1106: 0.0024348361096354723
Position 1306: 0.0018486486166809507
Position 891: 0.0016120703841560786
Position 906: 0.0015956724705553044
Position 138: 0.0012316970768100558
Position 524: 0.0005762913948455186
Position 111: 0.0004497206282341233
Position 173: 0.0004462125963536926
Position 894: 0.00043190593090946215
Position 877: 0.0003882218819247928
Position 375: 0.0002231424722201324
Position 431: 0.0001484853467638309
Position 384: 3.3495688174540957e-05
Position 367: 3.0506075978157572e-05
Position 678: 6.438298572920849e-07
Position 293: 1.682326609633694e-07
Position 197: 1.692467390618116e-08
Position 684: 6.0066555786376494e-09
