Gene = Usp32
index = 1588
Annotated 5SS: [ 316 2857 3201 3631 4554 5752 6128 6492 8341 8564 8816 9058 9587]
Annotated 3SS: [2621 2923 3401 3693 4619 5824 6183 7693 8396 8627 8871 9118 9649]
SMsplice 5SS: [ 316 2857 3201 3631 4554 5752 6128 6435 8341 8564 8816 9058 9587]
SMsplice 3SS: [2621 2923 3401 3693 4619 5824 6183 6583 8396 8627 8871 9118 9649]
top_k =  100
Partition function (log Z): 46.307179237441055

Sorted 5' Splice Sites (High to Low Probability):
Position 9058: 0.9996414460354301
Position 2857: 0.9994754586496001
Position 3631: 0.9979024283637807
Position 4554: 0.9968355533620313
Position 3201: 0.9938730202346016
Position 6128: 0.9917037502490611
Position 316: 0.9902955856194541
Position 9587: 0.9883506527225376
Position 5752: 0.987541251903193
Position 8341: 0.9867074996505918
Position 8816: 0.9561616307494425
Position 8564: 0.9438049734253984
Position 6435: 0.5327358765474043
Position 6492: 0.45970460520163964
Position 9994: 0.33833067039834513
Position 6312: 0.31368627694862117
Position 3886: 0.22173542427415102
Position 2495: 0.09592585744198455
Position 4875: 0.08122514731342709
Position 2357: 0.06590110858900163
Position 9342: 0.04388887958463192
Position 65: 0.038971897084872795
Position 2321: 0.025752421473629425
Position 4884: 0.025270353484008405
Position 1497: 0.019302403711996666
Position 5160: 0.010861107939868395
Position 9350: 0.007570179206566362
Position 8279: 0.007529590012307596
Position 2281: 0.005755813473982357
Position 6027: 0.005709797446942411
Position 5756: 0.005572017841837211
Position 2515: 0.00464239169235468
Position 6053: 0.003160285988608873
Position 2399: 0.0027618101449859017
Position 3234: 0.002720782935802102
Position 4523: 0.0024400454529878617
Position 9591: 0.002311142888615835
Position 10546: 0.0019435463423291388
Position 4752: 0.0019063415770162139
Position 67: 0.0019011960476218533
Position 3588: 0.001837535590807195
Position 8814: 0.0017276582331725437
Position 4806: 0.0016904618530931117
Position 429: 0.0015332843029830395
Position 9881: 0.0014408392617309535
Position 5721: 0.00116364054060365
Position 6334: 0.0008017861968410772
Position 8820: 0.000797635228696804
Position 6363: 0.0007852414918978406
Position 52: 0.0005976829226541075
Position 677: 0.0005722113524153608
Position 9675: 0.0002923963784097694
Position 6: 0.000285378418257853
Position 2835: 0.00021073428236399782
Position 9161: 0.00020914028261290727
Position 6101: 0.0001408826384567953
Position 5649: 0.00014072102274853484
Position 5745: 0.00013425552612483517
Position 3015: 0.00012211917349016043
Position 9308: 0.00011544810514057631
Position 3042: 0.00011124780164097477
Position 9581: 0.00010742867606144888
Position 9584: 0.00010011688349463216
Position 9715: 9.496053577577211e-05
Position 3158: 8.6650196507901e-05
Position 2982: 8.530999892224743e-05
Position 5980: 6.49343908776652e-05
Position 3635: 4.604641230840247e-05
Position 3180: 3.967596942434008e-05
Position 3126: 3.465452595832141e-05
Position 3113: 2.8333392822156308e-05
Position 2991: 2.588532220203622e-05
Position 3294: 2.583345424412062e-05
Position 3613: 2.562031388364472e-05
Position 3523: 1.5904282477471436e-05
Position 3056: 7.399242461563871e-06
Position 371: 6.242960435277378e-06
Position 334: 4.813102981579653e-06
Position 3765: 4.169060796736627e-06
Position 3777: 3.2492637386689607e-06
Position 4106: 2.7129400431674127e-06
Position 3831: 9.081575693410023e-07
Position 8982: 8.693098629343913e-07
Position 9176: 8.112453744203617e-07
Position 5679: 5.089762919380923e-07
Position 95: 4.1462740623031706e-07
Position 4735: 3.5796211487667656e-07
Position 5229: 3.576532781714329e-07
Position 9166: 2.456330258103151e-07
Position 306: 1.0399979271563576e-07
Position 341: 6.589074722213702e-08
Position 98: 4.736075239677e-08
Position 3359: 4.477992182493726e-08
Position 9553: 4.043833752112526e-08
Position 3305: 3.412456032056153e-08
