Gene = Tig
index = 1561
Annotated 5SS: [ 183 1051 4625 5653 7754]
Annotated 3SS: [ 789 1358 4692 5725 7811]
SMsplice 5SS: [ 183 1051 2198 4625 5653 7754]
SMsplice 3SS: [ 789 1358 4330 4692 5725 7811]
top_k =  100
Partition function (log Z): 10.436272280056132

Sorted 5' Splice Sites (High to Low Probability):
Position 5653: 0.99845931693966
Position 1051: 0.9958255817310823
Position 4625: 0.9871799796297229
Position 2198: 0.919611078587715
Position 7754: 0.8756432086571688
Position 183: 0.7926895323789963
Position 65: 0.14542438534652324
Position 7914: 0.11774220782183854
Position 7932: 0.044421639636565105
Position 703: 0.030675638609267905
Position 1559: 0.017641260807509523
Position 2391: 0.0159839580061303
Position 6895: 0.006189339291361116
Position 6939: 0.005870806707160367
Position 231: 0.005851833739267485
Position 74: 0.0050366399499761315
Position 6648: 0.0036242778977262848
Position 518: 0.003539969643204865
Position 1288: 0.0033837170478317187
Position 83: 0.0027890060131128963
Position 4902: 0.002452179730680193
Position 7877: 0.0024197162410373755
Position 171: 0.0024019215712108356
Position 7157: 0.0022805446448623187
Position 963: 0.0019027196889155843
Position 7911: 0.0016411875550213506
Position 4777: 0.0015205105195490133
Position 227: 0.001492393497658525
Position 5641: 0.001444178767401646
Position 6194: 0.001381403772730073
Position 1136: 0.0011880192133282208
Position 630: 0.001131299650033764
Position 511: 0.0010338566359796761
Position 7918: 0.0009946601694783962
Position 6605: 0.0009410957908546826
Position 5243: 0.00090403836942092
Position 6522: 0.0008934023403911532
Position 6315: 0.0008596563222884072
Position 5791: 0.0008284201092496477
Position 6321: 0.0007453301983868264
Position 470: 0.0007193789793674127
Position 148: 0.0006960298819564917
Position 5344: 0.0006304251026496579
Position 146: 0.0005965853745315558
Position 6527: 0.000565580028641192
Position 604: 0.0005305333197597657
Position 1188: 0.0004437755740199209
Position 396: 0.0004098759834130006
Position 6199: 0.0003413583139539793
Position 137: 0.00032511623040422854
Position 132: 0.0003166102116202891
Position 8069: 0.00030327605394110495
Position 5816: 0.00029713786118818944
Position 747: 0.0002722041162393364
Position 187: 0.000256991667135555
Position 1607: 0.00022500509631054148
Position 347: 0.00021123679225678826
Position 97: 0.00020865909313305423
Position 564: 0.00018745254882280356
