Gene = vtd
index = 1932
Annotated 5SS: [  345   712  3718 10050 10359 11171 19647]
Annotated 3SS: [  420  3593  9869 10102 10419 19484 21284]
SMsplice 5SS: [  345   712  3718 10050 10359 11171 19647 20557]
SMsplice 3SS: [  420  3593  9869 10102 10419 19484 20442 20613]
top_k =  100
Partition function (log Z): 1.9597837518322592

Sorted 5' Splice Sites (High to Low Probability):
Position 10359: 0.9999985244175279
Position 11171: 0.9995960467853424
Position 3718: 0.9984308184994386
Position 712: 0.9950142401180241
Position 345: 0.9933893352095708
Position 10050: 0.9911902232477212
Position 19647: 0.7120131250058717
Position 19922: 0.07947426471246165
Position 5002: 0.05968018287013776
Position 8202: 0.056675998333459994
Position 7708: 0.014657694924537164
Position 4617: 0.014094220804817658
Position 8229: 0.013032517734976353
Position 10647: 0.008088678178720398
Position 367: 0.005018578136152721
Position 611: 0.004981367547244742
Position 10503: 0.0019211421528070617
Position 11072: 0.0018927894890646392
Position 16279: 0.0018087841850070886
Position 4134: 0.0015965391637694205
Position 11076: 0.0009872019211610939
Position 10754: 0.0007458954055716405
Position 231: 0.0006030468403770576
Position 302: 0.0004066695587392478
Position 8966: 0.000322214291628318
Position 36: 0.000284771824063954
Position 4570: 0.00018728137962293614
Position 180: 0.00014796078782456238
Position 10638: 0.0001130294146814259
Position 271: 8.837004783554085e-05
Position 4488: 7.151003339357627e-05
Position 4420: 5.90696330419416e-05
Position 4148: 4.4980881462584936e-05
Position 12130: 3.470009050345755e-05
Position 11777: 2.882959487904869e-05
Position 140: 1.2847198903391183e-05
Position 10302: 4.1780430931413774e-07
Position 10191: 2.0906855199527194e-07
Position 3722: 6.90022288696406e-08
Position 10559: 3.370892804729684e-08
Position 10215: 2.1568580038137957e-08
Position 29: 1.3365348451729954e-08
Position 391: 1.0623084513300714e-08
Position 273: 1.0440324792489204e-08
Position 276: 7.75967965489303e-09
Position 716: 6.261767710825064e-09
Position 475: 1.852601570778418e-17

Sorted 3' Splice Sites (High to Low Probability):
Position 9869: 0.9999993449582494
Position 10419: 0.9999977245411323
Position 3593: 0.999879019530849
Position 10102: 0.9911901418354301
Position 420: 0.9618890417169382
Position 19484: 0.8195383487662902
Position 19727: 0.5006108652819518
Position 21284: 0.3870798979913095
Position 7635: 0.0843662109929735
Position 20004: 0.07947426471246165
Position 4805: 0.03438944237251182
Position 436: 0.02636348359826775
Position 4731: 0.015553507132780194
Position 4227: 0.011858506803930519
Position 4328: 0.005958730420339982
Position 10876: 0.004190698487528288
Position 15712: 0.004062579813110958
Position 10707: 0.0033517192539190706
Position 573: 0.0030862631585564437
Position 10697: 0.003081918613321212
Position 11132: 0.00287996258886738
Position 520: 0.0028474875751834648
Position 4513: 0.0025888941955417924
Position 4708: 0.002527751155182591
Position 634: 0.0021283356469069454
Position 4496: 0.0011001657426535627
Position 457: 0.001054069819012429
Position 16346: 0.0009760169636732441
Position 16412: 0.0008327672213338441
Position 496: 0.0006859964740735141
Position 499: 0.0006369854460950285
Position 558: 0.0005647455906519235
Position 454: 0.00023405066014929251
Position 292: 0.00020911725460439294
Position 8335: 0.00016736628795103553
Position 13918: 0.0001554137625951497
Position 8269: 0.00015484800367728262
Position 11244: 0.0001406551840861387
Position 13014: 0.00012966160280942834
Position 655: 0.00012501909725628804
Position 578: 0.00012271943522554788
Position 4632: 9.014559257537485e-05
Position 13898: 5.288783330962654e-05
Position 12794: 5.273774461690546e-05
Position 3194: 4.704946367408585e-05
Position 3255: 4.487451645197088e-05
Position 3910: 4.248135657301179e-05
Position 11841: 3.119103305921134e-05
Position 12037: 2.4904762983570642e-05
Position 12013: 2.312755686940963e-05
Position 4378: 2.255838859409328e-05
Position 3825: 2.0606335250739213e-05
Position 3855: 1.4174222264789053e-05
Position 11647: 8.004643904826074e-06
Position 782: 6.7847078673955494e-06
Position 3791: 3.681059166028981e-06
Position 2885: 3.2127327096634734e-06
Position 4212: 2.562916903954719e-06
Position 1000: 2.434142637616024e-06
Position 3164: 2.3522291610891306e-06
Position 1558: 2.2901905923301636e-06
Position 2731: 2.218622258657302e-06
Position 10515: 2.1847698943685352e-06
Position 11431: 2.0454694322849887e-06
Position 11492: 2.029648819189461e-06
Position 11286: 1.407335926076737e-06
Position 3093: 1.1333824879617266e-06
Position 10996: 8.889495663011792e-07
Position 10637: 4.0367915158652433e-07
Position 10751: 9.282406766513168e-08
Position 11157: 2.8821358353645184e-08
Position 2027: 2.5029654565147156e-09
Position 975: 2.4772019149990054e-09
Position 1359: 2.1702244658610432e-09
Position 2577: 1.974945769714865e-09
Position 1334: 1.9048167487710667e-09
Position 2304: 1.8975245586052117e-09
Position 2150: 1.1108433974156821e-09
Position 580: 5.409491493775286e-10
Position 604: 2.81988672027634e-10
Position 614: 2.024740935416318e-10
Position 464: 1.716450442787255e-10
Position 10557: 1.0065241242985708e-10
Position 80: 3.3786550497974864e-11
Position 667: 3.161012257989348e-11
Position 10436: 8.535187507975421e-15
