Gene = ste14
index = 1896
Annotated 5SS: [355 794]
Annotated 3SS: [421 921]
SMsplice 5SS: [355 794]
SMsplice 3SS: [421 921]
top_k =  100
Partition function (log Z): 3.7065888466220183

Sorted 5' Splice Sites (High to Low Probability):
Position 355: 0.9978670896286511
Position 794: 0.9957234488502961
Position 1289: 0.029807717533702354
Position 1072: 0.013412730520747183
Position 1280: 0.003558075087070623
Position 461: 0.0021805333048657964
Position 811: 0.0011341172720763977
Position 8: 0.0008414425726879211
Position 327: 0.0007635719154821787
Position 1274: 0.0005537907663876418
Position 801: 0.000493356127376237
Position 152: 0.0003828273441569569
Position 746: 0.00031904303951904605
Position 1011: 0.00030686143352333134
Position 1309: 0.00025946302013469673
Position 798: 0.00018721934276070372
Position 1225: 0.00014616340805245632
Position 44: 0.00013710207494205848
Position 1147: 0.00011887854214711855
Position 1201: 9.220453614541933e-05
Position 1005: 7.860253047832592e-05
Position 185: 7.194877939030464e-05
Position 668: 5.2536309613917715e-05
Position 167: 3.946654635035398e-05
Position 265: 3.4809107398821754e-05
Position 588: 2.231171570990841e-05
Position 1239: 1.6637667826138946e-05
Position 117: 1.2843769878734078e-05
Position 133: 1.0655305357685163e-05
Position 1165: 9.49702968981269e-06
Position 359: 8.101428176676026e-06
Position 66: 7.5823805714739805e-06
Position 1014: 7.470503917262181e-06
Position 165: 5.53952176899493e-06
Position 297: 4.673952283778935e-06
Position 529: 3.566218871483976e-06
Position 550: 3.07046069470955e-06
Position 465: 2.5951460054082918e-06
Position 1033: 2.3274221988700466e-06
Position 112: 1.2374789155448381e-06
Position 670: 9.019742772051688e-07
Position 1105: 8.67580442088103e-07
Position 256: 4.848155155117295e-07
Position 119: 3.752234884582974e-07
Position 1209: 3.5109179169114706e-07
Position 232: 3.3520669977765416e-07
Position 267: 3.324549413004765e-07
Position 253: 3.114729036820402e-07
Position 68: 1.2455609856443169e-07
Position 217: 1.1913414342969864e-07
Position 1083: 1.091516101698611e-07
Position 990: 7.422105952929203e-08
Position 710: 5.854241595753515e-08
Position 645: 1.529861197420942e-08
Position 685: 8.939296973017546e-09
Position 467: 7.766181330739317e-09
Position 719: 7.697196961585215e-09
Position 997: 6.248565726945384e-09
Position 287: 6.603259685276255e-10
Position 331: 2.6958450536164344e-10
Position 473: 1.709992883442677e-10
Position 557: 1.6734734373550206e-10
Position 277: 1.5202571852396858e-10
Position 727: 2.3102313808587612e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 421: 0.9975787004760442
Position 921: 0.9858480960337412
Position 1398: 0.014540355424827515
Position 1137: 0.014213593842030385
Position 1357: 0.011096388601034153
Position 1372: 0.008875099189162131
Position 886: 0.006194425383369674
Position 927: 0.005371754698236055
Position 685: 0.0010483110567176426
Position 588: 0.0006248764488016302
Position 81: 0.0006004489821636325
Position 847: 0.0005879257494802078
Position 211: 0.00043496707696310237
Position 112: 0.00025390692468331037
Position 1273: 0.00024339628153801295
Position 665: 0.00022216870998839695
Position 951: 0.00015974676313548896
Position 1076: 0.0001596715407693847
Position 1404: 0.00010950969165651449
Position 962: 0.0001094352866857236
Position 84: 0.00010721529454656266
Position 240: 0.0001048036960279296
Position 1161: 5.6309151365966465e-05
Position 641: 4.4857892234926324e-05
Position 432: 2.228893431805149e-05
Position 550: 2.083580761531626e-05
Position 390: 1.9227392728697223e-05
Position 691: 1.516096455568202e-05
Position 502: 8.875089297624029e-06
Position 264: 4.851958112050704e-06
Position 87: 3.322260574235037e-06
Position 667: 2.3189088117341237e-06
Position 217: 1.4658778558981896e-06
Position 465: 1.009742225058698e-06
Position 175: 2.809132790439929e-07
Position 354: 3.698728457067781e-10
