Gene = slow
index = 1878
Annotated 5SS: [  186  6780 17715 18202]
Annotated 3SS: [ 6007 17457 17782 18269]
SMsplice 5SS: [  446  6780 17715 18202]
SMsplice 3SS: [ 6007 17457 17782 18269]
top_k =  100
Partition function (log Z): 2.685625733753812

Sorted 5' Splice Sites (High to Low Probability):
Position 6780: 0.9999999999999988
Position 18202: 0.9988522917196713
Position 17715: 0.9936489908272343
Position 446: 0.6813574692263022
Position 186: 0.2799037562571736
Position 18346: 0.2160153231337241
Position 421: 0.053577242384006164
Position 158: 0.03326574182921728
Position 1324: 0.02586815045303004
Position 794: 0.020819453749208423
Position 984: 0.016400213040909342
Position 593: 0.011684261551036456
Position 781: 0.01143169969827549
Position 695: 0.009972276211004367
Position 18435: 0.006790866769087139
Position 17695: 0.006351002871528279
Position 18368: 0.0007989391335355804
Position 17919: 0.00023048629676684386
Position 955: 0.0002171928211139387
Position 513: 6.851847351630274e-05
Position 498: 5.5659817186873715e-05
Position 100: 4.8386303588098204e-05
Position 18214: 3.919191200899844e-05
Position 190: 3.153274477353038e-05
Position 30: 1.729126718794816e-05
Position 18166: 9.425173889957054e-06
Position 70: 7.0983161127974284e-06
Position 18185: 6.207323370450461e-06
Position 18169: 5.070006060923066e-06
Position 41: 4.439017045220062e-06
Position 106: 4.03701075503439e-06
Position 3: 3.31962982770514e-06
Position 18164: 2.885525929638179e-06
Position 91: 2.6558923115787077e-06
Position 18073: 1.7353619480867812e-06
Position 18144: 7.449218527053482e-07
Position 18102: 4.046968202168724e-07
Position 18001: 1.5360081285221259e-07
Position 18024: 1.24631562418823e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 17457: 0.9999999936987629
Position 6007: 0.9978665078961544
Position 18269: 0.996745368718152
Position 17782: 0.9959484030510383
Position 18471: 0.18586524357853687
Position 241: 0.12034131240421238
Position 18405: 0.025314675151637246
Position 247: 0.011974050867670262
Position 1072: 0.00835709693752024
Position 18492: 0.006489042704922433
Position 17860: 0.0033480676545267394
Position 1006: 0.0025663179645140292
Position 18475: 0.002203378494018777
Position 4472: 0.0021334921038441636
Position 18439: 0.0015382617163297166
Position 570: 0.0015016175196669688
Position 18525: 0.001345509133904362
Position 18275: 0.000956761453888034
Position 18278: 0.0008856788703563978
Position 18532: 0.0006680307314648182
Position 17840: 0.00038601717261121287
Position 18608: 0.00036702934809207876
Position 17831: 0.0003169657525293793
Position 17976: 0.00022944606694716397
Position 18538: 0.00012428523463473392
Position 18284: 8.64508331911947e-06
Position 18302: 5.7141297602746475e-06
Position 18317: 5.352971695868819e-06
Position 18321: 1.9488063640276985e-06
Position 18292: 2.4382312188838762e-08
