Gene = gdl
index = 1712
Annotated 5SS: [437 787]
Annotated 3SS: [ 491 1159]
SMsplice 5SS: [437 787]
SMsplice 3SS: [ 501 1159]
top_k =  100
Partition function (log Z): -4.411746607678109

Sorted 5' Splice Sites (High to Low Probability):
Position 437: 0.9943948648607434
Position 787: 0.42067520239490525
Position 973: 0.086783102133566
Position 962: 0.06716575734109752
Position 199: 0.03728407604241569
Position 204: 0.03586996205112621
Position 1306: 0.03384269146045104
Position 571: 0.024090918158639812
Position 835: 0.018371195456236188
Position 565: 0.011571009410383994
Position 171: 0.011369772691670256
Position 839: 0.005865545722395325
Position 259: 0.0034075344974182995
Position 175: 0.003048447104721743
Position 645: 0.00199788501873448
Position 1036: 0.0013794783026619872
Position 696: 0.0013332314098389775
Position 7: 0.0008570681711709244
Position 750: 0.0005669176337206651
Position 148: 6.966823725969355e-05
Position 319: 5.9419046467462895e-05
Position 542: 4.398967231579466e-05
Position 106: 2.4336382071715343e-05
Position 125: 5.74001414552563e-06
Position 12: 7.846660231804426e-07
Position 83: 7.203084245235208e-07
Position 441: 3.280549778327932e-07
Position 399: 3.014330581041357e-07
Position 334: 2.9146317749616223e-07
Position 455: 2.84080350863162e-08
Position 371: 7.426964840145446e-09
Position 342: 7.341095627575886e-09
Position 101: 1.1655176668345636e-14
Position 128: 5.2624784288164165e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 1159: 0.7487791963992371
Position 501: 0.41137531398879873
Position 491: 0.38948031739407274
Position 633: 0.05271453179131603
Position 285: 0.05015259583769806
Position 270: 0.03588709124022526
Position 1359: 0.02153267055422498
Position 1189: 0.014491874959497691
Position 835: 0.012658401993043208
Position 871: 0.004422372635752967
Position 1369: 0.004308447617764808
Position 318: 0.003481055580624082
Position 1448: 0.003153422407209817
Position 1438: 0.001570794321423505
Position 290: 0.0015017693311533424
Position 1428: 0.0012968630938436252
Position 1403: 0.0012796330941959528
Position 1463: 0.000581496561188793
Position 990: 0.0005087726592985703
Position 113: 0.0004027417840684561
Position 313: 0.00023170478294170442
Position 1559: 0.00011936381059950886
Position 334: 6.694778943700701e-05
Position 148: 4.957592153892426e-05
Position 571: 1.2556546775452829e-05
Position 608: 1.083009416588907e-05
Position 345: 4.392327046703187e-06
Position 577: 3.633390353695358e-06
Position 322: 1.9144084346841868e-06
