Gene = YL-1
index = 1603
Annotated 5SS: [245 438 815]
Annotated 3SS: [304 513 873]
SMsplice 5SS: [245 438 815]
SMsplice 3SS: [304 513 873]
top_k =  100
Partition function (log Z): 3.0618753866701645

Sorted 5' Splice Sites (High to Low Probability):
Position 438: 0.9968615993044786
Position 245: 0.981805906862933
Position 815: 0.9679030583943364
Position 1416: 0.06175201177862934
Position 1080: 0.03379896539170712
Position 819: 0.015061076177864046
Position 1034: 0.008430679344869598
Position 730: 0.004066782392368039
Position 1516: 0.003978670035637111
Position 208: 0.0031595684000796324
Position 1397: 0.0019281692998074982
Position 1528: 0.0018124777246653846
Position 1381: 0.0010573471540892842
Position 4: 0.001002150333942011
Position 51: 0.0006800970468359331
Position 586: 0.0003382272258667591
Position 1519: 0.00031372257759506266
Position 1305: 0.00027914593225554984
Position 17: 0.0002256647494562289
Position 619: 0.00011679035192040571
Position 412: 4.4028637797828236e-05
Position 34: 4.0122959796469596e-05
Position 200: 2.997184823360011e-05
Position 417: 2.4026585323063208e-05
Position 581: 2.0416475277113756e-05
Position 1159: 1.872441601319456e-05
Position 1050: 1.6743463649066967e-05
Position 471: 1.3782026129836413e-05
Position 414: 8.881386188018435e-06
Position 1008: 6.796580490732851e-06
Position 578: 3.1623836740924743e-06
Position 88: 2.2935905675672128e-06
Position 1318: 9.626126882869248e-07
Position 736: 1.7209222352345293e-07
Position 696: 1.2944663333431967e-07
Position 495: 2.0070338216337614e-09
Position 369: 7.237642033538134e-11
Position 327: 5.6562057144680876e-11
Position 346: 3.935761867361905e-11
Position 330: 1.9109366225070037e-11
Position 605: 4.059981927604896e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 513: 0.9964522395100083
Position 304: 0.9842820949679715
Position 873: 0.9783777871797941
Position 1463: 0.06734206882388435
Position 1147: 0.03337505441983232
Position 884: 0.006919083226640398
Position 1576: 0.004974028331909773
Position 1106: 0.004350032248487327
Position 1181: 0.0017395007287216576
Position 72: 0.0011632920784316258
Position 1599: 0.000996962998776938
Position 1602: 0.0008283559709997499
Position 875: 0.0007461871256997955
Position 346: 0.0006234966722775901
Position 1184: 0.00046008980037747177
Position 694: 0.00033480397992833585
Position 1467: 0.00030328742816346265
Position 312: 0.0002800903564748057
Position 156: 0.00023600802341184165
Position 1238: 0.000201385038611071
Position 1090: 0.00019265450963642294
Position 1556: 0.00011391198118334672
Position 522: 0.00011229674771301384
Position 88: 9.26955941656593e-05
Position 546: 6.268810633787277e-05
Position 1224: 6.064402672878821e-05
Position 529: 6.046334720747164e-05
Position 1623: 3.4643870645126856e-05
Position 672: 2.20665311620332e-05
Position 282: 2.133109624457134e-05
Position 173: 1.0439010883416966e-05
Position 567: 8.308307110576208e-06
Position 324: 5.194573721144327e-06
Position 537: 5.0965171370031646e-06
Position 714: 4.590066327333737e-06
Position 666: 4.000756499978219e-06
Position 318: 2.3635971259697813e-06
Position 380: 1.8024941664738018e-06
Position 218: 4.540620743994915e-07
Position 177: 4.403650393068887e-07
Position 179: 2.489045469789246e-07
Position 356: 1.0571705261482741e-07
Position 221: 3.407699793964893e-08
Position 182: 4.0050709076398786e-09
Position 230: 3.7180141453834244e-12
Position 236: 2.743396425660893e-12
Position 228: 8.792059260491542e-13
