Gene = emc
index = 1693
Annotated 5SS: [828]
Annotated 3SS: [2871]
SMsplice 5SS: [828]
SMsplice 3SS: [2871]
top_k =  100
Partition function (log Z): -7.543214565551789

Sorted 5' Splice Sites (High to Low Probability):
Position 828: 0.9732603612321348
Position 203: 0.2259386372612715
Position 123: 0.03337075957684619
Position 195: 0.02781182952162376
Position 105: 0.0263514867324701
Position 3198: 0.01976639763153667
Position 3645: 0.012740608873405883
Position 2509: 0.009944003238699985
Position 2975: 0.008504391575949887
Position 3138: 0.007695501197552643
Position 52: 0.0037928131923280453
Position 118: 0.0030674787560351193
Position 2421: 0.002038151635377626
Position 386: 0.001961729475023241
Position 853: 0.0012486826992692923
Position 213: 0.0010594646802110086
Position 295: 0.0007674129914109938
Position 925: 0.0007670713766827398
Position 244: 0.0007312847345891487
Position 80: 0.00025697241366864557
Position 416: 0.00010805973017173693
Position 211: 1.8217766794191472e-05
Position 899: 8.159795701861367e-06
Position 942: 3.6260713852744266e-06
Position 817: 3.4348995370026612e-06
Position 1806: 1.8150735339966647e-06
Position 82: 1.1928152933145493e-07
Position 10: 1.1568230183275749e-07
Position 13: 7.483931002580298e-08
Position 87: 1.5966139867389469e-09
Position 164: 4.0455447001699786e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 2871: 0.8925608130830635
Position 262: 0.2542032687032416
Position 2877: 0.07360264765127986
Position 491: 0.03931434863676142
Position 3361: 0.027140126206108943
Position 3568: 0.020543555144973875
Position 2333: 0.015947280581952723
Position 3740: 0.007024056637330473
Position 3714: 0.005716552236075411
Position 3045: 0.004970863576776248
Position 227: 0.00222615759713141
Position 1391: 0.00191788728272047
Position 103: 0.0014310536823514506
Position 1708: 0.001346732163180576
Position 1008: 0.0013145607628057333
Position 3055: 0.0012479983859961026
Position 3242: 0.0012317356677585102
Position 164: 0.0011985725911721112
Position 1558: 0.0010439340442846955
Position 160: 0.0007519908889958112
Position 428: 0.0007360050534088765
Position 2582: 0.0006796905272077851
Position 195: 0.0006108472560337175
Position 1410: 0.000589860177717493
Position 290: 0.0005464199015543152
Position 1936: 0.0004472909499156847
Position 1145: 0.00041767277086191164
Position 1278: 0.000356400886448505
Position 749: 0.0003442624480412134
Position 1033: 0.00033976700324562506
Position 433: 0.0002687075404870128
Position 746: 0.0002563885442031791
Position 1805: 0.00021727211442038383
Position 1117: 0.00017253617362934632
Position 404: 0.00016311575843991065
Position 982: 0.000137845047634038
Position 1097: 0.00011378253337706853
Position 872: 8.34629522624825e-05
Position 294: 8.947107200557148e-07
Position 325: 6.976738553392961e-07
Position 239: 6.000939925599601e-07
Position 171: 4.276734563774212e-07
Position 269: 3.0391754808314167e-07
Position 169: 2.767050983743631e-07
