Gene = comm3
index = 1654
Annotated 5SS: [13581 15865]
Annotated 3SS: [14957 33739]
SMsplice 5SS: [563]
SMsplice 3SS: [33739]
top_k =  100
Partition function (log Z): -33.78031848417982

Sorted 5' Splice Sites (High to Low Probability):
Position 563: 0.999999998652944
Position 8835: 0.0008289250727090049
Position 8981: 0.00017801748418558183
Position 792: 5.740242607257039e-06
Position 5193: 3.801592868460509e-06
Position 6423: 3.3383682476478957e-06
Position 1868: 3.270028785661792e-06
Position 57: 4.118547465401784e-08
Position 2423: 2.377300193659169e-08
Position 95: 1.6633129693999418e-08
Position 1872: 1.3173361431123499e-08
Position 128: 9.383643160958582e-09
Position 1330: 9.047053889964606e-09
Position 163: 8.394137663918047e-09
Position 80: 6.3874727800933656e-09
Position 100: 5.1341217114497015e-09
Position 132: 5.011306428570462e-10
Position 518: 3.059029165236717e-10
Position 322: 1.7319110471005764e-10
Position 576: 1.2677275344027482e-10
Position 30: 6.719535594995073e-11
Position 448: 6.201279628024773e-11
Position 3: 5.7504969492383526e-11
Position 178: 4.4294152859473416e-11
Position 61: 2.2340034344311213e-11
Position 49: 1.9987367080040053e-11
Position 567: 1.2953997430364224e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 16215: 0.904155221787163
Position 14553: 0.09259909510591353
Position 8718: 0.0010805901252468409
Position 10047: 0.0008681795409689722
Position 10778: 0.0007828222739980257
Position 10899: 0.0006740592839077822
Position 8899: 0.00035926295399374056
Position 9032: 0.00017801748418558107
Position 8964: 0.00016704121503587053
Position 9113: 5.296617822131291e-05
Position 6748: 4.981720059990867e-05
Position 6089: 1.5095244106025092e-05
Position 628: 1.2877651909854343e-05
Position 6778: 6.8997785457475845e-06
Position 5323: 5.013221644141157e-06
Position 5369: 4.410803666854413e-06
Position 4933: 2.8503373262844427e-06
Position 5437: 2.759181557183542e-06
Position 4897: 1.1734308971593527e-06
Position 5452: 1.1623236844173164e-06
Position 5064: 6.846956327941495e-07
Position 5104: 6.507075794608044e-07
Position 5167: 5.083506075078158e-07
Position 2495: 3.490000165034553e-07
Position 4640: 3.4570326262411765e-07
Position 4762: 2.5262967019057985e-07
Position 2622: 2.071757261633725e-07
Position 4567: 1.8986384114822157e-07
Position 1468: 1.3862701373205284e-07
Position 4302: 1.3819860761382213e-07
Position 2539: 9.627906339462815e-08
Position 1233: 9.250439773758573e-08
Position 160: 5.5724796368475894e-08
Position 3322: 4.212404477617125e-08
Position 2595: 3.6708832583741015e-08
Position 3078: 3.202253941782337e-08
Position 2137: 2.5670172542105916e-08
Position 2562: 1.879154452820234e-08
Position 1441: 1.0570753960340917e-08
Position 376: 1.0221960159598726e-08
Position 236: 6.848217274602157e-09
Position 223: 4.0503317646370666e-09
Position 899: 4.036941096837889e-09
Position 100: 3.6882562037125105e-09
Position 178: 3.3553714563147413e-09
Position 206: 1.168893846274794e-09
Position 507: 1.1231741508755058e-09
Position 217: 7.529267036922952e-10
Position 320: 1.1179352093383459e-10
Position 80: 7.32151284769427e-11
Position 132: 2.3472004893790405e-11
Position 128: 2.180976321563793e-11
