Gene = Mrtf
index = 1286
Annotated 5SS: [ 4914 37892 38117 41860]
Annotated 3SS: [37066 37975 41793 42477]
SMsplice 5SS: [  279 37892 38117 41860]
SMsplice 3SS: [37066 37975 41793 48699]
top_k =  100
Partition function (log Z): -53.16216795414659

Sorted 5' Splice Sites (High to Low Probability):
Position 279: 0.9999922514891887
Position 911: 1.4438967380968923e-05
Position 402: 7.468714266294813e-06
Position 356: 1.6006660566800914e-07
Position 2938: 4.490673645889746e-08
Position 345: 3.362988942469765e-08
Position 954: 2.7855446634123593e-08
Position 1136: 2.586921298006167e-08
Position 360: 2.4495272527031708e-08
Position 2048: 1.9366808668502138e-08
Position 330: 1.6864633637139306e-08
Position 269: 1.1649786571693936e-08
Position 3151: 1.0316558483154229e-08
Position 772: 9.85997613672907e-09
Position 340: 3.0538617766044642e-09
Position 958: 2.70079686254522e-09
Position 334: 1.9356777010585275e-09
Position 932: 1.738533731261859e-09
Position 1086: 1.268785693055005e-09
Position 110: 1.1732409656664082e-09
Position 27: 1.1563778868732176e-09
Position 32: 8.056328568913785e-10
Position 10: 7.323219833209818e-10
Position 351: 4.685204521401573e-10
Position 38: 4.660756169587347e-10
Position 134: 4.4961107448449985e-10
Position 1531: 3.1065180563619193e-10
Position 332: 2.655256868259043e-10
Position 50: 2.3697867815633633e-10
Position 904: 2.204071027562173e-11
Position 906: 1.4508367401202518e-11
Position 868: 1.4470496743138243e-11
Position 646: 1.2961821105653373e-11
Position 876: 1.1525803072029007e-11
Position 699: 7.909036215617772e-12
Position 783: 6.939859852432673e-12
Position 141: 5.565440443598339e-13
Position 119: 3.8361219339143863e-13
Position 147: 3.6227902803128387e-13
Position 79: 1.3391362829255495e-13
Position 349: 1.1970779039333037e-13
Position 149: 1.0021941093088978e-13
Position 310: 9.397400943630988e-17

Sorted 3' Splice Sites (High to Low Probability):
Position 17913: 0.9999602396799269
Position 8286: 3.489847759432322e-05
Position 464: 1.5035695946105077e-05
Position 7706: 3.075117700492394e-06
Position 6413: 5.749953679141267e-07
Position 3795: 1.1698492297131991e-07
Position 1041: 1.1184755823307171e-07
Position 3028: 9.597477983707102e-08
Position 2591: 9.464356081778305e-08
Position 738: 8.860886846235873e-08
Position 1759: 8.677319894089911e-08
Position 1206: 5.303542037831853e-08
Position 1292: 3.506204405375532e-08
Position 1638: 1.8251565110417224e-08
Position 3202: 1.0316558483154229e-08
Position 2123: 8.105651563622213e-09
Position 2312: 7.826012942133613e-09
Position 468: 3.134997876728108e-09
Position 992: 2.11340125022656e-09
Position 405: 1.5044086456633633e-09
Position 1493: 1.2207049512959878e-09
Position 771: 1.0909585228720364e-09
Position 79: 1.5906595878657287e-10
Position 345: 1.540218766702084e-10
Position 340: 8.54118861196449e-11
Position 759: 3.035759497802496e-11
Position 173: 7.973653015939426e-12
Position 176: 3.88264096477034e-12
Position 206: 3.839859847969465e-12
Position 470: 6.766007140390687e-13
