Gene = RanGAP
index = 1408
Annotated 5SS: [ 297 3327 4068 4640 4894]
Annotated 3SS: [2992 3385 4137 4716 4949]
SMsplice 5SS: [2478 3327 4068 4640 4894]
SMsplice 3SS: [2543 3385 4137 4716 4949]
top_k =  100
Partition function (log Z): 5.480614604280769

Sorted 5' Splice Sites (High to Low Probability):
Position 4640: 0.9990245520351051
Position 3327: 0.9975091467336786
Position 4894: 0.9838586331822519
Position 4068: 0.9697231874047847
Position 2478: 0.5837391699133828
Position 289: 0.46002258880429797
Position 2482: 0.28157485541588684
Position 4380: 0.2441416737860923
Position 2617: 0.17942800212198806
Position 297: 0.15316836518201374
Position 444: 0.07829648172679186
Position 2685: 0.057524022133585435
Position 2694: 0.05713295673051504
Position 440: 0.024736016879057177
Position 853: 0.016307712104633592
Position 5266: 0.010092174590614409
Position 966: 0.005416012066110928
Position 4197: 0.0038884721777050317
Position 5276: 0.0032762934153657258
Position 293: 0.003134125653421021
Position 3749: 0.0028772477762166746
Position 3482: 0.001571630401328026
Position 520: 0.0012317044612827823
Position 5151: 0.0006487087326864629
Position 4672: 0.0004929271834083356
Position 5273: 0.00024909040886146735
Position 5219: 0.00014131278781129433
Position 4658: 8.392086387713912e-05
Position 5115: 5.148525607255498e-05
Position 5131: 2.5153392049113217e-05
Position 5103: 2.399698671176001e-05
Position 4582: 2.1606937139392627e-05
Position 270: 1.9188672112930056e-05
Position 42: 1.4220762283332996e-05
Position 266: 1.2162072694700958e-05
Position 247: 7.888634175885088e-06
Position 114: 5.111889164338458e-06
Position 217: 4.254163451132807e-06
Position 95: 3.933585474902027e-06
Position 4888: 2.0954713728254345e-06
Position 149: 1.110976652291135e-06
Position 301: 8.824304761057553e-07
Position 220: 7.286315109382973e-07
Position 209: 4.03104833954661e-07
Position 255: 3.880818736073644e-07
Position 146: 4.2655941172627815e-08
Position 295: 1.9039493537415572e-08
Position 4881: 8.928355714410482e-09
Position 4592: 8.407482774326194e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 4716: 0.9980160321705285
Position 4137: 0.9908019895155508
Position 4949: 0.9803840448459867
Position 2543: 0.8844705176384814
Position 3385: 0.8638491517674949
Position 589: 0.2937252451257988
Position 2992: 0.2696429055762277
Position 4453: 0.20929959276216464
Position 2313: 0.1208492768340357
Position 3417: 0.11944419856843592
Position 341: 0.07601538506406608
Position 2684: 0.07588057050012238
Position 1043: 0.05111974273978045
Position 3249: 0.04712686590453198
Position 1733: 0.0260338721861223
Position 4526: 0.02595299059555213
Position 959: 0.021730078510386133
Position 1471: 0.01995130722794245
Position 5330: 0.014871099321402303
Position 2721: 0.010592636219627798
Position 4423: 0.00859605230080798
Position 4263: 0.0038884721777050317
Position 5028: 0.0023611035269203327
Position 370: 0.0022097627491841606
Position 5000: 0.0011779366029836388
Position 4773: 0.0006005179258935884
Position 4748: 0.0005635147941175139
Position 5126: 0.00012621600523191526
Position 4798: 9.271877329899527e-05
Position 5147: 9.181433297115237e-05
Position 139: 1.1950839908562445e-05
Position 114: 3.659876909761499e-06
Position 187: 2.542861968301996e-06
Position 416: 1.9005025376297424e-06
