Gene = TfIIEbeta
index = 1554
Annotated 5SS: [174 351 589 940]
Annotated 3SS: [245 425 648 995]
SMsplice 5SS: [174 351 599 940]
SMsplice 3SS: [245 425 648 995]
top_k =  100
Partition function (log Z): 4.548778341176847

Sorted 5' Splice Sites (High to Low Probability):
Position 351: 0.996454298117665
Position 174: 0.9426805506635533
Position 940: 0.7819210486725805
Position 599: 0.5240053595774954
Position 589: 0.46252849635400045
Position 844: 0.06196500951765624
Position 880: 0.01069928901154023
Position 620: 0.003101060312335356
Position 1237: 0.002816262080887982
Position 580: 0.0012277846602821436
Position 877: 0.000990606325387151
Position 603: 0.0007475326615398546
Position 178: 0.00034438142391299243
Position 1250: 0.00033343487848817946
Position 1206: 0.00027364252011873556
Position 944: 0.00025882254332151047
Position 711: 0.00017351370233705383
Position 685: 0.00014594295923163112
Position 42: 0.0001236169883816227
Position 355: 6.698859171516457e-05
Position 388: 6.376361147384635e-05
Position 610: 3.1514950261207006e-05
Position 1239: 2.158785759482763e-05
Position 31: 7.251022743030777e-06
Position 49: 3.4049799411169786e-06
Position 189: 3.05148698134812e-06
Position 70: 2.5438161519314075e-06
Position 5: 1.6372921132532167e-06
Position 80: 2.543079017406905e-07
Position 481: 1.898374476840969e-07
Position 453: 1.2009724187292266e-07
Position 761: 7.975635015891414e-08
Position 247: 1.6503469843645798e-08
Position 258: 6.886258462119258e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 648: 0.97998134798275
Position 425: 0.9793879136798638
Position 245: 0.9288686909928793
Position 995: 0.8402858036081077
Position 972: 0.01748754793719714
Position 446: 0.010473564903327962
Position 272: 0.008216817222522103
Position 684: 0.005240270822914908
Position 923: 0.004331639498923714
Position 659: 0.004152468916403109
Position 1303: 0.0033980764453095877
Position 507: 0.0026702993498668795
Position 305: 0.0020843291168287895
Position 258: 0.0011953678705915844
Position 453: 0.0008838250836121009
Position 255: 0.0006483976082791769
Position 432: 0.000592599698975043
Position 293: 0.0005704922877192858
Position 1100: 0.00014621960440005112
Position 277: 0.00011324278718151132
Position 121: 6.0783846938506446e-05
Position 335: 5.888259597213928e-05
Position 477: 5.8522188684557405e-05
Position 1267: 3.3067943313358e-05
Position 264: 2.9999046674598e-05
Position 1253: 1.3782948466777002e-05
Position 466: 4.560273439726732e-06
Position 83: 3.0303502749821297e-06
Position 66: 1.0513271398759048e-06
Position 63: 3.16575428659352e-07
Position 153: 8.835188441457432e-08
Position 206: 6.310248170086373e-08
Position 141: 6.971688877734876e-15
Position 70: 8.770278977696654e-16
Position 85: 6.502773105847238e-18
