Gene = Df31
index = 1131
Annotated 5SS: [ 266 2091]
Annotated 3SS: [1722 2174]
SMsplice 5SS: [ 266 2091]
SMsplice 3SS: [1722 2174]
top_k =  100
Partition function (log Z): -3.9062939441024898

Sorted 5' Splice Sites (High to Low Probability):
Position 2091: 0.9752961397496661
Position 266: 0.8264011972137028
Position 2361: 0.11089171648756156
Position 3528: 0.07569793907469362
Position 217: 0.03411678351233588
Position 1118: 0.02105932765767383
Position 2079: 0.01986159510278242
Position 48: 0.017484644536086096
Position 716: 0.008360159697128819
Position 3256: 0.007772813136687404
Position 3050: 0.006192466683943075
Position 3343: 0.005745954262458826
Position 230: 0.003994713580903687
Position 1009: 0.0019474210418384639
Position 3137: 0.0012532796689728645
Position 2833: 0.0011945699844458295
Position 2294: 0.0008348349729034014
Position 988: 0.0007941595953644956
Position 813: 0.00047823357152810685
Position 296: 0.00012801420545168786
Position 560: 9.803535758141808e-05
Position 558: 9.154450096868418e-05
Position 2873: 8.889759319654393e-05
Position 637: 8.18688742552667e-05
Position 1914: 3.9183293527095e-05
Position 645: 3.5978955114495326e-05
Position 562: 2.8417261392175394e-05
Position 326: 5.401559378871588e-06
Position 564: 2.384205557470298e-06
Position 566: 6.829115577371373e-07
Position 595: 6.626932465850295e-07
Position 2321: 1.2945663955030649e-07
Position 165: 1.0434904437372431e-07
Position 397: 8.584020545393338e-08
Position 270: 7.965590690033296e-10
Position 309: 7.816004711166283e-10
Position 191: 5.279011470648686e-10
Position 395: 2.4553210421194477e-10
Position 208: 2.3632909313369954e-10
Position 30: 2.3150596374566877e-10
Position 24: 2.2559935377828019e-10
Position 354: 2.0287574946602877e-10
Position 300: 1.4927517354544023e-10
Position 38: 6.392435047711964e-11
Position 641: 5.259298915844057e-11
Position 639: 5.055056660902736e-11
Position 158: 2.5433859173590418e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 2174: 0.9999585249418289
Position 1722: 0.6227151593706187
Position 1618: 0.16273117459984654
Position 2429: 0.10969239965977463
Position 3578: 0.0762151410472046
Position 453: 0.03421254235493446
Position 922: 0.020766234569491147
Position 1083: 0.017014963850618004
Position 1198: 0.014285159641101509
Position 1439: 0.009025201338707876
Position 1635: 0.007145770331218591
Position 3431: 0.007035673510388269
Position 3394: 0.006543207444108568
Position 3136: 0.004558228114829677
Position 1044: 0.0038913684306925017
Position 987: 0.0037102610579421453
Position 1620: 0.0026593625596226743
Position 785: 0.0025635561468390273
Position 329: 0.0020658349885625494
Position 1275: 0.0016581132907375088
Position 958: 0.0015941859602504656
Position 2408: 0.0014888626589686135
Position 3196: 0.0012577119469388005
Position 2960: 0.0010817446233127796
Position 3184: 0.001073945672564389
Position 315: 0.0009231262261437549
Position 981: 0.00087057202653595
Position 369: 0.0006697560944643058
Position 433: 0.0006500604199804583
Position 1100: 0.0006415826680695906
Position 906: 0.0005488765844502551
Position 2662: 0.0005357487259678906
Position 2943: 0.00019529332075920772
