Gene = Jon74E
index = 1240
Annotated 5SS: [254 578]
Annotated 3SS: [314 664]
SMsplice 5SS: [254 578]
SMsplice 3SS: [314 664]
top_k =  100
Partition function (log Z): 4.538177207331734

Sorted 5' Splice Sites (High to Low Probability):
Position 254: 0.9970575597650607
Position 578: 0.9967867155031838
Position 448: 0.013736897600984952
Position 955: 0.005945707741287325
Position 611: 0.0018396021235545662
Position 153: 0.0011864607397428447
Position 950: 0.0011357696011434488
Position 557: 0.0005848834498171078
Position 608: 0.00029359539662310107
Position 394: 0.0002762373520648288
Position 319: 0.00018266115894200802
Position 885: 0.00014102823833058435
Position 258: 9.944967221242964e-05
Position 830: 6.666317850939915e-05
Position 797: 3.4014411155799236e-05
Position 194: 3.081657267648562e-05
Position 185: 2.8985319376613332e-05
Position 246: 2.6887234203639116e-05
Position 823: 2.2532009881020322e-05
Position 728: 1.7216195572135488e-05
Position 265: 1.569752455272752e-05
Position 157: 1.0828894982965348e-05
Position 476: 1.0770335550622963e-05
Position 65: 7.373117927727318e-06
Position 25: 7.2429015259738135e-06
Position 205: 6.834958290203141e-06
Position 474: 5.784388147004826e-06
Position 277: 3.2670038206364806e-06
Position 913: 1.5171893042729447e-06
Position 286: 1.3482753088244469e-06
Position 88: 2.0027170292786965e-07
Position 54: 1.216132727984906e-07
Position 36: 1.77645514472269e-08
Position 140: 9.473930961887114e-09
Position 865: 1.7799626690843866e-09
Position 122: 1.2023560042573151e-09
Position 538: 1.3984284526970202e-10
Position 498: 7.950778354924656e-12
Position 196: 2.6351565092599225e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 664: 0.9991481717614317
Position 314: 0.9582646422319374
Position 369: 0.03609074507403618
Position 505: 0.015094310648966781
Position 1012: 0.007084665975152668
Position 394: 0.0011011174432829234
Position 460: 0.001006569327298935
Position 322: 0.0006774783676916354
Position 843: 0.00037472499670624423
Position 949: 0.00015725264017006776
Position 316: 0.0001537805628722508
Position 885: 0.0001536723680657318
Position 425: 0.00011727604872636195
Position 527: 6.538836901168868e-05
Position 205: 3.0660748281806866e-05
Position 723: 1.6524308192651615e-05
Position 830: 1.0190875905935982e-05
Position 153: 9.005929945110623e-06
Position 102: 2.444814455323897e-06
Position 462: 2.3776583156667867e-06
Position 978: 1.51718930427295e-06
Position 140: 7.801327685231983e-07
Position 122: 7.35615688233166e-07
Position 518: 6.64729732178275e-07
Position 132: 2.100760064000893e-09
Position 170: 1.9123802255858102e-10
