Gene = Uggt
index = 1583
Annotated 5SS: [432]
Annotated 3SS: [614]
SMsplice 5SS: [432 800]
SMsplice 3SS: [ 614 4828]
top_k =  100
Partition function (log Z): -9.216564424207073

Sorted 5' Splice Sites (High to Low Probability):
Position 432: 0.73760640123063
Position 800: 0.6858520107313932
Position 665: 0.16995850722631956
Position 515: 0.09994029133260814
Position 166: 0.036706452172100563
Position 490: 0.03637662096553771
Position 109: 0.0339825699732687
Position 561: 0.015359217782396538
Position 521: 0.010789704913217789
Position 398: 0.009574742430002118
Position 102: 0.00708562942614625
Position 416: 0.007051714487162307
Position 161: 0.003997025626234674
Position 406: 0.003079000502101829
Position 225: 0.002483457555125903
Position 223: 0.0019809638632845247
Position 1466: 0.00180136534140791
Position 229: 0.000943379732014592
Position 446: 0.0007893989197732006
Position 436: 0.0004216375258087514
Position 155: 0.0002994319182104509
Position 173: 0.00029256341512160893
Position 349: 0.0002502337190264867
Position 31: 0.00020321218842838236
Position 170: 0.00016224996796165175
Position 4: 0.00016131821206653358
Position 276: 0.00015887790569103796
Position 194: 0.00013244390187903038
Position 438: 8.547511909317844e-05
Position 579: 7.150404503487626e-05
Position 184: 1.7741293309942193e-05
Position 205: 1.212938594232573e-05
Position 233: 7.747700213151049e-06
Position 138: 6.488520432389364e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 614: 0.9808297545603707
Position 4828: 0.5215957323798134
Position 3406: 0.16663450822719544
Position 5152: 0.08355383071299118
Position 3954: 0.021384195564220772
Position 577: 0.01857368990472393
Position 1985: 0.015948596004905242
Position 3411: 0.007870326246390483
Position 3268: 0.007618341478699987
Position 3438: 0.007496235009226098
Position 897: 0.0060139252372919385
Position 245: 0.005823406188959395
Position 921: 0.004876757778803447
Position 799: 0.003190819231942342
Position 155: 0.0028622185337972223
Position 1517: 0.0027218348047072464
Position 714: 0.0021256893084563443
Position 745: 0.001365312213816963
Position 276: 0.0010897193069702954
Position 1759: 0.0010514502231825486
Position 1422: 0.0007396033032096377
Position 1213: 0.0007066667371801652
Position 1198: 0.0006929463242105936
Position 1003: 0.0006769328783854008
Position 733: 0.0006203769816860465
Position 693: 0.0005754435708046802
Position 865: 0.00041893173950179714
Position 1007: 0.00030887091330441516
Position 280: 0.00017585585937200375
Position 194: 6.125182241482367e-05
Position 322: 2.3140898871786213e-05
Position 551: 8.927378678757303e-06
Position 631: 5.554853381212909e-06
Position 515: 6.628514809721671e-07
