Gene = Ced-12
index = 1065
Annotated 5SS: [ 225 1529 2141]
Annotated 3SS: [ 517 1588 2203]
SMsplice 5SS: [ 225 1529 2141]
SMsplice 3SS: [ 517 1588 2203]
top_k =  100
Partition function (log Z): 2.4409173641335453

Sorted 5' Splice Sites (High to Low Probability):
Position 1529: 0.9987294732691477
Position 225: 0.9899348998144379
Position 2141: 0.951257862204426
Position 603: 0.20567565104760027
Position 989: 0.08462753657804128
Position 1726: 0.07680099589199346
Position 2630: 0.06177655828450302
Position 2428: 0.039070199276412
Position 916: 0.011647318269860499
Position 2284: 0.009618056669236407
Position 2357: 0.008306302789063722
Position 1775: 0.0038664257386318147
Position 542: 0.0036115545070685225
Position 229: 0.0031266718953365073
Position 2883: 0.002916766524362718
Position 697: 0.0025834680258516847
Position 1021: 0.0024153647301894026
Position 518: 0.0022826259885717864
Position 2134: 0.0016350655859683543
Position 800: 0.0015631771648877452
Position 734: 0.0010886444310858267
Position 955: 0.0008160387511241561
Position 470: 0.0006633641743263926
Position 415: 0.00048368688303721295
Position 301: 0.00042613084036715335
Position 1485: 0.0003377727984477891
Position 420: 0.00024336845613330018
Position 1720: 0.00010792402988312178
Position 407: 3.418696412555352e-05
Position 2065: 1.8440379929712812e-05
Position 2554: 5.870630277419852e-06
Position 134: 5.7591461667533465e-06
Position 409: 5.7035797829481454e-06
Position 321: 4.521102533832916e-06
Position 2256: 4.132345616823752e-06
Position 1909: 2.9281127693276044e-06
Position 2042: 2.6286568683147174e-06
Position 190: 2.3758336340151666e-06
Position 347: 2.2672365626177305e-06
Position 1260: 2.2166721228640865e-06
Position 311: 1.2663844529285508e-06
Position 152: 1.2282014244925647e-06
Position 401: 1.1798404520994536e-06
Position 1589: 9.186551184980083e-07
Position 274: 8.034434185587423e-07
Position 57: 7.69314452524281e-07
Position 12: 1.1231233602918908e-08
Position 1733: 7.546776096831573e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 1588: 0.9936162491037246
Position 517: 0.9550597645514637
Position 2203: 0.9527944301009803
Position 1092: 0.17347740973263143
Position 2748: 0.11478321568476545
Position 654: 0.0724387889924527
Position 1785: 0.06997206419889819
Position 660: 0.04525786745012111
Position 866: 0.016050028503821912
Position 675: 0.013285114620967391
Position 1159: 0.0073694558821333295
Position 1196: 0.005798717990473676
Position 311: 0.005533172771043723
Position 2824: 0.004637172162145996
Position 579: 0.004366408720074799
Position 1998: 0.00428241776158823
Position 969: 0.0038016054620933527
Position 1641: 0.0029584814975430317
Position 1597: 0.0029510372148186022
Position 2939: 0.002486348729564915
Position 474: 0.001938731854031728
Position 1995: 0.0018482392829143467
Position 2697: 0.001837398767292828
Position 819: 0.0015067615801641371
Position 1031: 0.0010958560290001802
Position 2501: 0.0010081034069593221
Position 491: 0.0007280289021123759
Position 2244: 0.0006204739704471384
Position 720: 0.0005626111174270234
Position 603: 0.000554548801028812
Position 271: 0.0005503140095920858
Position 1904: 0.0005403513323235374
Position 554: 0.00047362983419864786
Position 2954: 0.000430417794797802
Position 321: 0.00037148652769884716
Position 1938: 0.00026363787686442867
Position 528: 0.0002244718832700157
Position 350: 6.588885559177845e-05
Position 407: 5.5210595664613976e-05
Position 274: 4.8268699405871935e-05
Position 369: 3.258204770576312e-05
Position 333: 2.0233069723612484e-05
Position 318: 4.137744806267549e-06
Position 373: 3.121050983314056e-06
Position 355: 2.1837857488609816e-06
Position 347: 1.9154509351253415e-06
Position 424: 1.6867535606704573e-06
Position 2357: 7.027084945647541e-08
