Gene = Ca-beta
index = 1051
Annotated 5SS: [36855 37518 37800 37981 40092 40323 40561 41283 43665]
Annotated 3SS: [37400 37577 37865 39594 40154 40445 41018 43207 43814]
SMsplice 5SS: [  236 26219 26389 26579 28384 37518 37800 37981 40092 40323 41283]
SMsplice 3SS: [26093 26278 26449 28252 37400 37577 37865 38127 40154 40445 46175]
top_k =  100
Partition function (log Z): -47.841381717591

Sorted 5' Splice Sites (High to Low Probability):
Position 236: 0.9992469216539964
Position 13841: 0.02617058313810015
Position 3951: 0.019708793895093026
Position 224: 0.0007530782126632023
Position 2197: 1.3232490596473957e-08
Position 4172: 7.3491078947686565e-09
Position 2412: 4.6510982159909055e-09
Position 2442: 3.1446089523709664e-09
Position 240: 1.2560301965577028e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 19261: 0.9403445494148865
Position 14343: 0.045916544227311396
Position 13756: 0.026960299954462814
Position 15494: 0.009639687269073305
Position 3749: 0.00890788999712409
Position 3833: 0.005857197644463141
Position 13073: 0.0032506246512035214
Position 3385: 0.0021014260462603393
Position 2528: 0.00120939849405902
Position 2665: 0.0009072190561678318
Position 3414: 0.00034330723384999514
Position 2862: 9.837648915990668e-05
Position 3239: 7.470502602907649e-05
Position 1968: 7.3306468996045e-05
Position 1893: 7.033714948611445e-05
Position 3206: 6.426629288104355e-05
Position 10424: 3.323891280209086e-05
Position 8444: 1.3069194263064e-05
Position 9937: 7.678791728721173e-06
Position 7144: 1.972994595845645e-06
Position 2900: 1.40188835831857e-06
Position 6302: 1.2346742372806905e-06
Position 4271: 5.876366901862805e-07
Position 4495: 2.262157574834586e-07
Position 5042: 1.8889688258545318e-07
Position 4474: 1.8345628302506312e-07
Position 6099: 1.3841984375064846e-07
Position 4292: 9.860441706779161e-08
Position 4021: 6.405099912489438e-08
Position 4944: 5.425798110888861e-08
Position 4061: 3.638364835954185e-08
Position 4364: 3.264553397322692e-08
Position 3006: 1.9382964721209602e-08
Position 2272: 1.3282500874648774e-08
Position 4058: 1.0158217847864353e-08
Position 1946: 5.695397145246614e-09
Position 2803: 5.575398522704264e-09
Position 2964: 1.919106498231741e-09
Position 725: 1.6733682374648937e-09
Position 2955: 1.4501802297745303e-09
Position 977: 9.851546461161028e-10
Position 2548: 7.427620017160725e-10
Position 562: 5.75631241513025e-10
Position 1908: 2.773257902606202e-10
Position 896: 2.332133153273991e-10
Position 291: 1.714063432364415e-10
Position 1158: 1.5485332659939604e-10
Position 2060: 1.3720024006923097e-10
Position 297: 1.202621637416788e-10
Position 2765: 1.0695910258349293e-10
Position 2082: 5.40535509497752e-11
Position 1732: 4.988686801365473e-11
Position 2034: 4.9338006196902926e-11
Position 1899: 4.379525373905355e-11
