Gene = eIF1
index = 1682
Annotated 5SS: [186 587]
Annotated 3SS: [428 972]
SMsplice 5SS: [186 587]
SMsplice 3SS: [428 972]
top_k =  100
Partition function (log Z): -3.3922223304040897

Sorted 5' Splice Sites (High to Low Probability):
Position 587: 0.9930795600458743
Position 186: 0.491556672314441
Position 1075: 0.1758018660762489
Position 309: 0.05883472567200187
Position 335: 0.04169465956363689
Position 1105: 0.02523907053506567
Position 140: 0.007328722738008339
Position 74: 0.007212514330078832
Position 156: 0.005675217312791514
Position 361: 0.005130600376535435
Position 337: 0.00436925408773662
Position 922: 0.0027719462591088992
Position 602: 0.0025701201909727896
Position 231: 0.0023062454226747578
Position 92: 0.0020763712276633205
Position 864: 0.0014232360440733015
Position 81: 0.001027556268382908
Position 256: 0.0005072700137975468
Position 1141: 0.0003471896909704943
Position 121: 0.0003439728275646667
Position 737: 0.0001960526262811732
Position 42: 0.000194716196605353
Position 137: 0.00014170742187687044
Position 1139: 0.00011065283098406189
Position 190: 0.00011053685011311749
Position 183: 9.914878145574624e-05
Position 550: 9.124778686862416e-05
Position 34: 6.193187427327461e-05
Position 672: 5.7419238360388034e-05
Position 127: 6.561720508238768e-07
Position 144: 6.517000159899994e-08
Position 153: 6.748669158860018e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 972: 0.9631729154715079
Position 428: 0.5757190120811243
Position 1238: 0.12060724284358497
Position 1172: 0.07922817573883441
Position 395: 0.03988026389956214
Position 811: 0.018069528573185778
Position 797: 0.015899078431698598
Position 782: 0.0039391258901872025
Position 133: 0.0037579433609776555
Position 502: 0.0018294451551520731
Position 473: 0.0015793505614000525
Position 1253: 0.001373814544215965
Position 451: 0.0010532763446681431
Position 169: 0.0007438270003566011
Position 195: 0.0005881803366292738
Position 1203: 0.0004501872894895289
Position 868: 0.00042097704919100284
Position 1262: 0.0003848859338383538
Position 871: 0.00035889048244805443
Position 824: 0.0003352606834965944
Position 672: 0.0002518199920077125
Position 1256: 0.0002206965769126608
Position 299: 0.0001566071370070323
Position 190: 0.00010266221420341865
Position 535: 8.357902285789065e-05
Position 891: 7.427899854476163e-05
Position 734: 2.3404127999449678e-05
Position 819: 2.0855547065031902e-05
Position 942: 1.1234543845912341e-05
Position 834: 9.152741665868589e-06
Position 636: 5.589569365358334e-06
Position 121: 2.8783517920225496e-06
Position 409: 1.6157603358111372e-06
Position 763: 1.4713977862405097e-06
Position 482: 1.4253429630933833e-06
Position 317: 1.3637860650080645e-06
Position 640: 8.668674920446398e-07
Position 92: 2.2971908458783676e-08
