Gene = fln
index = 1701
Annotated 5SS: [  72  850 1072]
Annotated 3SS: [ 585  915 1133]
SMsplice 5SS: [369 850]
SMsplice 3SS: [585 915]
top_k =  100
Partition function (log Z): -4.750476473638474

Sorted 5' Splice Sites (High to Low Probability):
Position 850: 0.9933706577821249
Position 369: 0.5260571371811602
Position 1072: 0.2895619175170322
Position 72: 0.14704403057707674
Position 1089: 0.07926047260894693
Position 534: 0.07735738015007133
Position 1248: 0.052531588808107196
Position 204: 0.04338238179389291
Position 244: 0.039205763297391685
Position 192: 0.018601271242102858
Position 398: 0.010790545621543808
Position 201: 0.010713269971152432
Position 457: 0.004685635482402241
Position 132: 0.0032992566980774166
Position 305: 0.0020323410316649745
Position 66: 0.0020107704568230003
Position 471: 0.0019886336764232664
Position 481: 0.0015560512797304239
Position 767: 0.0011456626903256937
Position 864: 0.000744741523920556
Position 1574: 0.0005680859246539136
Position 258: 0.0005249965997182345
Position 411: 0.0005200322272730881
Position 421: 0.0003345351384637005
Position 173: 0.0002535136849874637
Position 32: 0.00022759647707136155
Position 52: 0.00018050359994110674
Position 1077: 0.00015102752393294702
Position 19: 0.00010210678493681988
Position 159: 0.000100200693153532
Position 845: 7.504219699434467e-05
Position 889: 7.367877466966805e-05
Position 869: 4.484270074251393e-05
Position 879: 4.10147958850469e-05
Position 884: 3.826516768090921e-05
Position 147: 3.615753155004937e-05
Position 109: 1.547257695224292e-05
Position 6: 8.068886160724468e-06
Position 77: 5.7024757782513435e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 915: 0.9664553252635925
Position 585: 0.652324853093035
Position 1133: 0.348523338160542
Position 261: 0.11479412906514712
Position 572: 0.03822174423519638
Position 552: 0.03322451800537122
Position 304: 0.030014200106643723
Position 954: 0.029014798775526467
Position 1378: 0.02885964719642229
Position 1593: 0.019533758578634514
Position 596: 0.01363659792591278
Position 1291: 0.011309152616102987
Position 1354: 0.00561838408896631
Position 428: 0.0033463514409291816
Position 1139: 0.003115378740458277
Position 1633: 0.0029207376554831327
Position 1573: 0.002289064689678712
Position 173: 0.0017803973691363918
Position 115: 0.0013965749689958667
Position 602: 0.0005347746298190936
Position 605: 0.0004917857259849507
Position 517: 0.00047565621815808315
Position 159: 0.00033730017076859605
Position 92: 0.00022716251158728487
Position 829: 0.00014426646058745204
Position 1167: 4.7633767667213424e-05
Position 192: 2.4103502625858847e-06
Position 185: 2.399033675001499e-07
Position 122: 9.677536783678556e-08
Position 311: 7.466117159303738e-08
