Gene = hale
index = 1722
Annotated 5SS: [314]
Annotated 3SS: [372]
SMsplice 5SS: [314]
SMsplice 3SS: [372]
top_k =  100
Partition function (log Z): -4.973616549342604

Sorted 5' Splice Sites (High to Low Probability):
Position 314: 0.9887689260062269
Position 489: 0.4759113973757258
Position 989: 0.01687447553688227
Position 307: 0.007797982206341422
Position 504: 0.0035172489191053753
Position 723: 0.001613333629966786
Position 785: 0.000908130188227026
Position 994: 0.0006948847784863663
Position 510: 0.00035273663401010855
Position 462: 0.0003068256029045703
Position 976: 0.00020630658595574883
Position 58: 0.00010586797754502469
Position 258: 7.095105322921745e-05
Position 112: 3.993886968080994e-05
Position 251: 1.4504324696928922e-05
Position 281: 5.379874200992554e-06
Position 137: 5.316178794122844e-06
Position 498: 3.1455569826723985e-06
Position 166: 2.82061891277115e-06
Position 37: 2.4237986242467827e-06
Position 516: 2.215947491321673e-06
Position 298: 1.824503610219278e-06
Position 342: 1.8243164806767617e-06
Position 296: 1.4090486138616996e-06
Position 79: 1.376166092381034e-06
Position 3: 6.221970935883952e-07
Position 25: 5.693347979143604e-07
Position 288: 4.3270620241942753e-07
Position 203: 1.8541662964353935e-07
Position 76: 1.514319726206071e-07
Position 86: 1.1593681595476335e-07
Position 240: 7.73967774639724e-08
Position 447: 1.4700931918124765e-08
Position 386: 5.874438240440355e-12
Position 179: 4.1236814782110856e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 372: 0.9738339924647839
Position 556: 0.2570782850806419
Position 570: 0.18429605768071147
Position 844: 0.03029197099691329
Position 1052: 0.018669259317724705
Position 1070: 0.006990286852626147
Position 753: 0.005366672361266947
Position 625: 0.003780053107020181
Position 1112: 0.003657587490924769
Position 593: 0.002269453162843539
Position 583: 0.0018678071667843992
Position 865: 0.0017972751231296008
Position 444: 0.0012467486403786169
Position 474: 0.001080939192213354
Position 973: 0.0009933334708159313
Position 454: 0.0006749148621083454
Position 764: 0.0005677145302792599
Position 823: 0.0005627723226531964
Position 652: 0.0005224671161579197
Position 805: 0.0004776491740568871
Position 714: 0.000438387512759069
Position 736: 0.0004305556140321007
Position 639: 0.00017952824052483375
Position 107: 4.4467327291591825e-05
Position 179: 3.749294962423159e-05
Position 197: 2.4071810623240167e-05
Position 185: 1.3160162620740202e-05
Position 146: 1.191653292301902e-05
Position 203: 2.7636263307149133e-06
Position 251: 1.7241781355487002e-06
Position 84: 1.6334426182622464e-06
Position 342: 8.978904997232343e-07
Position 62: 5.458556490893466e-07
Position 257: 3.898374602309252e-07
Position 484: 3.231893874644893e-07
Position 86: 1.857876894559522e-07
Position 303: 6.683675686584387e-08
Position 92: 6.391692436541718e-08
