Gene = w-cup
index = 1933
Annotated 5SS: [1037]
Annotated 3SS: [1096]
SMsplice 5SS: [1037]
SMsplice 3SS: [1096]
top_k =  100
Partition function (log Z): -5.92841285877494

Sorted 5' Splice Sites (High to Low Probability):
Position 1037: 0.9833941125036695
Position 1187: 0.07614824236942984
Position 1447: 0.022691673238734743
Position 949: 0.014979305520919271
Position 533: 0.003819560788687927
Position 1050: 0.001542421251006485
Position 367: 0.0013529241624993427
Position 49: 0.0011895582450279036
Position 523: 0.0010662660579981212
Position 295: 0.0008869496281688937
Position 148: 0.000824227121220298
Position 1117: 0.0007624730631243756
Position 1283: 0.0006882940240526324
Position 546: 0.0005574283533112306
Position 1548: 0.0004408901163893947
Position 467: 0.00034798714172686485
Position 9: 0.00023645704337876757
Position 139: 0.0002205990368204075
Position 819: 0.00021455913431640963
Position 1008: 0.00018801185743034287
Position 14: 0.00010846687435090932
Position 236: 9.310458925496746e-05
Position 25: 3.465572212814966e-05
Position 772: 1.1035911000517583e-05
Position 678: 8.66715605150964e-06
Position 954: 6.94649064035029e-06
Position 738: 5.374620884374762e-06
Position 909: 1.1152253897810294e-06
Position 611: 2.594783953557465e-09
Position 690: 2.198820062842937e-09
Position 108: 2.075156775176004e-09
Position 220: 6.569845347777828e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 1096: 0.5848862458284692
Position 1099: 0.40906126437147644
Position 1652: 0.0239270127833384
Position 1608: 0.019268503998294363
Position 1494: 0.013695039435863981
Position 1632: 0.008521352573404532
Position 603: 0.008108997989335776
Position 1674: 0.0070231973366632686
Position 1105: 0.0060519680778576964
Position 1307: 0.004936182392982161
Position 1338: 0.004615473247958203
Position 1548: 0.0031780965473003162
Position 1635: 0.0025820305747464804
Position 1313: 0.0025136305649256
Position 1267: 0.0024328440737634784
Position 1765: 0.00189329477567466
Position 1235: 0.00184811844905673
Position 1806: 0.001155124973138438
Position 120: 0.000918215227117386
Position 1434: 0.0005494588924166683
Position 1405: 0.0005489174394500884
Position 1429: 0.0005239082813028785
Position 1324: 0.0004921926745426735
Position 606: 0.0004125989734629669
Position 1768: 0.00040421764369437716
Position 419: 0.0003992724148896595
Position 1382: 0.0003181430543550014
Position 266: 0.00031210046885321764
Position 1412: 0.0003048330988589168
Position 431: 0.00030349313616775096
Position 1008: 0.00022993111201749923
Position 889: 0.00010445417834321873
Position 899: 0.0001025906542877507
Position 189: 7.727904029061018e-05
Position 590: 6.131571253709719e-05
Position 515: 5.9967250001427265e-05
Position 1121: 4.7526520443110766e-08
