Gene = nuf
index = 1825
Annotated 5SS: [38084 39237 39441 40243 40456]
Annotated 3SS: [38957 39305 39785 40306 41056]
SMsplice 5SS: [  722  9231  9578  9938 22334 39441 40243 40456]
SMsplice 3SS: [ 9074  9294  9868 22218 39305 39785 40306 41056]
top_k =  100
Partition function (log Z): 3.0954272197113837

Sorted 5' Splice Sites (High to Low Probability):
Position 22334: 0.9999999999999996
Position 9938: 0.9999999999999994
Position 9231: 0.9941807553471377
Position 9578: 0.9935614799582109
Position 40243: 0.9889608947083124
Position 40456: 0.9737155649033437
Position 722: 0.7942034873328051
Position 26015: 0.24363187114772883
Position 395: 0.13209434595406347
Position 106: 0.074682492527769
Position 40766: 0.06647911336763841
Position 41926: 0.05446867611847637
Position 41182: 0.040759250143722406
Position 27553: 0.024237610778358242
Position 40887: 0.019190187348349135
Position 40894: 0.010785734348153529
Position 40247: 0.010463623734316151
Position 40640: 0.010121368908226718
Position 40964: 0.009633280665682926
Position 40460: 0.0070375877702012835
Position 40821: 0.0063822919187897995
Position 9602: 0.006080273706353781
Position 7117: 0.003364451377867045
Position 40849: 0.003266993759827604
Position 41316: 0.001832641184753482
Position 1966: 0.0013756182891823128
Position 40503: 0.0009283206929995636
Position 41729: 0.0004003467694335892
Position 1409: 9.091527228879068e-05
Position 569: 7.307325016791133e-05
Position 567: 6.390266077031384e-05
Position 565: 5.6073892389554196e-05
Position 252: 4.918237623441522e-05
Position 937: 3.8809818558293075e-05
Position 561: 2.6579909188141214e-05
Position 387: 2.3930897816839194e-05
Position 563: 1.2203036346273196e-05
Position 40476: 1.07039953323561e-05
Position 393: 4.715657791321217e-06
Position 138: 3.93345646192115e-06
Position 238: 3.1034230757671317e-06
Position 579: 2.82229418480231e-06
Position 125: 2.20871435376213e-06
Position 318: 1.976700967023003e-06
Position 110: 1.1102075789904855e-06
Position 96: 1.0134755077090975e-06
Position 146: 8.378897104088298e-07
Position 130: 7.025732188392714e-07
Position 12783: 2.2166693230388454e-19
Position 10447: 4.240827843321849e-20
Position 10797: 2.3895269251006595e-20

Sorted 3' Splice Sites (High to Low Probability):
Position 9074: 1.0000000000000002
Position 22218: 0.9999999999999996
Position 39785: 0.9999999999999994
Position 40306: 0.9879169311328141
Position 9868: 0.9671510463086858
Position 41056: 0.9053570004420372
Position 9294: 0.7631286591425317
Position 25951: 0.24363187114772883
Position 9297: 0.22070627467274248
Position 40726: 0.15343638903107887
Position 42078: 0.04600791583772068
Position 9675: 0.03284895369131346
Position 40687: 0.02852167332463274
Position 27474: 0.024237610778358242
Position 41366: 0.021359920220555884
Position 40501: 0.017622348459508937
Position 41657: 0.01192174858131928
Position 9454: 0.009987575196427916
Position 42010: 0.008726056203321295
Position 40320: 0.003923780979440248
Position 40315: 0.0034933562044647073
Position 41693: 0.0034218972542675386
Position 6897: 0.0033644513778670415
Position 41389: 0.0022290353608743693
Position 42333: 0.002201649655195356
Position 41833: 0.0014465800679882318
Position 41632: 0.0014009997664919842
Position 1797: 0.0013756182891823123
Position 42015: 0.001097898238793162
Position 40356: 0.0010804743842536145
Position 41502: 0.0009614009991351406
Position 41065: 0.000905421511374215
Position 41335: 0.0005225429529810494
Position 437: 0.0005056920051941084
Position 178: 0.0003457252091373626
Position 41822: 0.0003339696054455349
Position 40541: 0.0003046273116254789
Position 40619: 0.0002429628122410691
Position 551: 0.00023002423277972662
Position 665: 0.0002040318056788765
Position 483: 8.236790802312905e-05
Position 229: 6.958016043544814e-05
Position 12534: 2.216669323038851e-19
Position 12841: 2.2166693230388454e-19
Position 10751: 4.854503294215903e-21
Position 9731: 1.3709067797555422e-21
Position 10235: 7.688064896415964e-22
