Gene = Cand1
index = 1052
Annotated 5SS: [ 245  694 1042 1286 2705 3997 4206]
Annotated 3SS: [ 309  751 1122 1345 2768 4058 4269]
SMsplice 5SS: [ 245  694 1042 1286 1496 2705 3997 4206]
SMsplice 3SS: [ 309  751 1122 1345 2182 2768 4058 4269]
top_k =  100
Partition function (log Z): 29.06018251622324

Sorted 5' Splice Sites (High to Low Probability):
Position 1042: 0.9998097932733634
Position 4206: 0.9979810863503962
Position 1286: 0.9972106811668211
Position 2705: 0.9958104975270149
Position 694: 0.9946280651625602
Position 3997: 0.9942645096924405
Position 245: 0.9796981118833704
Position 1496: 0.583145498084399
Position 2096: 0.12522896579571438
Position 1447: 0.055928227415891145
Position 92: 0.055163008924134734
Position 1712: 0.03915194083222047
Position 2090: 0.0236789026483902
Position 3639: 0.018209437441285795
Position 2327: 0.014279672756548695
Position 249: 0.010139328260647389
Position 1458: 0.008983055128832474
Position 4383: 0.0066268710357389625
Position 4366: 0.005848271643265227
Position 3987: 0.003746740605181033
Position 2709: 0.0032951972821450492
Position 3540: 0.002650444509669907
Position 3088: 0.0025567843580905918
Position 1608: 0.0025347156629194094
Position 502: 0.0020305438536668027
Position 3049: 0.0018411736400215646
Position 4210: 0.0014661231877666988
Position 3261: 0.001354204302239587
Position 4001: 0.0012986480001914219
Position 104: 0.0011433789615780652
Position 4462: 0.0009776846008512701
Position 4413: 0.0008290507370950296
Position 517: 0.0005857507426961332
Position 2928: 0.0004406595337905985
Position 3003: 0.00042474896263577206
Position 1293: 0.00033136787472554764
Position 412: 0.0003123168079884399
Position 4396: 0.0003046194412845354
Position 2923: 0.00028744107304856187
Position 415: 0.000286499990966999
Position 15: 0.0002728489279282557
Position 51: 0.00023612184054367622
Position 649: 0.00020856383230879083
Position 205: 0.00019788372312981212
Position 604: 0.00017227761344535704
Position 698: 0.00016001139839530318
Position 2684: 0.00014352848139683697
Position 4446: 6.915720598855526e-05
Position 1064: 4.972317168589851e-05
Position 587: 4.751041067899149e-05
Position 214: 4.347623167986924e-05
Position 1719: 4.0036418562176e-05
Position 1851: 3.19092672134396e-05
Position 457: 2.3896737326239584e-05
Position 4106: 2.3553254704406993e-05
Position 183: 1.699909672670634e-05
Position 1046: 1.435710071071381e-05
Position 3944: 1.3916757984898689e-05
Position 1465: 9.810947367736804e-06
Position 3747: 9.729910944986816e-06
Position 162: 9.02708694867686e-06
Position 954: 8.31934952947576e-06
Position 2439: 3.6699801290896845e-06
Position 1024: 3.662367763402143e-06
