Gene = PHGPx
index = 1356
Annotated 5SS: [ 448 1919]
Annotated 3SS: [1594 1985]
SMsplice 5SS: [ 448 1289 1919]
SMsplice 3SS: [1077 1594 1985]
top_k =  100
Partition function (log Z): 1.745005507149987

Sorted 5' Splice Sites (High to Low Probability):
Position 1919: 0.9982430696804103
Position 1289: 0.9624701333686682
Position 448: 0.27140050447508407
Position 587: 0.2351183132368384
Position 103: 0.18839149140508296
Position 1014: 0.09596755072745611
Position 177: 0.06918899872772225
Position 581: 0.03943400077477494
Position 58: 0.02353518718565966
Position 530: 0.022539143849808155
Position 713: 0.02108847026825391
Position 1293: 0.0075045993683119094
Position 602: 0.006937457222735227
Position 2191: 0.006881490249953097
Position 546: 0.006859247043091556
Position 402: 0.006603250070085068
Position 2174: 0.005322811530341554
Position 192: 0.005297265342914677
Position 259: 0.0036674454932856884
Position 426: 0.0027251629522755355
Position 1783: 0.0027136052920099457
Position 687: 0.002259217248715416
Position 639: 0.002167728121837439
Position 1223: 0.0004857178278507106
Position 1703: 0.0002969587568148186
Position 2180: 0.00012341330497262816
Position 2091: 0.00012215945401717286
Position 297: 0.00010215002769615784
Position 1907: 4.031113953748564e-05
Position 2084: 2.7144917938595672e-05
Position 66: 1.783094737387355e-05
Position 2069: 1.5429183402309487e-05
Position 171: 9.554812069127099e-06
Position 15: 3.436208082027788e-06
Position 1868: 1.8796154493173228e-07
Position 1690: 2.6918920543776496e-08
Position 1732: 2.6272302898822185e-08
Position 82: 7.680293817714862e-13
Position 32: 5.882874963772225e-13
Position 25: 1.9342169186346377e-13
Position 73: 1.1936713400341033e-13
Position 38: 1.059241616551262e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 1985: 0.9959826271640967
Position 1594: 0.9939652195531754
Position 1077: 0.7116543812500927
Position 167: 0.11553866409358259
Position 648: 0.06343290815401673
Position 1123: 0.03736029181602596
Position 257: 0.023775354047419258
Position 2251: 0.012705055124920372
Position 524: 0.011047004271920855
Position 1131: 0.0032520433821256133
Position 1341: 0.0027381929207259377
Position 1840: 0.0020671878823631715
Position 126: 0.0015917705084287524
Position 1374: 0.0014262778947455627
Position 745: 0.0013172778251168637
Position 348: 0.0012688825817187294
Position 359: 0.0012072424458643568
Position 2033: 0.0010743219978099883
Position 1547: 0.0009931049513036494
Position 199: 0.0009622150346737589
Position 1828: 0.0009431173419558398
Position 270: 0.0006556172647046856
Position 321: 0.0005220795362126975
Position 324: 0.0005091850504118394
Position 2224: 0.00046070566125716594
Position 679: 0.0004503202048157557
Position 2230: 0.00042971892780094604
Position 1463: 9.808899049234751e-05
Position 2042: 7.922904119475672e-05
Position 2039: 3.079327735313188e-05
Position 2255: 1.3985392329913056e-05
Position 154: 6.6059858286668815e-06
Position 204: 1.021795130374073e-06
