Gene = amd
index = 1608
Annotated 5SS: [2162]
Annotated 3SS: [2639]
SMsplice 5SS: [197 493]
SMsplice 3SS: [ 257 2639]
top_k =  100
Partition function (log Z): 1.3832215086275839

Sorted 5' Splice Sites (High to Low Probability):
Position 493: 0.9730270531254289
Position 197: 0.8623842976254179
Position 2162: 0.16955659345492954
Position 2253: 0.15733234942818278
Position 190: 0.12659990492104523
Position 1328: 0.08913531528732448
Position 1421: 0.080640934624023
Position 3340: 0.03222320949662018
Position 1198: 0.016539133432174134
Position 449: 0.013985540254464803
Position 1082: 0.011386200612924387
Position 661: 0.010409426609288607
Position 1746: 0.00924986907398883
Position 2859: 0.006234729727175545
Position 199: 0.004948312885016044
Position 2263: 0.0040192687686407295
Position 510: 0.0028527555414616457
Position 3568: 0.0028372098565142283
Position 1364: 0.001305315037017305
Position 1802: 0.0008857934109300375
Position 36: 0.000603138961235756
Position 81: 0.0005955883697833718
Position 28: 0.0003392273647050711
Position 203: 8.496274027563652e-05
Position 1047: 6.881704641349119e-05
Position 21: 4.5822887057610386e-05
Position 201: 4.4308137320601006e-05
Position 517: 2.8262591176944083e-05
Position 9: 1.6057007020875325e-05
Position 488: 1.4718558708582556e-05
Position 571: 1.0881308111864176e-05
Position 136: 8.147711990163531e-06
Position 161: 4.109414946447399e-06
Position 131: 8.867095619044413e-07
Position 581: 8.298444930925458e-07
Position 377: 5.955860736011365e-07
Position 343: 1.8180455195072327e-07
Position 575: 1.4206934453788686e-07
Position 242: 3.02045834869319e-10
Position 244: 3.9443125264453394e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 2639: 0.9965777387786271
Position 257: 0.9928431512625776
Position 1608: 0.3084523701014746
Position 1282: 0.14149949580425794
Position 911: 0.03904448215002967
Position 3719: 0.020713629707873726
Position 3408: 0.01893665838972884
Position 639: 0.013389138687932192
Position 1140: 0.009038607577438542
Position 866: 0.008986025362105129
Position 718: 0.00431419477760881
Position 1798: 0.004169754039461487
Position 1468: 0.004059370625849433
Position 1979: 0.0024211710843644505
Position 1061: 0.002371621080275629
Position 773: 0.0023035875071488014
Position 3567: 0.0016448609827073716
Position 752: 0.001529460054945167
Position 300: 0.0011884192465674848
Position 984: 0.0006855369199519518
Position 112: 0.0006604290620207898
Position 324: 0.0005469052314738661
Position 837: 0.00047042849221828984
Position 660: 0.0003718711137211698
Position 1047: 0.0003703819085532666
Position 81: 0.0003003231747178369
Position 1024: 0.00017321712508631593
Position 1163: 0.0001605352415121996
Position 272: 0.00012222730456937055
Position 852: 2.7766341350450454e-05
Position 839: 2.129805831171032e-05
Position 312: 1.1745454784120213e-05
Position 601: 6.87427985764396e-06
Position 533: 4.7778495738436045e-06
Position 309: 1.2334839579785476e-06
Position 131: 2.602481288650486e-07
Position 530: 2.1450634052205636e-07
Position 613: 1.1193349929160522e-07
Position 161: 1.1618705106816465e-08
Position 194: 4.54224995972948e-09
Position 181: 4.73773949949914e-10
Position 52: 2.0919273788168796e-12
