Gene = Proc
index = 1388
Annotated 5SS: [ 262 1166]
Annotated 3SS: [ 958 5282]
SMsplice 5SS: [ 800 1166]
SMsplice 3SS: [ 958 5282]
top_k =  100
Partition function (log Z): -4.824391298534514

Sorted 5' Splice Sites (High to Low Probability):
Position 1166: 0.9967754712314175
Position 800: 0.5387566228421854
Position 262: 0.3637781513817087
Position 6238: 0.11092461529303121
Position 321: 0.10506050831085527
Position 824: 0.08724660461322158
Position 283: 0.06438034828295638
Position 373: 0.043147398113657275
Position 1636: 0.03503911675391104
Position 564: 0.013791035174261519
Position 500: 0.009186142523545235
Position 3404: 0.00908227219764806
Position 2911: 0.005692701898353441
Position 494: 0.005133427491994351
Position 804: 0.0035392763600089073
Position 1205: 0.002895594930275827
Position 354: 0.0028597987200261843
Position 185: 0.002142746212452871
Position 719: 0.0019162637856741092
Position 808: 0.0016100235767170506
Position 543: 0.0014692224937923627
Position 503: 0.0010024837989639527
Position 551: 0.0009475591961092003
Position 579: 0.0005931263296235199
Position 313: 0.0005581277685496027
Position 230: 0.000508379500173817
Position 182: 0.00047115728435400696
Position 81: 0.00030022003595048615
Position 1397: 0.0001786457779124827
Position 140: 0.00012998504193222803
Position 291: 0.00010949425323398194
Position 1197: 4.8125504108182895e-05
Position 1144: 1.040358164276484e-05
Position 1191: 8.878214580886612e-06
Position 52: 4.078918635629786e-06
Position 352: 1.012724618511773e-06
Position 31: 1.6898433311763892e-07
Position 1225: 7.0867498164087e-08
Position 1120: 6.956519432174767e-08
Position 266: 5.377238339601642e-08
Position 23: 2.229772280341136e-08
Position 177: 1.3441467778428092e-08
Position 5: 1.3282217362694144e-08
Position 112: 9.427402074793689e-09
Position 121: 4.197251817843969e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 958: 0.9943702225657963
Position 5282: 0.9376114893399278
Position 621: 0.15928903570986272
Position 6288: 0.11283418149369968
Position 673: 0.0353848753044771
Position 319: 0.032486844753772046
Position 6574: 0.032135740341925755
Position 1319: 0.02086064661301882
Position 2767: 0.019464588143736857
Position 730: 0.012795360742845036
Position 1459: 0.011992213168935005
Position 3764: 0.0064291628309824395
Position 602: 0.005699326173143059
Position 419: 0.0049267061402723964
Position 3639: 0.004155893014338548
Position 585: 0.0028311277471821565
Position 1593: 0.002331152421966048
Position 6759: 0.001885663320344579
Position 4970: 0.0017984564644765472
Position 1626: 0.0015103050160200895
Position 1267: 0.0014987583961541733
Position 5234: 0.0013009051208665908
Position 739: 0.0008325227347992847
Position 4663: 0.00074390582302719
Position 2074: 0.0005782685734798846
Position 4531: 0.0004761359576139168
Position 4332: 0.00045889433786001194
Position 3800: 0.000445841636874504
Position 4283: 0.00040808105360448616
Position 2645: 0.00036632650158013847
Position 2277: 0.00033609272420224913
Position 3934: 0.0002863557741481807
Position 3767: 0.00022599471600100458
Position 3525: 0.00019697192625533206
Position 3385: 0.00013903376361795727
Position 2707: 8.450587729278184e-05
Position 1323: 3.0230461001931924e-05
Position 1420: 2.5434523922306656e-05
Position 1384: 2.5267386593029084e-05
Position 325: 2.3191854404818945e-05
Position 1221: 1.0024795911587145e-05
Position 1341: 9.44429619491833e-06
Position 121: 4.2662218347246216e-06
Position 400: 1.0050908340675391e-10
Position 386: 8.908145559158369e-11
