Gene = ref(2)P
index = 1855
Annotated 5SS: [ 521 2634]
Annotated 3SS: [1151 2688]
SMsplice 5SS: [ 521 2634]
SMsplice 3SS: [1151 2688]
top_k =  100
Partition function (log Z): -3.7382388681624317

Sorted 5' Splice Sites (High to Low Probability):
Position 2634: 0.9980655351030115
Position 521: 0.8845596036609362
Position 1847: 0.0608090271674645
Position 502: 0.05410091988704312
Position 1402: 0.05066688172194975
Position 2805: 0.049539754260752696
Position 263: 0.02675024065388582
Position 2814: 0.023709636679810672
Position 624: 0.013871643287517598
Position 1503: 0.0057837551276727584
Position 980: 0.00543088857649149
Position 1075: 0.004610461428007671
Position 2867: 0.002707444315469719
Position 549: 0.0022162792424962265
Position 318: 0.001995039405401358
Position 840: 0.0017031455697199109
Position 2771: 0.0016569751349757287
Position 1032: 0.0015223012987538847
Position 82: 0.0009709045134294335
Position 282: 0.0008893523730661548
Position 142: 0.0007391610524633391
Position 2775: 0.00038681028967466107
Position 2534: 0.0003663857000984567
Position 821: 0.0001092359889561164
Position 210: 9.694272860398295e-05
Position 630: 9.396398948039949e-05
Position 555: 8.94196959968189e-05
Position 174: 4.7638352074885536e-05
Position 133: 3.0580444779084774e-05
Position 240: 2.9622445319818922e-05
Position 213: 2.3316004940677602e-05
Position 60: 5.497424307183609e-06
Position 322: 4.3337322819750436e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 2688: 0.9762737789328739
Position 1151: 0.6891060993841311
Position 1948: 0.12585968606011178
Position 1013: 0.08252474936138605
Position 2885: 0.07314853460640265
Position 2422: 0.04717969299086795
Position 2001: 0.029235419205489926
Position 1582: 0.025345991338051814
Position 2737: 0.02084549089185961
Position 318: 0.020463130110841006
Position 1237: 0.015631792867112967
Position 1526: 0.015214786881494257
Position 1909: 0.014167546875520912
Position 1435: 0.008570506168220561
Position 334: 0.00785053651280728
Position 711: 0.006952152306765184
Position 575: 0.005843932662388426
Position 1922: 0.005487996026449573
Position 2922: 0.00539583323762782
Position 1198: 0.004095394833874241
Position 1178: 0.003939421453710621
Position 381: 0.002758481189360135
Position 1049: 0.0016582105370432133
Position 1213: 0.001253174304280693
Position 809: 0.001181198984803482
Position 669: 0.0008525227355580504
Position 980: 0.0008088299055256955
Position 2822: 0.00040946993498321236
Position 745: 0.0003645569266845181
Position 604: 0.00034456090469254705
Position 2934: 0.00023434068755560553
Position 2900: 0.0002069804498857943
Position 3061: 0.00019398550736013807
Position 165: 9.958052278409789e-05
Position 477: 4.2981326285376377e-05
Position 360: 3.842354896363635e-05
Position 126: 2.535666457410531e-06
Position 432: 1.578413584553661e-07
Position 142: 1.4192920859686263e-07
Position 213: 3.001162081200699e-08
Position 234: 1.9201232575853677e-08
Position 133: 1.8390499780719116e-08
Position 210: 1.4397541816923608e-08
Position 116: 9.645159859810955e-09
