Gene = LKRSDH
index = 1247
Annotated 5SS: [ 185  450 1368 1812 2451 3785 4021]
Annotated 3SS: [ 305 1190 1432 1875 2628 3843 4082]
SMsplice 5SS: [ 185  450  828 1368 1812 2451 3785 4021]
SMsplice 3SS: [ 305  513 1190 1432 1875 2628 3843 4082]
top_k =  100
Partition function (log Z): 36.38028105269426

Sorted 5' Splice Sites (High to Low Probability):
Position 4021: 0.9999596790589196
Position 450: 0.9987028602717982
Position 3785: 0.997667944089449
Position 2451: 0.99757058933927
Position 1812: 0.9962505138251865
Position 185: 0.9590915931308025
Position 1368: 0.8178088406822123
Position 4455: 0.5170927557818615
Position 828: 0.3230756773401444
Position 605: 0.09400339896373963
Position 629: 0.06614448631651432
Position 591: 0.04637829902061052
Position 618: 0.04304768186734684
Position 906: 0.042500831975826686
Position 242: 0.04076753382399031
Position 2749: 0.036902708844183424
Position 865: 0.03272288433036727
Position 2788: 0.02315017919726283
Position 3193: 0.01591100084893147
Position 820: 0.013181902736045265
Position 2775: 0.012201623732783294
Position 980: 0.0106576242611846
Position 2773: 0.00974722089857895
Position 1263: 0.008327339012038307
Position 4303: 0.007154616648960145
Position 568: 0.006689553183966611
Position 3106: 0.006072915197307835
Position 3209: 0.005474447475560649
Position 1523: 0.005428260681842231
Position 1089: 0.00483167975873546
Position 613: 0.004498225628063725
Position 599: 0.004095376302131255
Position 4164: 0.003073086066778011
Position 572: 0.0025310254592523273
Position 949: 0.00232874078784803
Position 4379: 0.0020791957954032075
Position 1387: 0.0016576367449876882
Position 2729: 0.0013696769586270389
Position 2447: 0.0013180139710107172
Position 1242: 0.0010677873301656513
Position 1930: 0.0009263847582923158
Position 408: 0.0007279600635692304
Position 2755: 0.0005790473548751134
Position 2736: 0.0005597699631997913
Position 1902: 0.00042367193291209364
Position 4459: 0.000409166122055663
Position 3724: 0.000394291049514688
Position 430: 0.00031864497269070037
Position 2134: 0.0003159721157034826
Position 1796: 0.00029623784535634697
Position 4648: 0.0002501076681300829
Position 1821: 0.00019789898699466127
Position 2950: 0.00019736700655844825
Position 3160: 0.00018603169196315463
Position 4432: 0.00018045466386808594
Position 414: 0.00012150815066360509
Position 3341: 0.0001032214767483056
Position 1768: 7.549678290303239e-05
Position 2871: 6.7914908984688e-05
Position 2827: 6.731868540201366e-05
Position 386: 6.329306417867508e-05
Position 3701: 5.6516241270972065e-05
Position 189: 5.4060712914984866e-05
Position 180: 5.310124157985123e-05
Position 433: 5.153937466214367e-05
Position 3122: 3.6221529421245644e-05
Position 3086: 3.068363872699182e-05
Position 2839: 2.488188886214225e-05
Position 68: 2.2086880968819496e-05
Position 4025: 2.1755714026335973e-05
Position 4310: 1.8666557467268298e-05
Position 3978: 1.8494632776260714e-05
Position 4277: 1.602855654063057e-05
Position 2246: 1.5974427744152947e-05
Position 2517: 1.2921740896891532e-05
Position 2501: 1.0316708335128248e-05
Position 134: 7.628746650332005e-06
Position 2012: 6.516146796590657e-06
Position 2953: 6.257687863481083e-06
Position 735: 4.8129762604966385e-06
Position 166: 3.825178299797145e-06
Position 402: 1.8799262667456886e-06
Position 422: 1.8056759847986126e-06
Position 390: 1.4413920514803915e-06
Position 2049: 1.194008023803953e-06
Position 2022: 6.82480167603189e-07
Position 2793: 4.4800168453913865e-07
Position 127: 1.2534799977686076e-07
