Gene = vir-1
index = 1926
Annotated 5SS: [  117  1799 13984 15890 16255]
Annotated 3SS: [ 1609 13815 15704 15972 19261]
SMsplice 5SS: [  577  1799 13984 15890 16255]
SMsplice 3SS: [ 1609 13815 15704 15972 19157]
top_k =  100
Partition function (log Z): -0.5113404353804638

Sorted 5' Splice Sites (High to Low Probability):
Position 1799: 0.9999999999999994
Position 15890: 0.9995443857359212
Position 13984: 0.9854146730525786
Position 16255: 0.8605618795704995
Position 14758: 0.4602166282809818
Position 18874: 0.41001714617707097
Position 19004: 0.35145330543940523
Position 577: 0.3035074292145154
Position 117: 0.23842326406890807
Position 106: 0.19221400334737593
Position 16231: 0.1271695700839054
Position 13255: 0.10884145871172975
Position 161: 0.09065885311428916
Position 7825: 0.07897637806781445
Position 889: 0.04550238332581022
Position 1075: 0.04023471198840896
Position 18481: 0.03426541383583149
Position 659: 0.02604224702613842
Position 179: 0.022345933901078297
Position 14606: 0.01914663501804798
Position 1470: 0.012095929405981238
Position 14204: 0.009880051576826867
Position 14685: 0.007519852296755838
Position 1107: 0.0035427315724230763
Position 16838: 0.0027481438838246335
Position 559: 0.0019228358613459222
Position 165: 0.001067169527640827
Position 14009: 0.001039390158575617
Position 762: 0.0008816869583430875
Position 78: 0.0007538306115228907
Position 671: 0.0006274047545411827
Position 663: 0.0006128944491072327
Position 15833: 0.00011003358519938829
Position 513: 5.973255547742938e-05
Position 177: 4.80891461789165e-05
Position 16109: 4.593592234908871e-05
Position 697: 3.352263505645303e-05
Position 387: 1.3514153187729565e-05
Position 183: 1.0340382819044444e-05
Position 16569: 6.011245942373965e-06
Position 394: 5.714389481227401e-06
Position 148: 3.880920547992946e-06
Position 159: 3.7131786036418742e-06
Position 216: 1.982630883857425e-06
Position 472: 2.581454667387756e-07
Position 16388: 3.758501960054851e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 15972: 0.9983933848728184
Position 13815: 0.9797592961197042
Position 15704: 0.9479477715209463
Position 19157: 0.7291812539566495
Position 1609: 0.7115387498695158
Position 18253: 0.5545706564755005
Position 14330: 0.46851180913082774
Position 18936: 0.37626020123268367
Position 848: 0.2051846287282208
Position 13152: 0.12833699788399178
Position 7714: 0.07897637806781445
Position 16805: 0.03914989384355246
Position 14665: 0.034684063697927044
Position 238: 0.021762659785992775
Position 17272: 0.020795415031555662
Position 16959: 0.015705571463902297
Position 16769: 0.011665501861954773
Position 15111: 0.011547084215063553
Position 1363: 0.011293451375191976
Position 17126: 0.01067719904509049
Position 15750: 0.010120856752970968
Position 16431: 0.008127853820202157
Position 1388: 0.007847292446634267
Position 888: 0.006216292070965292
Position 1243: 0.005428619450737811
Position 16451: 0.004789278638161122
Position 15657: 0.00399249899307455
Position 17398: 0.0038462816101282526
Position 15135: 0.003648353781823887
Position 663: 0.0035517968921324663
Position 17105: 0.00307143458799958
Position 625: 0.0028969894488150116
Position 14402: 0.002504424986470554
Position 16698: 0.002346959397496241
Position 16526: 0.0021596227537032885
Position 16899: 0.0018743104960982806
Position 554: 0.0017206273981251914
Position 16038: 0.0015631158917411942
Position 16448: 0.0010777068587866842
Position 387: 0.0010314756205568292
Position 16645: 0.0008132326877920458
Position 409: 0.00061707278171701
Position 290: 0.0005626065839942494
Position 472: 0.0005436176456041773
Position 14879: 0.0003442319072993557
Position 14851: 0.0003178355520598711
Position 16659: 0.00010913406024237804
Position 247: 0.00010006885377051036
Position 817: 9.459648037123093e-05
Position 394: 8.150291668611285e-05
Position 365: 7.781468298582134e-05
Position 500: 6.419423311531563e-05
Position 16158: 4.593592234908871e-05
Position 15990: 3.4086963802443574e-05
Position 15944: 3.878502566574072e-06
Position 16028: 3.2634753882461586e-06
Position 16022: 1.5416814114703797e-07
