Gene = ush
index = 1923
Annotated 5SS: [47840 49217 60747 61212 61530 63030 63233]
Annotated 3SS: [49171 59802 60816 61328 61642 63089 63297]
SMsplice 5SS: [  112 25456 60747 61212 61530 63030 63233]
SMsplice 3SS: [25258 59802 60816 61328 61642 63089 63297]
top_k =  100
Partition function (log Z): -73.88784629645617

Sorted 5' Splice Sites (High to Low Probability):
Position 112: 0.9999999055049118
Position 12516: 0.7585059243802702
Position 12798: 0.27970912121659675
Position 6564: 1.314760255470851e-05
Position 5486: 1.1948730336860184e-05
Position 442: 1.051751145541669e-05
Position 5104: 4.846429409904109e-06
Position 3541: 4.777800578260114e-06
Position 5108: 4.6862384197460495e-06
Position 3537: 4.5665169819970415e-06
Position 3081: 2.8255630145105516e-06
Position 2603: 1.1464546852278476e-06
Position 2011: 5.386356962423632e-07
Position 3060: 3.647629745435106e-07
Position 548: 6.302851670379968e-08
Position 239: 3.0188176515657083e-08
Position 1103: 1.1096274459111002e-08
Position 268: 5.6280297512560775e-09
Position 253: 1.8680909052714597e-09
Position 90: 1.8613960862280795e-09
Position 47: 6.641509044544889e-10
Position 84: 4.5001872921684116e-10
Position 162: 2.820326984570385e-10
Position 374: 1.505223389676055e-10
Position 221: 9.233487150211667e-11
Position 292: 8.668999066174553e-11
Position 389: 1.905760252240671e-11
Position 334: 1.1817188466055138e-11
Position 336: 6.017024896030657e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 11861: 0.7667904437988253
Position 12632: 0.7153434984326792
Position 13296: 0.5524923521016886
Position 9985: 0.002067795151031127
Position 10202: 0.0012567405712455564
Position 5936: 0.00019186646642093137
Position 7186: 3.7880763804462464e-05
Position 4937: 2.7973607953413982e-05
Position 6634: 1.314760255470851e-05
Position 3177: 9.933259954789905e-06
Position 6433: 8.665083118167921e-06
Position 346: 8.458588161173036e-06
Position 3210: 4.920863695209052e-06
Position 5802: 4.895245537664747e-06
Position 2901: 4.543633166091221e-06
Position 319: 2.9928717502587995e-06
Position 3378: 2.6567838963720174e-06
Position 3363: 1.5131701287155322e-06
Position 3953: 9.704553165729106e-07
Position 210: 8.716696220765478e-07
Position 2525: 7.14249483095427e-07
Position 2481: 3.3599963783530376e-07
Position 2072: 2.837532107170122e-07
Position 3354: 2.4041412404940955e-07
Position 1172: 2.388359348766666e-07
Position 713: 2.313165995649967e-07
Position 1073: 7.682506839554366e-08
Position 442: 6.931072801744453e-08
Position 1930: 3.078086464277623e-08
Position 412: 2.5710642393979286e-08
Position 458: 2.0831983617061807e-08
Position 1042: 1.3448733727853287e-08
Position 382: 9.383632016005313e-09
Position 174: 9.046480666686545e-09
Position 162: 8.14611165712944e-09
Position 1780: 4.561499606430664e-09
Position 221: 4.5708951585667246e-11
