Gene = cass
index = 1643
Annotated 5SS: [ 240  490 1196 1472 1730 1979]
Annotated 3SS: [ 327  661 1270 1526 1791 2045]
SMsplice 5SS: [ 277  490 1196 1472 1730 1979 2481]
SMsplice 3SS: [ 327  661 1270 1526 1791 2045 2533]
top_k =  100
Partition function (log Z): 27.15319584468773

Sorted 5' Splice Sites (High to Low Probability):
Position 1196: 0.9992222063583421
Position 1472: 0.9970918037364355
Position 1730: 0.9959983231065066
Position 1979: 0.9929768194385155
Position 490: 0.9836998916565692
Position 2481: 0.9472094007322207
Position 277: 0.7389677704887115
Position 240: 0.2524840658679683
Position 2301: 0.07645528763679488
Position 728: 0.013295297951595371
Position 2315: 0.010961964741235564
Position 2294: 0.01014034103207531
Position 52: 0.00767572633880546
Position 785: 0.006895506238486051
Position 494: 0.006682228856114679
Position 2354: 0.0035164817506205146
Position 260: 0.0034964279749999817
Position 1734: 0.0031572165147391827
Position 560: 0.0030648096315284566
Position 407: 0.0029667610788762337
Position 564: 0.0018408257027728667
Position 932: 0.001759968936859394
Position 1463: 0.0014809529012106573
Position 114: 0.0012638569703086538
Position 2478: 0.0010799995285550009
Position 585: 0.0009682938883656281
Position 924: 0.000838678387297811
Position 547: 0.0007144337126962705
Position 149: 0.0005017297853241282
Position 732: 0.00041777824145085567
Position 1485: 0.00035375175587723143
Position 1613: 0.0003343677596119786
Position 109: 0.00030682725763717155
Position 1391: 0.0003054619449879377
Position 2863: 0.0002794776964767285
Position 43: 0.0002535820411259044
Position 212: 0.00024905788114074604
Position 895: 0.00023201885384519595
Position 1952: 0.00016501056686231584
Position 2641: 0.0001607259469003164
Position 1991: 0.00015027923591572114
Position 1478: 0.0001448787896962617
Position 2713: 0.00010854020202082277
Position 79: 9.685173805745211e-05
Position 508: 7.559933571072597e-05
Position 598: 6.415821868237362e-05
Position 191: 6.010190025050089e-05
Position 1145: 5.9681610845277036e-05
Position 2790: 5.452641743857008e-05
Position 498: 4.167020395061791e-05
Position 1967: 4.123468116038628e-05
Position 1304: 3.783826842664481e-05
Position 468: 3.684037314153004e-05
Position 1200: 3.325516204573694e-05
Position 107: 3.317215302663818e-05
Position 18: 3.300416808981912e-05
Position 29: 2.909830951697741e-05
Position 1165: 1.5561099003986987e-05
Position 1454: 1.043994379520341e-05
Position 1476: 8.985857831876213e-06
Position 1148: 8.729898933712902e-06
Position 1651: 7.564361198009924e-06
Position 1512: 6.391781582455971e-06
Position 1657: 4.370005360496949e-06
Position 1355: 3.661895064470904e-06
Position 1583: 2.163712439221539e-06
Position 5: 1.4668322685136878e-06
Position 291: 1.280926552091555e-06
Position 153: 8.315083167810838e-07
Position 1604: 6.679848102386725e-07
Position 2036: 6.534227100157721e-07
Position 1662: 4.5841051491590917e-07
Position 459: 2.1189359504273984e-07
Position 399: 5.582565574981449e-08
Position 2485: 3.08395341672379e-08
Position 2263: 2.185414702203461e-08
Position 2196: 1.0044023130700955e-08
Position 2159: 2.6298432235758864e-09
Position 962: 2.7531434323770187e-11
Position 751: 3.6349056343350374e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 327: 0.9971719910736013
Position 1791: 0.9970938141211373
Position 661: 0.9943784128949344
Position 1270: 0.9935578927211804
Position 2045: 0.9726222804569143
Position 1526: 0.951660074260959
Position 2533: 0.9324241054646627
Position 2365: 0.07413025149030601
Position 1547: 0.041135819860018685
Position 2372: 0.0182334597086428
Position 2051: 0.01627626715159827
Position 2641: 0.009965629809089717
Position 850: 0.008712544243818737
Position 2944: 0.007936556633273712
Position 773: 0.007636291809900048
Position 149: 0.007107191635098791
Position 988: 0.0065522084018569985
Position 1589: 0.006342423603172713
Position 609: 0.002507483404862933
Position 1801: 0.002485342306994814
Position 1330: 0.0023046916587749267
Position 2419: 0.0022689796074851012
Position 2899: 0.0020589904635834756
Position 2091: 0.0017795578185049708
Position 2195: 0.0017624375586553036
Position 1380: 0.001678975117043486
Position 1355: 0.001469914767910624
Position 2697: 0.0014455467783870302
Position 784: 0.001437192725461036
Position 2402: 0.00109771605264634
Position 554: 0.0010251981629354108
Position 673: 0.0010049358040770215
Position 124: 0.000642677008562699
Position 2701: 0.00040431369872105834
Position 1390: 0.00030602274994040977
Position 2823: 0.0002720696333246013
Position 2004: 0.000162270037713268
Position 2790: 0.0001421895200589612
Position 170: 0.0001404802478684661
Position 1454: 0.00011978373503487429
Position 2108: 0.00011787557525698567
Position 781: 0.00011518814035120422
Position 2447: 8.747284597431789e-05
Position 932: 7.508930423103958e-05
Position 114: 6.64054274960936e-05
Position 703: 6.0567539501131694e-05
Position 167: 6.043653840667157e-05
Position 2156: 6.0378036468133835e-05
Position 346: 5.626835517791947e-05
Position 713: 5.437539579209369e-05
Position 1651: 5.230093613490295e-05
Position 2873: 5.105126850491863e-05
Position 1823: 5.0253045865468e-05
Position 615: 4.781849861894117e-05
Position 1418: 3.843950458753638e-05
Position 1810: 3.809528854313747e-05
Position 910: 3.0700057302559976e-05
Position 1657: 2.8381013211350923e-05
Position 183: 1.5994735493702454e-05
Position 357: 1.2773315200707238e-05
Position 366: 1.0870999904198561e-05
Position 459: 8.981282493587842e-06
Position 399: 7.128372374354701e-06
Position 378: 6.110540810715299e-06
Position 1604: 5.5120942033584656e-06
Position 348: 5.463242617022705e-06
Position 1828: 5.121021944835697e-06
Position 206: 4.577310434174473e-06
Position 1699: 4.2285575141968855e-06
Position 2159: 2.4917470927627573e-06
Position 1674: 2.1099320565333827e-06
Position 451: 1.0598234830600205e-06
Position 218: 7.650161119616987e-07
Position 1813: 6.813301387241604e-07
Position 1870: 4.195720146635927e-07
Position 240: 5.114788522983631e-08
Position 384: 1.3369554573235297e-09
Position 445: 6.462580874944644e-11
