Gene = Tfb4
index = 1555
Annotated 5SS: [  61  299  547 1027]
Annotated 3SS: [ 117  350  607 1090]
SMsplice 5SS: [  61  299  547 1027]
SMsplice 3SS: [ 117  350  607 1090]
top_k =  100
Partition function (log Z): 5.307742839523183

Sorted 5' Splice Sites (High to Low Probability):
Position 299: 0.9893273817839092
Position 547: 0.9509831945341999
Position 61: 0.9450605110056708
Position 1027: 0.9152408960714606
Position 494: 0.026024584985575396
Position 818: 0.02567095840296258
Position 276: 0.007341264113592109
Position 1160: 0.004174691840859694
Position 808: 0.003750437158726423
Position 688: 0.003539944031178785
Position 531: 0.002337695448782481
Position 853: 0.0012088229265402053
Position 977: 0.0010720914413949645
Position 219: 0.0009103355011271559
Position 676: 0.0008990835709057576
Position 303: 0.0006220422602944026
Position 771: 0.0005156769280013384
Position 273: 0.0004292695538416007
Position 1031: 0.000346953178875489
Position 789: 0.00026833559120286403
Position 945: 0.00025320564392099156
Position 439: 0.00022979527517255012
Position 989: 0.00021936459757475302
Position 321: 0.0001362025418175728
Position 408: 0.00012081108852537147
Position 1172: 0.00010439063853310768
Position 500: 5.193778418078966e-05
Position 67: 3.66883274456255e-05
Position 519: 2.3651532797300278e-05
Position 141: 1.0971700664894024e-06
Position 177: 9.135876514631555e-07
Position 427: 5.441610116815241e-07
Position 397: 4.253882352059924e-07
Position 417: 8.852864270330757e-09
Position 147: 4.373513347369047e-09
Position 382: 1.1298932305362767e-09
Position 697: 3.201765846884827e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 350: 0.9896320898452131
Position 607: 0.9677908199635858
Position 117: 0.941469089584247
Position 1090: 0.9078892791151573
Position 877: 0.039134120774483507
Position 374: 0.007143878838516649
Position 613: 0.005445483428327216
Position 1103: 0.0049189615071360705
Position 1229: 0.00438900300562428
Position 1127: 0.0028666028885553
Position 377: 0.0021317134906638662
Position 808: 0.0018297865230709723
Position 170: 0.0016359394603428436
Position 914: 0.0010894041385901667
Position 1069: 0.0010588552903847618
Position 194: 0.0009880509752913309
Position 724: 0.0003603086652065534
Position 185: 0.00021272043196283858
Position 1056: 0.00020569897954120616
Position 665: 0.00018828768900477861
Position 637: 0.00010543609978532769
Position 688: 0.00010050574227553302
Position 1217: 8.233281913387444e-05
Position 1005: 4.835215337368627e-05
Position 1169: 4.4809680663226294e-05
Position 414: 3.768395839483797e-05
Position 215: 3.2019334676229255e-05
Position 435: 2.7872514193756675e-05
Position 1172: 2.726334933379489e-05
Position 251: 1.1143978020464274e-05
Position 254: 5.609533464748416e-06
Position 260: 8.89842561536049e-08
