Gene = nompB
index = 1819
Annotated 5SS: [  197   447  2231  3024  7805 10693 10834]
Annotated 3SS: [  249  2004  2302  7606  9798 10746 10893]
SMsplice 5SS: [  197   447  7807  8084 10693]
SMsplice 3SS: [  249  7606  7868  9785 10893]
top_k =  100
Partition function (log Z): -0.5937682070199253

Sorted 5' Splice Sites (High to Low Probability):
Position 197: 0.9930015349181778
Position 447: 0.9635330258003921
Position 10693: 0.9509823624464939
Position 7807: 0.8226723849405553
Position 8084: 0.7471088447375382
Position 2231: 0.5334156300277985
Position 3024: 0.3046390637720694
Position 3053: 0.11283603305457436
Position 451: 0.03024417006939538
Position 10968: 0.009791010231628563
Position 442: 0.003969301143584251
Position 366: 0.0019582536960020386
Position 2490: 0.0012294208944760919
Position 57: 0.0009214725285039348
Position 2193: 0.0006016331984257011
Position 49: 2.613882497077446e-05
Position 201: 1.9230416970052345e-05
Position 134: 1.197710835556993e-05
Position 52: 6.717872963398911e-07
Position 3638: 3.1204245816083705e-07
Position 1669: 1.7849455696421232e-07
Position 2657: 5.4806087772934345e-08
Position 1508: 2.9512283574048675e-08
Position 1513: 2.6373566770351345e-08
Position 1003: 2.4077598225313874e-08
Position 47: 2.9006676164462437e-09
Position 16: 1.887719586857673e-09
Position 328: 6.391127956135603e-10
Position 941: 1.4353873188604016e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 249: 0.9744206329719283
Position 9785: 0.9365301642241199
Position 7606: 0.916329318240692
Position 10893: 0.8321571079420444
Position 2004: 0.5196273964536043
Position 7868: 0.4429043702376299
Position 2281: 0.3766701951355359
Position 7883: 0.21110669838770507
Position 10746: 0.06577928989243056
Position 10926: 0.06434509224960841
Position 9789: 0.023587454771912642
Position 269: 0.019014753475020473
Position 10901: 0.015579047203320658
Position 11037: 0.01431150486970744
Position 2749: 0.012885144471778858
Position 2030: 0.011673782376211502
Position 10753: 0.007915456020073732
Position 2555: 0.004064964808136025
Position 1926: 0.003670754475186654
Position 2066: 0.0032974409910357105
Position 1422: 0.0028880546896887455
Position 2349: 0.0024857734773058603
Position 1407: 0.0024305672736748074
Position 1602: 0.002074438481884961
Position 1240: 0.0019412323414347461
Position 1564: 0.0017535875224505666
Position 2017: 0.0016460733015436428
Position 838: 0.0012167866486135909
Position 1941: 0.0011756189284351755
Position 1002: 0.001065957665513714
Position 761: 0.0007120831826486931
Position 1605: 0.0005968619007187346
Position 1147: 0.0005517824148466375
Position 266: 0.00040368994888124223
Position 316: 0.00014087285607637795
Position 3120: 5.888142517333496e-06
Position 3173: 1.2905821633275288e-06
Position 295: 7.938547302367164e-07
Position 3693: 3.1204245816083753e-07
Position 3161: 2.1242168511537842e-07
Position 319: 1.0585342844246032e-07
Position 365: 8.166929460169772e-08
Position 280: 3.653168866723678e-08
Position 102: 3.268957977918852e-08
Position 3414: 2.3960546151014284e-08
Position 390: 2.2548864634428252e-08
Position 2984: 1.063237269663166e-08
Position 1362: 6.895541068778344e-09
Position 283: 4.959738168716435e-09
Position 850: 4.51378379784314e-09
Position 2440: 3.738221943695508e-09
Position 2421: 3.7309571475814836e-09
Position 305: 3.6525435757890147e-09
Position 891: 2.094099020341645e-09
