Gene = RtcB
index = 1459
Annotated 5SS: [1421]
Annotated 3SS: [1480]
SMsplice 5SS: [1421]
SMsplice 3SS: [1480]
top_k =  100
Partition function (log Z): -5.413582274628698

Sorted 5' Splice Sites (High to Low Probability):
Position 1421: 0.9923049593488774
Position 749: 0.06975039736412614
Position 173: 0.05124218746164066
Position 461: 0.033338023603817116
Position 1724: 0.01110929558146646
Position 1669: 0.009030127989519179
Position 1085: 0.007049922669934959
Position 1709: 0.00494849456322632
Position 1401: 0.0010694211472546409
Position 1732: 0.0008150164786229404
Position 160: 0.0006086173108818179
Position 1425: 0.0005720363376530607
Position 305: 0.0005171970828998798
Position 134: 0.0004275844592271121
Position 1694: 0.00010197585875283279
Position 1747: 6.420898210134516e-05
Position 1634: 3.890223311574664e-05
Position 1631: 3.650758987937315e-05
Position 1589: 1.8422648335796085e-05
Position 1622: 1.0272412440846718e-05
Position 476: 4.502525661679865e-06
Position 587: 3.638302933573252e-06
Position 309: 7.013456137256318e-07
Position 500: 5.136084641057839e-07
Position 57: 3.093005420680138e-08
Position 242: 2.9151705713841467e-08
Position 232: 2.5184333264740094e-08
Position 5: 2.3408275057880966e-08
Position 138: 1.847405538922605e-08
Position 131: 1.1203588106567935e-08
Position 25: 7.19312175836644e-09
Position 224: 7.163366292205433e-09
Position 326: 2.1025961953244846e-09
Position 122: 1.8793268687566817e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1480: 0.9985937435897683
Position 1201: 0.07073582418694364
Position 249: 0.03444157460432374
Position 1793: 0.026526068669037305
Position 1356: 0.019668250961050657
Position 934: 0.00938217172336546
Position 1298: 0.008059830426011359
Position 826: 0.0051499847346616985
Position 532: 0.002375643648445628
Position 1095: 0.001441547823533419
Position 305: 0.0011765163847386145
Position 1121: 0.0009488133337407479
Position 958: 0.0007992294930939272
Position 372: 0.0007817275913011247
Position 1006: 0.0007448702076902138
Position 1042: 0.0005522722513129715
Position 915: 0.0004041103042645173
Position 748: 0.00032404000435287586
Position 1767: 0.00028493395465342214
Position 1456: 0.0002414192207394735
Position 637: 0.00022029273266393234
Position 1732: 0.0001942776389964233
Position 529: 8.494230231754795e-06
Position 541: 6.79970222601148e-06
Position 331: 2.8508440091975415e-07
Position 334: 2.715266748732123e-07
Position 211: 3.1947953005435944e-08
Position 82: 2.0550363711213674e-08
Position 202: 1.6167523021822692e-08
Position 199: 1.3503698629341079e-08
Position 65: 7.399108279946899e-09
