Gene = barr
index = 1623
Annotated 5SS: [ 185  959 2569]
Annotated 3SS: [ 353 1017 2640]
SMsplice 5SS: [ 185  542  959 2569]
SMsplice 3SS: [ 316  645 1017 2640]
top_k =  100
Partition function (log Z): 5.866829944325797

Sorted 5' Splice Sites (High to Low Probability):
Position 2569: 0.9997397713903652
Position 959: 0.9985535426204882
Position 185: 0.7325267692894974
Position 542: 0.6189427974380832
Position 224: 0.094953985582779
Position 226: 0.05432928925998772
Position 1862: 0.010342025968105012
Position 1351: 0.008080739237211724
Position 235: 0.007882670527945928
Position 92: 0.005777374558274881
Position 1172: 0.0028449204906027038
Position 2974: 0.0017219149212310192
Position 44: 0.0012369999260644611
Position 869: 0.0012083181532169952
Position 2824: 0.0009166399984129049
Position 2680: 0.000597428469513754
Position 75: 0.0005512378022193686
Position 289: 0.0005122724617131025
Position 2804: 0.00027733494211774543
Position 195: 0.00019515955259398392
Position 2555: 7.259324500375679e-05
Position 272: 5.603127425346437e-05
Position 78: 4.966965292717289e-05
Position 239: 2.4790995857053784e-05
Position 98: 1.458528652734796e-05
Position 428: 4.954643730526826e-07
Position 984: 9.807400294919909e-08
Position 2650: 6.65910760852602e-08
Position 2483: 3.6392758847874166e-08
Position 1651: 1.879385133709993e-08
Position 125: 7.781359153113615e-09
Position 155: 5.758777668227704e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 2640: 0.9977814817670847
Position 1017: 0.8761128207538829
Position 645: 0.44743844298299923
Position 316: 0.40050087389869693
Position 353: 0.22824605164123044
Position 665: 0.15114126764653382
Position 396: 0.10577788902627287
Position 1036: 0.10403127848031539
Position 289: 0.04198222243574964
Position 678: 0.03338930508496761
Position 328: 0.026677415241645522
Position 373: 0.023578353631939743
Position 787: 0.01928006667853699
Position 577: 0.017803605956028416
Position 1448: 0.012518637552599361
Position 1931: 0.01034199131673863
Position 1039: 0.010307192365666067
Position 448: 0.006408470347625671
Position 140: 0.005869892446388256
Position 1400: 0.005415364695323387
Position 357: 0.0030288352695449438
Position 784: 0.002899178872672001
Position 745: 0.00236490606679692
Position 1050: 0.0015831758075162974
Position 2727: 0.0015817790983571273
Position 3102: 0.0012051824741183173
Position 2670: 0.0008090382759885944
Position 1320: 0.0007219244283688702
Position 149: 0.0005244442055237544
Position 2866: 0.000523564142102442
Position 3013: 0.0005180640980988656
Position 3176: 0.00047807536128855523
Position 3019: 0.00023586080659798738
Position 3115: 0.00010299240962966739
Position 459: 6.453330497221382e-05
Position 2823: 5.787980494012015e-05
Position 422: 5.133604317156995e-05
Position 3195: 3.194689244105005e-05
Position 529: 2.2954824452736208e-05
Position 689: 1.1882144850654594e-06
Position 189: 6.343344107381762e-08
Position 160: 1.738634971307818e-08
Position 174: 1.6970845282400014e-08
Position 216: 3.4898044004909646e-09
Position 223: 5.682687553365848e-10
