Gene = fs(2)ltoPP43
index = 1709
Annotated 5SS: [ 312 1269 2628]
Annotated 3SS: [ 807 2448 2692]
SMsplice 5SS: [ 312 1269 2628]
SMsplice 3SS: [ 807 2448 2692]
top_k =  100
Partition function (log Z): 5.567003289437798

Sorted 5' Splice Sites (High to Low Probability):
Position 2628: 0.9989551092513943
Position 1269: 0.9886646317697407
Position 312: 0.7058100860482498
Position 735: 0.6882773402843056
Position 554: 0.3411112386821569
Position 2953: 0.03632292944020258
Position 728: 0.008565177443784964
Position 1842: 0.006178546556351906
Position 1282: 0.005861864263543293
Position 340: 0.0050442409871523835
Position 696: 0.0025843818641684032
Position 1543: 0.001312873750446196
Position 438: 0.0011099539948929134
Position 287: 0.0007427056127443856
Position 645: 0.0006395609450117132
Position 623: 0.00033401743618461586
Position 593: 0.00027842168050476544
Position 2617: 0.00026062500089563405
Position 40: 0.00023091907820769672
Position 2596: 0.00014957291756170646
Position 640: 0.0001247414429645112
Position 364: 0.00011677145424220021
Position 249: 9.742905983253722e-05
Position 2583: 9.69763137120306e-05
Position 515: 6.288829753260368e-05
Position 279: 3.9497721153655934e-05
Position 408: 3.5316206658771515e-05
Position 412: 2.8039273070898203e-05
Position 237: 1.8172881041840227e-05
Position 2882: 1.6501877842163188e-05
Position 57: 1.1141078770944544e-05
Position 225: 1.832537468551523e-06
Position 28: 1.2652220692783419e-06
Position 1423: 1.137828033829098e-06
Position 1427: 8.511509794319556e-07
Position 77: 6.634068916649297e-07
Position 74: 3.603967341586805e-07
Position 567: 9.732298497479888e-08
Position 1582: 9.673836193552399e-08
Position 444: 1.6707001992216458e-08
Position 114: 1.0993905308640765e-10
Position 117: 9.941326675795713e-11
Position 84: 2.1466518284727384e-11
Position 162: 7.60425684271163e-12
Position 81: 7.923491857432044e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 2692: 0.9997191659564298
Position 807: 0.9937861752738744
Position 2448: 0.9833839431446164
Position 616: 0.32419578421340634
Position 421: 0.1784154582839908
Position 593: 0.10706730054109305
Position 622: 0.09403335443152272
Position 3046: 0.03377336783154968
Position 683: 0.019551666960549437
Position 437: 0.01618908802705067
Position 665: 0.008788147637271653
Position 543: 0.005935867828999817
Position 1542: 0.00421760869094701
Position 2151: 0.002892704138463558
Position 3022: 0.002266277651662676
Position 2497: 0.002162803447279034
Position 1489: 0.0020287772758370752
Position 597: 0.0015390877230625952
Position 600: 0.0013971652788379327
Position 2174: 0.0013087322094871025
Position 1510: 0.0012957483468804699
Position 645: 0.0012209389447574823
Position 2044: 0.0012180916223755995
Position 553: 0.0010932154748870416
Position 2480: 0.0010840311083001601
Position 1719: 0.0010527671534185982
Position 1373: 0.0008148627408276582
Position 1729: 0.0007375185627450518
Position 1976: 0.0004414951328286995
Position 842: 0.0004357113873933737
Position 2075: 0.0004257464597323538
Position 3012: 0.00021134765506107227
Position 111: 0.00017283284937763898
Position 458: 9.089390625566223e-05
Position 3002: 9.040861702925634e-05
Position 479: 3.524161689599638e-05
Position 3009: 6.580925813493414e-06
Position 2709: 6.475796324318247e-06
Position 758: 4.2603814289519683e-07
Position 2723: 3.597249830127144e-07
Position 920: 3.230676632176518e-07
Position 2655: 2.467427828582363e-07
Position 2703: 2.3367407567060126e-07
Position 879: 1.815451092393209e-08
Position 128: 9.907459568356184e-10
Position 176: 9.243251962276455e-10
