Gene = verm
index = 1925
Annotated 5SS: [  96  288 2278 2996 3452]
Annotated 3SS: [ 217 2165 2882 3301 3603]
SMsplice 5SS: [ 288 2278 2540 2996 3452]
SMsplice 3SS: [2165 2408 2882 3301 3603]
top_k =  100
Partition function (log Z): 6.755017097569318

Sorted 5' Splice Sites (High to Low Probability):
Position 3452: 0.9970001143092571
Position 2996: 0.9844004424804899
Position 2278: 0.9795699597575422
Position 2540: 0.7182068355607317
Position 288: 0.5547002637470005
Position 96: 0.507373977835442
Position 1178: 0.16871389383161117
Position 570: 0.15774478722262272
Position 941: 0.10224052081552584
Position 318: 0.030845185516125254
Position 9: 0.02909814462991836
Position 314: 0.018205415005489833
Position 165: 0.012585523756442386
Position 3194: 0.011072705971931154
Position 34: 0.010798326882424849
Position 3779: 0.009192324214989587
Position 100: 0.007893090972976925
Position 322: 0.005963283695892905
Position 1559: 0.005750216694266952
Position 156: 0.0050886347899917915
Position 1761: 0.004611261024058716
Position 885: 0.003821632624207173
Position 4809: 0.003478520595122443
Position 115: 0.0017695394993931758
Position 467: 0.0017050276983550897
Position 2971: 0.0015475629343804833
Position 3720: 0.0014829161376983117
Position 3115: 0.0013029039884660805
Position 3857: 0.0011880396373639354
Position 2670: 0.0011002654996480838
Position 1340: 0.0010844802706592167
Position 140: 0.0009274488933253834
Position 3095: 0.0008693262400142846
Position 3356: 0.0008534108192195802
Position 4115: 0.0006409140843727376
Position 2698: 0.0005775242035438355
Position 2700: 0.0004972669704179303
Position 3000: 0.00044658096183738754
Position 175: 0.0004248280032198111
Position 2702: 0.0004068000184034413
Position 147: 0.00019795207374128526
Position 84: 0.00014977674471238235
Position 23: 9.40990101259099e-05
Position 105: 2.328119935862548e-05
Position 3502: 5.332002870788276e-06
Position 43: 3.3948578085779087e-06
Position 15: 2.9835063551074116e-06
Position 7: 2.297916108948343e-06
Position 3414: 1.5057841352102732e-06
Position 2704: 3.108175924470337e-07
Position 3456: 3.877409728756559e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 2165: 0.9842351111727521
Position 2882: 0.9768628679567897
Position 3301: 0.9722394093138265
Position 3603: 0.920580073604774
Position 2408: 0.6525792179383609
Position 217: 0.46080287645698137
Position 1051: 0.09116456346257269
Position 2326: 0.04318974924092746
Position 156: 0.03028754434598515
Position 5090: 0.0295656066825058
Position 3547: 0.028336653090332238
Position 391: 0.01929096766728339
Position 2363: 0.012052962236058819
Position 3258: 0.011076062147196494
Position 3220: 0.00934896097158979
Position 3574: 0.008702276117292181
Position 2134: 0.007536818358985252
Position 991: 0.0069405067190357606
Position 4876: 0.006332146377036274
Position 1688: 0.0062836390135613965
Position 69: 0.005688184742193866
Position 3255: 0.005149263282649885
Position 3650: 0.0050137938165805565
Position 2417: 0.0044648794462560735
Position 3060: 0.004209514462827882
Position 342: 0.004100206571310334
Position 1395: 0.0033834530981962986
Position 4794: 0.003306234653179499
Position 5068: 0.0029580919939083713
Position 3535: 0.002818751009934251
Position 3118: 0.0027359990519342844
Position 420: 0.002587562934240209
Position 1921: 0.002578431763358915
Position 165: 0.0023820605145306335
Position 3932: 0.0022897974352179885
Position 82: 0.002123624056445783
Position 2913: 0.0020528034520484765
Position 2360: 0.001575519879379859
Position 3857: 0.0015294892224566564
Position 3571: 0.001246993102917072
Position 1884: 0.0011712122665398226
Position 2604: 0.0010391123220260085
Position 3086: 0.0008723216287865913
Position 3083: 0.0008554644000037734
Position 4526: 0.0006986556750465155
Position 1727: 0.0005644806712624812
Position 3719: 0.0002558989767885038
Position 3510: 0.00021373739415544386
Position 3271: 0.00020076118955852462
Position 3147: 7.483506434816868e-05
Position 971: 4.132896934974365e-05
Position 182: 3.998674385161173e-05
Position 349: 2.455784518388057e-05
Position 2949: 5.20365981586512e-06
Position 96: 6.463111530137471e-07
