Gene = Ge-1
index = 1185
Annotated 5SS: [ 595  872 1535 1847 3481 3827 4124 4353 4936]
Annotated 3SS: [ 662 1133 1592 1903 3588 3882 4186 4412 5010]
SMsplice 5SS: [ 231  595  872 1535 1847 3481 3827 4124 4353 4936]
SMsplice 3SS: [ 313  662 1133 1592 1903 3588 3882 4186 4412 5010]
top_k =  100
Partition function (log Z): 31.22869176286207

Sorted 5' Splice Sites (High to Low Probability):
Position 1847: 0.9998807722402496
Position 872: 0.9964580488269067
Position 3481: 0.994801869782873
Position 4124: 0.9895682246624306
Position 4353: 0.9874903398944608
Position 4936: 0.9835672419431677
Position 3827: 0.9828580562556261
Position 595: 0.9736758909556087
Position 231: 0.7151001720830124
Position 1535: 0.37032785619315856
Position 1508: 0.19090885030336685
Position 4616: 0.08677745790774617
Position 1257: 0.0741137666991836
Position 3923: 0.06195195346967216
Position 1283: 0.045596777540800555
Position 2877: 0.028247135581356317
Position 3934: 0.02124461258951214
Position 2663: 0.017098703379649388
Position 2703: 0.01027590733083451
Position 4958: 0.009871595505836056
Position 1226: 0.009302241677757244
Position 85: 0.008900577473221875
Position 1263: 0.007602947279451097
Position 2517: 0.006880857243148746
Position 4109: 0.006227976144617363
Position 4357: 0.0061130053819268915
Position 2099: 0.004230343465554556
Position 599: 0.003760254558936438
Position 4128: 0.003098818762103953
Position 4871: 0.002496902820611277
Position 590: 0.0021228270499983027
Position 858: 0.0018815116265111984
Position 235: 0.001857276467806405
Position 2244: 0.0016368538133868912
Position 372: 0.0016242062659371696
Position 876: 0.0014960221686864093
Position 4337: 0.0012302097025351944
Position 1384: 0.0010349520107892354
Position 430: 0.0008947524299166439
Position 608: 0.0008860452626871042
Position 191: 0.0007655360859766835
Position 5331: 0.00044052746687722174
Position 237: 0.0003722599215505412
Position 2913: 0.00027517862205131064
Position 5271: 0.0002707351345787889
Position 313: 0.00024127619710590217
Position 331: 0.0001959284982269703
Position 246: 0.00017020165299173778
Position 1038: 0.00014974223345178
Position 4071: 0.00011618337251987636
Position 216: 0.0001052046284253897
Position 2008: 0.00010501595039154398
Position 176: 9.766247695240758e-05
Position 4210: 9.179328552209741e-05
Position 4088: 6.565626848637886e-05
Position 252: 6.423158266290707e-05
Position 165: 6.378005555520298e-05
Position 46: 4.5024913832854766e-05
Position 68: 3.710004780605231e-05
Position 243: 2.8014295781288815e-05
Position 444: 2.1493824938384475e-05
Position 1719: 1.1765614853654236e-05
Position 1851: 8.801431246695342e-06
Position 792: 5.316657639018835e-06
Position 409: 4.41526479235759e-06
Position 4294: 3.158624768213141e-06
