Gene = Supt7l
index = 1045
Annotated 5SS: [ 159 4120 6691 8507]
Annotated 3SS: [ 3511  6365  8268 10846]
SMsplice 5SS: [ 159 6691 8507]
SMsplice 3SS: [ 6642  8268 10846]
top_k =  100
Partition function (log Z): -6.107954495685371

Sorted 5' Splice Sites (High to Low Probability):
Position 159: 0.9946536273906723
Position 6691: 0.8623684786231993
Position 4120: 0.5662849347616079
Position 8507: 0.36577935676795514
Position 8362: 0.35063634347497813
Position 3715: 0.3380805282956642
Position 2195: 0.22857805932918135
Position 8387: 0.07218022700731183
Position 9956: 0.05826149351538176
Position 8383: 0.05718159707409976
Position 9275: 0.05653193973474859
Position 326: 0.03234400882234191
Position 7983: 0.03049208225710503
Position 1862: 0.017794082496479326
Position 6106: 0.017087805375079687
Position 1607: 0.006041118409188478
Position 2462: 0.001288381001412565
Position 653: 0.0002507192709196035
Position 1589: 0.00018326828594003404
Position 135: 4.262242154947257e-06
Position 122: 2.2906747925847348e-06
Position 116: 2.1224980859510907e-06
Position 163: 2.1209880226417753e-06
Position 6: 9.266041396994108e-07
Position 60: 4.5673487253205753e-07
Position 99: 3.562468369918213e-07
Position 43: 3.00281771658006e-07
Position 330: 2.807488722028723e-07
Position 51: 1.2913851114044516e-07
Position 507: 4.1341090471182864e-08
Position 190: 2.3261082067016686e-09
Position 184: 8.551739813030578e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 10846: 0.9219231842616257
Position 8268: 0.8876281161362495
Position 6642: 0.5355513086625538
Position 3613: 0.3452210432375
Position 6365: 0.32922963527384225
Position 4084: 0.28923520389315543
Position 4048: 0.2059830740272135
Position 1956: 0.09572808149198823
Position 9102: 0.07774029695836511
Position 9816: 0.06794806195747688
Position 2053: 0.06502290493635693
Position 2037: 0.05383336861988964
Position 3823: 0.032281460324811
Position 7867: 0.03049208225710503
Position 228: 0.022172481552522168
Position 3872: 0.01753052368123295
Position 6052: 0.01708780537507972
Position 1713: 0.015386220123648448
Position 3511: 0.014727340472056804
Position 1989: 0.01316276500618224
Position 1504: 0.008255011227787224
Position 237: 0.0048763505806688106
Position 8555: 0.0019268755227753514
Position 2018: 0.0009298497928978901
Position 2380: 0.000698670788903984
Position 2327: 0.0005897102125085811
Position 1731: 0.0003326943362393386
Position 578: 0.0002358160262648859
Position 1426: 0.00012023364923787508
Position 1654: 7.960760304666756e-05
Position 259: 5.995601251753905e-05
Position 1479: 4.160857199849271e-05
