Gene = Hrc
index = 546
Annotated 5SS: [2085 2242 2666 2919 3436]
Annotated 3SS: [2170 2596 2863 3398 3590]
SMsplice 5SS: [ 336 2364 2666 2919 3507]
SMsplice 3SS: [2170 2596 2863 3398 3590]
top_k =  100
Partition function (log Z): -3.4749834658592045

Sorted 5' Splice Sites (High to Low Probability):
Position 2919: 0.7429139512288225
Position 2666: 0.7305422815956885
Position 336: 0.7092552687122643
Position 2364: 0.5590108371622192
Position 2242: 0.42142232775325805
Position 3507: 0.41494241039199586
Position 2085: 0.33003893295427833
Position 109: 0.24886743819870408
Position 588: 0.14439952428376987
Position 1337: 0.1442920071687698
Position 412: 0.14307256681555877
Position 945: 0.08436269022064125
Position 1889: 0.0666953029375442
Position 3436: 0.054374234524749925
Position 716: 0.025051240354527802
Position 1409: 0.019480715867404113
Position 3210: 0.018831084877792913
Position 1707: 0.01562947898968925
Position 954: 0.01354358564660518
Position 1761: 0.007641569217487371
Position 2106: 0.004425035049092556
Position 428: 0.004321314433656272
Position 1392: 0.003043807356942206
Position 1208: 0.002935979185161315
Position 683: 0.0014700709374890432
Position 677: 0.0004131963731226742
Position 131: 0.00033330044922015865
Position 366: 0.00011483357606923108
Position 57: 9.961746402031786e-05
Position 3107: 8.386875815493411e-05
Position 168: 2.6365248584507395e-05
Position 212: 2.5177326228945648e-05
Position 200: 1.756431013302574e-05
Position 20: 1.7163960472422287e-05
Position 157: 1.1104850870785888e-05
Position 185: 4.729359583991012e-06
Position 223: 4.53739954764034e-06
Position 237: 5.060166624030823e-07
Position 209: 2.4606977832752903e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 2170: 0.9864506533900143
Position 3398: 0.8253787393695178
Position 2863: 0.658735077532061
Position 3590: 0.5652985310208805
Position 2596: 0.5374009745839952
Position 1676: 0.42443031914809165
Position 185: 0.16740474625761104
Position 1134: 0.13384917813172578
Position 2832: 0.12475063458260036
Position 2579: 0.11313157928607206
Position 771: 0.08554990081760491
Position 2470: 0.07419486236857491
Position 209: 0.048328756488913695
Position 1290: 0.03590333144655168
Position 612: 0.03232291367692839
Position 2793: 0.0174757043584061
Position 2245: 0.012696922625635656
Position 3436: 0.011359294342978115
Position 427: 0.011280085486428604
Position 509: 0.0102957880181833
Position 515: 0.008226239681661255
Position 777: 0.005881145918810195
Position 3031: 0.005820106762801751
Position 2844: 0.005086040518699314
Position 3592: 0.002478405899758454
Position 2991: 0.0018634696506863676
Position 220: 0.0014462238266419773
Position 452: 0.001338987252968338
Position 462: 0.0011489264762446743
Position 287: 0.0005132349306775028
Position 269: 0.00042602836890357593
Position 543: 0.00030156565368327076
Position 547: 0.0002770547644655253
Position 715: 0.00019050687674576036
Position 588: 0.00014466483631202012
Position 549: 7.903453867570666e-05
Position 411: 6.359654764117922e-05
Position 474: 6.286324459886747e-05
Position 478: 4.451199135105939e-05
Position 454: 3.895024126650196e-05
Position 434: 3.6335810919926196e-05
Position 335: 7.785990155596182e-06
Position 289: 1.4989620643138429e-06
Position 223: 3.051648027269512e-07
Position 304: 1.4010810131630788e-07
Position 148: 1.1438228594819131e-07
Position 228: 8.610141107739038e-08
Position 230: 4.959145312063867e-08
