Gene = 1700012B09Rik
index = 7
Annotated 5SS: [ 192 4174 9426]
Annotated 3SS: [ 4068  9299 12574]
SMsplice 5SS: [ 331 4174 4719]
SMsplice 3SS: [ 4068  4563 12574]
top_k =  100
Partition function (log Z): -3.422060997087944

Sorted 5' Splice Sites (High to Low Probability):
Position 4719: 0.9990022911192159
Position 4174: 0.8391973602865725
Position 331: 0.5437299071241124
Position 192: 0.33691736637873393
Position 555: 0.3253658563982602
Position 4193: 0.15090520064345078
Position 4412: 0.14489633122714407
Position 8277: 0.08775214510078194
Position 1845: 0.03911898954424592
Position 9426: 0.026378681363491314
Position 2998: 0.017863611125941047
Position 5014: 0.009510478801083197
Position 6897: 0.008854916051582576
Position 927: 0.005947425268748727
Position 4279: 0.004836380810331388
Position 656: 0.004735589242285214
Position 5721: 0.004627521786677694
Position 5337: 0.0013654258429468696
Position 226: 0.0009559629114947021
Position 295: 0.0003541231309378704
Position 196: 5.386629320782863e-05
Position 4673: 1.0133300109722698e-05

Sorted 3' Splice Sites (High to Low Probability):
Position 4068: 1.0
Position 4563: 0.6060702515640046
Position 12574: 0.5916546021574356
Position 8115: 0.21225696983346765
Position 4835: 0.14545590459416147
Position 4642: 0.11848018118128475
Position 432: 0.11666605041160563
Position 4299: 0.10010430782374427
Position 4594: 0.09148695924128093
Position 455: 0.08480698761697152
Position 4489: 0.07529220655442175
Position 4525: 0.05898427864047004
Position 9777: 0.02818930216584548
Position 4341: 0.027213185477857352
Position 9299: 0.02637868136349127
Position 4591: 0.025877366178281694
Position 5318: 0.02447134296292048
Position 11442: 0.01984449038460023
Position 2860: 0.01786361112594105
Position 1758: 0.015062693129073287
Position 4619: 0.014543637924315282
Position 6784: 0.01175055857830158
Position 8468: 0.011541122180117741
Position 1722: 0.01137753493619321
Position 6523: 0.010111250085945989
Position 5971: 0.009499107199609346
Position 1692: 0.007711592294722557
Position 4283: 0.007403448613791453
Position 4959: 0.006695342205951261
Position 6181: 0.006193928449203714
Position 698: 0.005947425268748733
Position 7015: 0.0056305706736953735
Position 1659: 0.004967169184256875
Position 5636: 0.004959764934049957
Position 330: 0.004134570501449362
Position 6481: 0.004106768500908506
Position 4650: 0.004105349499906579
Position 4541: 0.003977450030717776
Position 6143: 0.0037222600238204766
Position 405: 0.003621003943707202
Position 8550: 0.0032087624834908437
Position 529: 0.0028069948887815025
Position 4276: 0.0027642065102070454
Position 7602: 0.0024497837009060416
Position 6403: 0.002408917344933463
Position 4279: 0.002391509989109865
Position 7751: 0.0023845162752676153
Position 7398: 0.001877550661332702
Position 6211: 0.0011274234995777553
Position 5655: 0.0009406394908019043
Position 4911: 0.0006579457920081606
Position 4838: 0.0005004846148089861
Position 5231: 0.00047117878990946314
Position 4447: 0.00011611295515095537
Position 4419: 3.724520227939978e-05
Position 392: 2.703163009274792e-05
Position 335: 2.223726516797161e-05
Position 435: 2.0270434607709922e-05
Position 471: 3.893661929031175e-06
Position 365: 3.6311247191275147e-06
