Gene = Rec114
index = 892
Annotated 5SS: [  173 29544 75727 81386 83803]
Annotated 3SS: [29453 75642 81187 83715 88452]
SMsplice 5SS: [  173 13813 29544 48257 55530 55739 72192 75805 81386 83803]
SMsplice 3SS: [13726 29453 48102 55413 55616 72070 75642 81214 83715 88452]
top_k =  100
Partition function (log Z): -44.83595155166485

Sorted 5' Splice Sites (High to Low Probability):
Position 173: 0.9938008837498868
Position 3503: 0.40030689507964673
Position 1288: 0.09502083599264227
Position 1590: 0.037802732374897875
Position 1061: 0.022210714584210083
Position 2607: 0.01840080581597838
Position 2640: 0.012658105322607489
Position 1545: 0.00814685515893938
Position 3055: 0.007790435077277799
Position 321: 0.005170710666436054
Position 3558: 0.003742605641764839
Position 1361: 0.003699800205208162
Position 1240: 0.003276534649219464
Position 1574: 0.002955343593620409
Position 510: 0.002574471167449858
Position 2591: 0.002528075901555635
Position 364: 0.0002460198521253064
Position 1091: 0.00021061113209843688
Position 1098: 0.00020309681538365965
Position 116: 9.016932149879368e-05
Position 1036: 6.450642520129919e-05
Position 93: 6.0405052749727514e-05
Position 969: 4.78799283121178e-05
Position 471: 2.1790897582064535e-05
Position 308: 6.458358305353956e-07
Position 121: 5.226507802918317e-07
Position 314: 4.953929294804423e-07
Position 65: 2.510041141673533e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 3410: 0.5887374828732741
Position 10323: 0.3103373841876967
Position 1217: 0.1661746821853499
Position 6263: 0.09712913389953967
Position 4168: 0.08631948662764627
Position 5032: 0.07851131296628565
Position 1397: 0.04250709810655269
Position 5745: 0.022839064367930526
Position 2483: 0.02241713268607691
Position 2423: 0.019816578546563404
Position 3902: 0.01560664881183108
Position 3445: 0.013730861069860063
Position 3848: 0.013031861619664641
Position 962: 0.012162111148737807
Position 3681: 0.012115306832291952
Position 928: 0.012077848483416266
Position 4846: 0.011904846411881859
Position 4741: 0.01129891036111134
Position 4874: 0.009648192646108535
Position 2918: 0.008832781556999547
Position 2861: 0.008615454455263342
Position 2876: 0.007571000304170059
Position 2527: 0.0071067021588474555
Position 3938: 0.006595862350403173
Position 3662: 0.003956758630313612
Position 2662: 0.0037838809177659946
Position 3645: 0.0035757190171309453
Position 2497: 0.003363170108814605
Position 362: 0.0031356020496019297
Position 2197: 0.0021819396572638323
Position 420: 0.0020160426430969195
Position 1438: 0.0018175032894984353
Position 1503: 0.0018047044984226348
Position 1400: 0.0016011681842523391
Position 1489: 0.0015882394708663105
Position 2121: 0.0015617163043871213
Position 637: 0.0014015494223590889
Position 1146: 0.0012581503116097879
Position 862: 0.0009489910160595359
Position 1528: 0.0009183785773732984
Position 1468: 0.0008201027155844408
Position 890: 5.9594280015883757e-05
Position 824: 5.9093551039828186e-05
Position 717: 1.9220912658235477e-05
Position 901: 1.7460090512447057e-05
Position 1149: 1.5703255411788367e-05
Position 661: 1.4954452444671415e-05
Position 747: 1.3612040146757186e-05
Position 368: 6.524082423292539e-06
Position 311: 2.4140748970100663e-06
Position 426: 2.012584403877256e-06
