Gene = 2210016L21Rik
index = 28
Annotated 5SS: [ 198 3671 3959 4207 5096]
Annotated 3SS: [3627 3859 4132 5004 5523]
SMsplice 5SS: [ 198 3671 3959 4207 5096]
SMsplice 3SS: [3627 3859 4132 5004 6489]
top_k =  100
Partition function (log Z): 8.960121059984562

Sorted 5' Splice Sites (High to Low Probability):
Position 3959: 0.9999656085476623
Position 5096: 0.9872179197667514
Position 4207: 0.9803455504057953
Position 198: 0.9350306058201062
Position 5702: 0.6124541710801483
Position 3671: 0.40895418389237753
Position 3732: 0.34158212016655964
Position 4461: 0.2712406714549521
Position 3750: 0.20956573887131025
Position 441: 0.19123054455348268
Position 995: 0.11277198621591833
Position 933: 0.09638448386810641
Position 2738: 0.08808544434570795
Position 1241: 0.06363102872283878
Position 4504: 0.04646275070321672
Position 631: 0.034094706998842296
Position 6679: 0.030567136440460215
Position 593: 0.0216914517009451
Position 2240: 0.013847256869729787
Position 2680: 0.010256545066101692
Position 665: 0.008417206658560883
Position 2173: 0.007176496584448485
Position 1674: 0.006271049820808406
Position 258: 0.005096296411124463
Position 743: 0.0005348541919721007
Position 253: 0.00013558393774141064
Position 350: 7.699142728260677e-05
Position 129: 3.402054435574219e-05
Position 272: 2.7919687967009707e-05
Position 472: 4.950115565203209e-06
Position 66: 1.9704040639090686e-06
Position 96: 1.8645840679123945e-06
Position 250: 1.5379296229273728e-06
Position 280: 1.182660801504044e-06
Position 53: 5.350273001676171e-07
Position 417: 1.1132770824959545e-07
Position 422: 6.29074676819883e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 3859: 0.9991583534324888
Position 5004: 0.9638576341848105
Position 3627: 0.9590294091264646
Position 4132: 0.856875968668925
Position 6489: 0.43938154573834853
Position 6435: 0.2595475508278774
Position 5590: 0.21320397579260897
Position 6884: 0.21226129456486117
Position 4398: 0.13364912573743357
Position 5579: 0.12317817802914402
Position 5617: 0.11503516124438783
Position 286: 0.10165440081708878
Position 820: 0.0997209322020698
Position 2648: 0.09834198941180972
Position 4149: 0.09459403192286295
Position 4306: 0.08951368229667116
Position 855: 0.07868213910079591
Position 1127: 0.06363102872283875
Position 5621: 0.05301659709895994
Position 4378: 0.04425861177213021
Position 4048: 0.035785512043713955
Position 4955: 0.034201182421312884
Position 539: 0.032534351787390746
Position 493: 0.02862990479717024
Position 6637: 0.026769429003157024
Position 790: 0.026217880588391137
Position 6262: 0.026089287761667364
Position 5466: 0.024454361842503828
Position 5807: 0.024061468024051503
Position 5523: 0.021607851499470435
Position 4272: 0.019731822761692948
Position 5474: 0.017629164440468574
Position 372: 0.017531473147839836
Position 5397: 0.01682001858557404
Position 5416: 0.014178918665965526
Position 5810: 0.012116964961599457
Position 2172: 0.010384453582381837
Position 7238: 0.010074604068074625
Position 5355: 0.009485022382998415
Position 379: 0.009183855743543108
Position 2108: 0.0076547786129064046
Position 4269: 0.007318120714765982
Position 1563: 0.006271049820808406
Position 5690: 0.005968101452148054
Position 4338: 0.005963807724268749
Position 5684: 0.005309782637175547
Position 4318: 0.004816211764258208
Position 928: 0.004214210310553614
Position 440: 0.003061997494230429
Position 2001: 0.0029845212588900357
Position 346: 0.002620110141099593
Position 4063: 0.002455266974446873
Position 4906: 0.0019411833938785014
Position 3479: 0.0019142803712971584
Position 4342: 0.0019142413302924372
Position 4069: 0.0005105625789306494
Position 4152: 0.00043446964907229276
Position 291: 0.0003566587525969146
Position 288: 0.00027210175527225957
Position 787: 0.00018710832134885617
Position 341: 0.00018345156373247298
Position 499: 0.00014135752614780373
Position 4083: 0.00013859964397788707
Position 348: 0.00011395031761414265
Position 900: 0.0001017932231108632
Position 313: 7.436142515772192e-05
Position 5313: 4.994866631650883e-05
Position 4073: 3.870868793079084e-05
Position 830: 3.240633775460035e-05
Position 381: 1.3281684413928338e-05
Position 305: 1.0869483487568338e-05
Position 4075: 8.502957367876637e-06
Position 4163: 4.417282815524344e-06
Position 4172: 2.572514296578996e-06
Position 4187: 3.440857701095287e-07
Position 264: 2.704521879131981e-07
