Gene = Selplg
index = 963
Annotated 5SS: [153]
Annotated 3SS: [10252]
SMsplice 5SS: [153]
SMsplice 3SS: [10252]
top_k =  100
Partition function (log Z): -8.691857711151474

Sorted 5' Splice Sites (High to Low Probability):
Position 153: 0.9492781612566704
Position 4246: 0.3640074206966504
Position 10586: 0.29850319564273153
Position 10384: 0.28446698554217037
Position 11747: 0.16545861131010256
Position 4782: 0.04641344277366831
Position 236: 0.04028397215363476
Position 7685: 0.034835651218883844
Position 6245: 0.03412296896021152
Position 472: 0.03236330481883235
Position 3425: 0.03228100534012598
Position 7871: 0.029082668782771718
Position 4662: 0.019073758203071
Position 222: 0.010421890820405684
Position 2715: 0.0052236496376672015
Position 3274: 0.0043614414825781656
Position 264: 9.812501187612018e-06
Position 243: 4.442272393195387e-06
Position 36: 1.720995709393277e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 10252: 0.9036744208413428
Position 11654: 0.5717339392734224
Position 4065: 0.3667109842821466
Position 11821: 0.14533855399979378
Position 4550: 0.07030476995296157
Position 11797: 0.052392908308903384
Position 7427: 0.03893382395803138
Position 3185: 0.0323828242641008
Position 7821: 0.02908266878277167
Position 11884: 0.020120057310308376
Position 297: 0.019379117999412145
Position 5979: 0.017612141064205694
Position 6113: 0.01630275083306975
Position 329: 0.01214971165439791
Position 6153: 0.009645147045821702
Position 7176: 0.007529051667214328
Position 3324: 0.00516347980399168
Position 2619: 0.004807685004946008
Position 5497: 0.003672410082186377
Position 8909: 0.003364834585805159
Position 6296: 0.0030792849034353012
Position 342: 0.0022861622900288286
Position 5672: 0.001957005038694611
Position 4347: 0.0018736130732817072
Position 7101: 0.0014663530588385815
Position 6907: 0.0014234151944512543
Position 2577: 0.0012612677407622377
Position 5585: 0.0008809058635892489
Position 1869: 0.0005877207754411472
Position 1700: 0.0005656322088769377
Position 1040: 0.0005016221425152392
Position 4184: 0.0004758422543840953
Position 263: 0.0004585998221559337
Position 2365: 0.00036456682934134417
Position 4208: 0.0003609744868262768
Position 2006: 0.0003540193885029284
Position 847: 0.00030660887160672325
Position 2340: 0.00029980412772042346
Position 4038: 0.00026166087307843625
Position 1736: 0.00024422017272514665
Position 2454: 0.00023627666587568746
Position 2040: 0.00018799729722130578
Position 361: 0.00015479890750747584
Position 272: 0.0001299182528769858
Position 221: 0.00010715362938353447
Position 561: 6.739982550994099e-05
