Gene = Cd2bp2
index = 236
Annotated 5SS: [  72  640  978 1257 1798 1986]
Annotated 3SS: [ 538  841 1098 1358 1878 2069]
SMsplice 5SS: [  86  640  978 1257 1798 1986 2177]
SMsplice 3SS: [ 532  841 1160 1358 1878 2069 2917]
top_k =  100
Partition function (log Z): 3.7846886087417135

Sorted 5' Splice Sites (High to Low Probability):
Position 978: 0.9805734303713047
Position 1986: 0.9358705665801601
Position 1798: 0.918174950304342
Position 2177: 0.8743273371524883
Position 1257: 0.6812753877143383
Position 640: 0.647593502370156
Position 86: 0.5481473793544159
Position 1299: 0.26974809825301865
Position 214: 0.12207446805865282
Position 72: 0.09445753492844032
Position 2464: 0.05471226756931791
Position 226: 0.04384459454207489
Position 262: 0.03348336781919043
Position 2366: 0.026580575041863973
Position 155: 0.01959609149902389
Position 4122: 0.011929044554336599
Position 1259: 0.010704496649509275
Position 235: 0.010208590675116463
Position 732: 0.00940385964136632
Position 199: 0.005587637118837907
Position 248: 0.0055503682748460756
Position 166: 0.0038637122198546875
Position 1426: 0.0036950646838459166
Position 608: 0.0021342277383427986
Position 1040: 0.002124912116100763
Position 1033: 0.0019745086952132535
Position 1601: 0.001011205218542274
Position 1636: 0.0009420650494754997
Position 1099: 0.0007019620275291496
Position 1293: 0.0005505367245843787
Position 1661: 0.0005081424666560336
Position 2259: 0.00045481569468954554
Position 1359: 0.00023545788718274963
Position 1478: 0.00022298826666245554
Position 996: 0.00019358774526647457
Position 1328: 0.00016252879815863502
Position 2076: 2.0022833666315667e-06
Position 1395: 3.8724284860079735e-10
Position 1681: 2.6892675719196177e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 2069: 0.9971465037912659
Position 841: 0.9115506567520367
Position 1160: 0.7497415658630069
Position 1358: 0.7252675265757317
Position 1878: 0.5069682400441582
Position 2917: 0.40550311123449456
Position 532: 0.3918178216645586
Position 2592: 0.24156159820696402
Position 1884: 0.23440610124516537
Position 1098: 0.18787880808892013
Position 1880: 0.18090453871466106
Position 1700: 0.08888293175087777
Position 538: 0.07993926296200188
Position 2369: 0.05610538321598228
Position 3092: 0.055784908044490183
Position 1646: 0.05382478719307429
Position 1580: 0.04455077327557866
Position 4191: 0.044487641121551846
Position 863: 0.030264798554838865
Position 866: 0.029437067055952594
Position 3996: 0.027950691883655697
Position 2617: 0.026577735850819295
Position 321: 0.026543491323512466
Position 372: 0.024292526014216255
Position 2550: 0.0217137370452047
Position 2501: 0.02059652007613042
Position 1510: 0.019595531019832736
Position 2305: 0.017525523312627894
Position 4321: 0.017104135210456624
Position 1068: 0.013042604465701269
Position 3668: 0.012132010160468236
Position 1123: 0.01135735836484083
Position 588: 0.010613603086107721
Position 2698: 0.010268970820197001
Position 453: 0.007237736525672305
Position 776: 0.006855326555636993
Position 1972: 0.005269080321068598
Position 2346: 0.003974899799998342
Position 1394: 0.0032447050439790544
Position 555: 0.0029619400966013456
Position 544: 0.0029286152284730294
Position 3001: 0.0025464842640335076
Position 890: 0.00238010782219517
Position 2259: 0.0018998250512770704
Position 2285: 0.0014935109848157615
Position 639: 0.0013834039349067326
Position 1214: 0.0009705949497906948
Position 3940: 0.0009493849898272994
Position 909: 0.0008908732383895038
Position 804: 0.0007481727774491671
Position 408: 0.000503422324065171
Position 1103: 0.0003875363220611063
Position 603: 0.0002319137623680591
Position 636: 0.0002298097456893408
Position 2327: 0.00016677947325483849
Position 2117: 1.8392937664692408e-05
Position 2138: 9.062862606693935e-06
Position 340: 1.2237435345991333e-06
