Gene = Hscb
index = 548
Annotated 5SS: [ 282 3471 3798 5123 8842]
Annotated 3SS: [ 3373  3707  4977  8793 10565]
SMsplice 5SS: [ 282 3471 5123]
SMsplice 3SS: [ 3373  4977 10565]
top_k =  100
Partition function (log Z): -4.5379002612288515

Sorted 5' Splice Sites (High to Low Probability):
Position 5123: 0.9541731509341578
Position 3471: 0.9494489829100108
Position 282: 0.5182799938194673
Position 6588: 0.40649291874954835
Position 91: 0.31780255805188257
Position 8988: 0.26132148119441434
Position 3146: 0.25790571428450587
Position 2939: 0.2523881381932423
Position 6364: 0.2215240335552474
Position 3803: 0.16966056497688461
Position 8842: 0.12820484673050883
Position 1019: 0.09397449946433328
Position 3416: 0.050551017089990026
Position 721: 0.04641561680700394
Position 198: 0.04322096661547334
Position 3798: 0.038639098346610494
Position 1430: 0.029000129792704797
Position 9140: 0.028718417114338333
Position 1038: 0.0268883892446349
Position 8968: 0.0256377728965892
Position 1562: 0.018996439362795423
Position 323: 0.01885609842712836
Position 731: 0.015925336813660557
Position 483: 0.014417724314800408
Position 29: 0.011150846399321353
Position 1072: 0.00853431191243573
Position 5084: 0.004383830515817311
Position 80: 0.002320270440661923
Position 365: 0.0011338178776157096
Position 179: 0.0004992553554654459
Position 472: 0.0003932591503543383
Position 643: 0.00028022573452703446
Position 193: 0.00020172641649358978
Position 915: 0.00019688909070856054
Position 51: 0.00018920357765554247
Position 499: 0.00011766422045764964
Position 257: 9.887121926160195e-05
Position 43: 1.127933536341371e-07
Position 105: 1.0623901067392465e-07
Position 165: 6.752900755408698e-08
Position 15: 4.6200724739679326e-08
Position 68: 3.4377946598744953e-08
Position 84: 2.2457461347069393e-08
Position 82: 6.1512042331865694e-09
Position 200: 3.8849570481864744e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 4977: 0.9591137307460821
Position 3373: 0.9043333989654746
Position 10565: 0.808549624793413
Position 8793: 0.6239665287984993
Position 6432: 0.35370152717866854
Position 2863: 0.27156720099804843
Position 6257: 0.24021605301964757
Position 3067: 0.21402075805863408
Position 3707: 0.13325555312389975
Position 824: 0.10806871261960316
Position 3260: 0.0904873015356331
Position 1349: 0.04418623145447614
Position 3640: 0.042306998541970196
Position 2665: 0.024705893421065633
Position 3621: 0.02344327475534555
Position 6388: 0.020257095552361888
Position 6301: 0.016019825669435283
Position 891: 0.012677719888708574
Position 3587: 0.00616686214186805
Position 3388: 0.005179299498893594
Position 6733: 0.004464261811319327
Position 6669: 0.004036998007228691
Position 1550: 0.0038103377010240904
Position 3576: 0.0032577808743769724
Position 240: 0.00012240845848474925
Position 165: 2.1800298427627636e-05
Position 269: 7.28332178386871e-06
