Gene = Smg9
index = 990
Annotated 5SS: [  273  3929  5983  6334  6514  8015 15432 16976 17388 20502 21065 21323
 21646]
Annotated 3SS: [ 3772  5907  6068  6415  7901 15319 16879 17301 20394 20956 21193 21500
 22680]
SMsplice 5SS: [  273  3929  5983  6205  6514  8015 15432 16976 17388 20502 21065 21323
 21646]
SMsplice 3SS: [ 3772  5907  6068  6415  7901 15319 16879 17301 20394 20967 21193 21500
 22221]
top_k =  100
Partition function (log Z): 11.728003762109822

Sorted 5' Splice Sites (High to Low Probability):
Position 15432: 1.0000000000000018
Position 6514: 1.0000000000000016
Position 5983: 0.9949145775142203
Position 21323: 0.9942554623331674
Position 3929: 0.9895296898881252
Position 16976: 0.9844762759696897
Position 17388: 0.9748235789955932
Position 273: 0.9457879023745142
Position 21065: 0.8881234351939247
Position 20502: 0.7828764017052428
Position 21646: 0.6533595244369442
Position 8015: 0.6474999820814745
Position 6205: 0.46706175298557523
Position 14043: 0.4150633094302234
Position 6334: 0.3692242812255802
Position 20478: 0.1865115005428405
Position 6154: 0.1781009744428982
Position 1548: 0.14893724570222108
Position 449: 0.13940261963227102
Position 4686: 0.12317949347598575
Position 7832: 0.10652869383221632
Position 3426: 0.039961770048797904
Position 10584: 0.037696669165398426
Position 5444: 0.036414737721664585
Position 18054: 0.03585389195584136
Position 17956: 0.030857115682225475
Position 7413: 0.030240496312923183
Position 1197: 0.02692559672901971
Position 21590: 0.026106149030503886
Position 5103: 0.026003604787803638
Position 5667: 0.02366293619329154
Position 19769: 0.022547423395618858
Position 7824: 0.02024904264137524
Position 503: 0.019366108199217136
Position 7828: 0.015859947579461166
Position 779: 0.013982445506530623
Position 17664: 0.007511923884661243
Position 970: 0.007435720615142727
Position 183: 0.004613942596531018
Position 603: 7.858237329283931e-05
Position 419: 6.838167746605134e-05
Position 618: 1.7603581388797372e-05
Position 380: 1.3962010780444044e-05
Position 124: 6.3606829474072365e-06
Position 154: 5.4879784693791925e-06
Position 438: 5.234110416208489e-06
Position 49: 3.989447198772248e-06
Position 520: 2.4908853277704078e-06
Position 103: 1.4183827148291968e-06
Position 32: 1.1313948330662482e-06
Position 481: 1.006167294785528e-06
Position 486: 7.472899500788642e-07
Position 222: 2.9866619028344196e-07
Position 54: 1.8817213635042562e-07
Position 189: 1.531017697626205e-07
Position 39: 7.744504562796905e-08
Position 413: 7.386070028761665e-09
Position 338: 1.1272253712917504e-10
Position 405: 1.0383837289900037e-10
Position 331: 3.751858724089549e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 15319: 1.0000000000000016
Position 6415: 0.9966026711978476
Position 3772: 0.9895296898881253
Position 16879: 0.9844762759696897
Position 20394: 0.9693879022480824
Position 6068: 0.9449489431706343
Position 5907: 0.9288569413414871
Position 20967: 0.6874866413013221
Position 7901: 0.6471708845350789
Position 21500: 0.5003640382691792
Position 17301: 0.493004622504007
Position 21193: 0.42475341562359464
Position 13838: 0.4150633094302235
Position 22221: 0.39183346235549055
Position 21229: 0.3622624225639768
Position 21434: 0.32644660162404615
Position 17279: 0.24376059328273958
Position 23006: 0.21715077993260554
Position 21161: 0.1396823358640354
Position 7712: 0.13165257384644558
Position 20850: 0.11778194320807324
Position 379: 0.1176028875275649
Position 1417: 0.11521325940771943
Position 17255: 0.11508188062365801
Position 17231: 0.0955235638435392
Position 4586: 0.08685045126652619
Position 20956: 0.08300192494998766
Position 17875: 0.06671100763806682
Position 22666: 0.060352651871917774
Position 6245: 0.04803210914853485
Position 21213: 0.0476437213620793
Position 5753: 0.04359102717147039
Position 21419: 0.042287983413524
Position 21750: 0.04129413502256623
Position 3249: 0.039961770048797904
Position 22458: 0.038973031096614805
Position 22680: 0.03765489554298195
Position 5325: 0.036902789520364666
Position 17310: 0.026237116923789296
Position 10484: 0.02621310082613959
Position 1464: 0.02459777387321258
Position 5521: 0.023174884394591443
Position 5789: 0.02295395081742311
Position 19703: 0.022547423395618858
Position 4572: 0.021049008019340086
Position 703: 0.020158029779761364
Position 21154: 0.016634333108453515
Position 7198: 0.016343715540687722
Position 5020: 0.01528507135770721
Position 21545: 0.013634040350543457
Position 894: 0.012516701158314566
Position 10383: 0.011483568339258886
Position 7632: 0.011314207753002691
Position 4949: 0.010718533430096426
Position 4531: 0.009606511252201456
Position 21825: 0.0094740539879794
Position 7268: 0.007766108003291328
Position 6204: 0.0067830399648620195
Position 6287: 0.0058933243863354854
Position 4598: 0.005673522937918062
Position 1351: 0.005596335726215521
Position 7214: 0.00436957051660632
Position 1035: 0.0041459134149730405
Position 6077: 0.003850406913043846
Position 17578: 0.0038355530618179577
Position 17492: 0.0033909353141210277
Position 21141: 0.0031321595455696388
Position 1112: 0.0031109290726486732
Position 6429: 0.0028169237699346384
Position 6254: 0.0020967119400702536
Position 1391: 0.0019477747068008477
Position 7337: 0.001761102252337815
Position 1398: 0.0015657506149586269
Position 6074: 0.0010455192255484137
Position 6088: 0.0008221662810811079
Position 6350: 0.0005657476421764232
