Gene = Thumpd1
index = 1078
Annotated 5SS: [ 288 1672 2777]
Annotated 3SS: [1496 2527 3728]
SMsplice 5SS: [ 288 2777]
SMsplice 3SS: [2527 3728]
top_k =  100
Partition function (log Z): -2.6669271740760268

Sorted 5' Splice Sites (High to Low Probability):
Position 2777: 0.9687967804299792
Position 288: 0.9661728446623253
Position 3020: 0.5001589600415967
Position 1672: 0.28731930607607714
Position 3348: 0.24428742413364024
Position 1619: 0.05734606701269624
Position 933: 0.057331637905692755
Position 3311: 0.05669116185259987
Position 3008: 0.04505779513771847
Position 1763: 0.01791518866776291
Position 3263: 0.01777879604246653
Position 272: 0.01720821924999276
Position 561: 0.016283179821380746
Position 224: 0.009280263781813066
Position 1953: 0.008893070242338796
Position 1942: 0.007166724231491904
Position 1009: 0.0057143166308622146
Position 2417: 0.004765551780959725
Position 3952: 0.004598838065982391
Position 257: 0.004568064995499338
Position 3656: 0.004374408499274901
Position 952: 0.004339260933041622
Position 565: 0.003144144060246798
Position 837: 0.0029703291448340383
Position 332: 0.0027508296947123226
Position 1572: 0.0018848274380095036
Position 317: 6.870306858229988e-06
Position 148: 6.254466787301588e-06
Position 432: 2.7279297999958286e-06
Position 363: 1.8054693529115389e-06
Position 48: 5.187003008362902e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 2527: 0.9367995078095341
Position 3728: 0.9194625738670631
Position 2869: 0.49111247279407116
Position 1496: 0.33651832178426705
Position 3229: 0.18960070395869844
Position 3204: 0.12013461419610012
Position 4346: 0.05218220170501646
Position 2559: 0.03990576328410765
Position 2897: 0.035161699084167594
Position 840: 0.033224627366576574
Position 910: 0.01844342395692422
Position 2909: 0.01786846046392821
Position 462: 0.016393976012235578
Position 1503: 0.013930167335050361
Position 1736: 0.013036443963476047
Position 643: 0.012607553541394067
Position 3115: 0.0106888216329452
Position 5549: 0.008482757641490878
Position 1810: 0.007904826636721426
Position 3538: 0.00524768773510959
Position 3281: 0.00490714199068676
Position 2170: 0.004765551780959725
Position 4578: 0.004615277014234136
Position 845: 0.004450270143697758
Position 3852: 0.004188437234563726
Position 1539: 0.003136966026925477
Position 1532: 0.002813430255324683
Position 1528: 0.002178952067159997
Position 522: 0.0017994722486449637
Position 405: 0.001656789107490332
Position 689: 0.0013828905237268465
Position 1733: 0.0013024638118507026
Position 913: 0.000285291216135925
Position 2420: 0.000222532155801569
Position 487: 0.00016820954935700778
Position 668: 0.00011873685204752606
Position 795: 0.00011715065861014385
