Gene = Cxcl17
index = 310
Annotated 5SS: [  185 10030 10738]
Annotated 3SS: [ 9948 10635 12441]
SMsplice 5SS: [  185 10030]
SMsplice 3SS: [ 9948 12441]
top_k =  100
Partition function (log Z): -9.03256448066111

Sorted 5' Splice Sites (High to Low Probability):
Position 185: 0.9998976756482951
Position 10030: 0.8963807850041535
Position 10738: 0.3804135842572657
Position 10800: 0.02285786224361064
Position 1032: 0.0005100933012935095
Position 1027: 0.0004860638063439844
Position 361: 0.00038475753906937914
Position 827: 0.000364792454847923
Position 516: 0.0001437355115985157
Position 1633: 9.771466270812329e-05
Position 802: 7.823302936834686e-06
Position 337: 5.131074983003843e-06
Position 454: 2.379876584431307e-06
Position 64: 4.0187918994491235e-08
Position 163: 2.8715357032840722e-08
Position 145: 2.5391475337819584e-08
Position 156: 8.536084544028056e-09
Position 135: 1.8051174430963259e-09
Position 36: 2.0195981266974885e-10
Position 13: 1.4697519568496153e-10
Position 245: 2.433550012507402e-11
Position 249: 1.3039958526586202e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 12441: 0.9155529679539849
Position 9948: 0.9028352294419566
Position 10635: 0.3480664607772317
Position 10413: 0.07858897389847588
Position 12046: 0.019684763469947367
Position 285: 0.013452507193026009
Position 10310: 0.007618968615597768
Position 1115: 0.0032206286992124866
Position 10340: 0.002618204309794138
Position 1788: 0.0010182903661642994
Position 909: 0.0008249851657893491
Position 4996: 0.0007802205649875722
Position 1490: 0.0005790852273464088
Position 6456: 0.0005192929241254747
Position 7329: 0.0005089981750057087
Position 2055: 0.00047049039851289115
Position 4224: 0.0004570585942613568
Position 5220: 0.0004304734236921562
Position 4318: 0.00041486852917594567
Position 938: 0.0004006733272197434
Position 2340: 0.0003383702796251543
Position 337: 0.0003024047538197435
Position 3944: 0.00027864625814050725
Position 906: 0.0002777073415521581
Position 281: 0.0002561550565366406
Position 1921: 0.0002505231706884408
Position 2099: 0.00024814513781351257
Position 586: 0.00019400982397918464
Position 300: 0.00019195951910883451
Position 1340: 0.0001703848477843404
Position 3107: 0.00014983950540129457
Position 633: 0.00014485047319876795
Position 2239: 0.00012405813050565877
Position 974: 0.00011142959992576809
Position 1320: 0.00010962847835498102
Position 1667: 9.731492738220796e-05
Position 404: 8.683873217191332e-05
Position 950: 7.310073843670684e-05
Position 1276: 4.3350898542217455e-05
Position 304: 2.4913921772450964e-05
Position 604: 1.0580635014134123e-05
Position 686: 8.487908401985344e-06
Position 717: 5.067970021474218e-06
Position 663: 4.1624687762476815e-06
Position 503: 4.103513211693179e-06
Position 640: 1.7272078295599147e-06
Position 791: 7.567154974964959e-07
Position 556: 4.5420246548202726e-07
Position 384: 2.1694919654404176e-07
Position 360: 1.1312337892424072e-07
Position 352: 6.036192043386344e-08
