Gene = Ppcdc
index = 843
Annotated 5SS: [  46 2699 5213]
Annotated 3SS: [ 2632  5029 41269]
SMsplice 5SS: [   46  2699  5213 19953 25030]
SMsplice 3SS: [ 2632  5029 19823 24860 36605]
top_k =  100
Partition function (log Z): -18.90428725306329

Sorted 5' Splice Sites (High to Low Probability):
Position 2699: 0.9626449157205649
Position 5213: 0.9577832555720028
Position 46: 0.6850887568867048
Position 3958: 0.4429495741615774
Position 2118: 0.42172261451417853
Position 5797: 0.3317418553684271
Position 6515: 0.21342261414665403
Position 4853: 0.19386013189610504
Position 443: 0.17480964150540385
Position 2997: 0.1655970303101096
Position 1342: 0.13767636896911223
Position 1002: 0.12141406259095026
Position 2123: 0.12139812430311679
Position 7118: 0.08597885387428879
Position 4010: 0.07952985164400264
Position 298: 0.07183064220625772
Position 2096: 0.06449643945265478
Position 92: 0.061650965194405896
Position 4234: 0.047562536485997696
Position 4117: 0.026214392662696144
Position 4800: 0.016189305134272577
Position 5186: 0.015136300857945147
Position 4199: 0.0126638341217867
Position 3907: 0.008955267894829757
Position 100: 0.0075196671856104244
Position 6527: 0.004842553087044559
Position 5337: 0.004571155173357805
Position 4270: 0.004295389810451561
Position 2683: 0.004039444050839441
Position 4347: 0.004010725449960211
Position 32: 0.0038304534055931087
Position 951: 0.0024422074942866572
Position 128: 0.0012530149619786883
Position 140: 0.0012425949841500061
Position 5826: 0.0009092353512891759
Position 124: 0.0007316294158330799
Position 912: 0.0006536128760737573
Position 79: 0.0005771782912407609
Position 118: 0.0005224502949942411
Position 174: 0.0004691119354242972
Position 148: 6.982369068192326e-05
Position 4005: 6.188943354591049e-05
Position 75: 2.2933183758721488e-05
Position 134: 1.640192264363293e-05
Position 82: 1.4601188818569334e-05
Position 162: 3.431315616667146e-07
Position 153: 1.022990408824705e-07
Position 146: 8.936128667293869e-08
Position 155: 4.417876004877667e-08
Position 176: 3.954110636120805e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 5029: 0.9918392550601005
Position 2632: 0.8514878562613069
Position 1964: 0.6032247847088934
Position 3768: 0.5057054271051178
Position 5715: 0.36718724366345856
Position 10072: 0.36376499814500945
Position 9262: 0.3300279411299447
Position 6300: 0.279438276263424
Position 4731: 0.20174760756709992
Position 2918: 0.16515225441446812
Position 6882: 0.16446080441467004
Position 1194: 0.13602927653705393
Position 2485: 0.1151965035100975
Position 4046: 0.09930278304667117
Position 752: 0.06872779676351598
Position 6386: 0.05777242726181812
Position 755: 0.0372175964717255
Position 11405: 0.02749512368503393
Position 6283: 0.02660124091103657
Position 3952: 0.02050237812304922
Position 246: 0.011718021519097196
Position 4714: 0.008301829463277207
Position 3957: 0.005288777905788686
Position 942: 0.0051067853894117944
Position 1785: 0.00439239356105825
Position 804: 0.004090668391425343
Position 226: 0.0037142888211313383
Position 911: 0.002811482798798568
Position 1251: 0.0016470924320578987
Position 5635: 0.0006265519107856874
Position 5551: 0.0006160564699483613
Position 2822: 0.00044477589564206996
Position 159: 0.00023674992958276766
Position 806: 0.00013071127299206257
Position 377: 0.00011794579390665496
Position 139: 8.190689990020837e-05
Position 314: 6.451012941238161e-05
Position 291: 6.36084149921573e-05
Position 173: 4.104175592484807e-05
Position 320: 3.725337474750772e-05
