Gene = Hddc3
index = 536
Annotated 5SS: [178]
Annotated 3SS: [6341]
SMsplice 5SS: [178]
SMsplice 3SS: [1131]
top_k =  100
Partition function (log Z): -8.870461877296766

Sorted 5' Splice Sites (High to Low Probability):
Position 178: 0.9579398111831223
Position 2151: 0.12329072547462817
Position 241: 0.04075788484010476
Position 496: 0.026360864628430212
Position 1512: 0.024402678104878343
Position 4473: 0.0197639342953914
Position 788: 0.0018356382331167396
Position 1919: 0.0009985174931190777
Position 1916: 0.0007293374968317839
Position 33: 0.0006744650225840132
Position 81: 0.0005059050467573957
Position 120: 7.880119269586405e-05
Position 1543: 6.365720748973121e-05
Position 12: 2.1633008549948372e-05
Position 245: 1.4651402750612263e-05

Sorted 3' Splice Sites (High to Low Probability):
Position 2023: 0.1431254394853956
Position 4557: 0.10394126551202576
Position 1131: 0.09956883220165008
Position 3393: 0.07585473291500616
Position 4351: 0.07556163556457804
Position 1397: 0.06733253681938972
Position 1420: 0.05323178940780666
Position 1721: 0.04831412448565703
Position 1868: 0.043672437456940154
Position 4938: 0.04188537802519852
Position 6446: 0.04066142944277414
Position 6341: 0.035913421455334646
Position 1274: 0.03587321619763032
Position 6244: 0.034461684528821986
Position 322: 0.03224814360444239
Position 326: 0.028093680273664167
Position 3745: 0.026622863039650526
Position 3557: 0.021189127412671004
Position 4986: 0.020403686785822796
Position 3278: 0.019039675621422933
Position 2749: 0.016097414190279196
Position 4258: 0.015016029187389738
Position 3028: 0.01344864220985102
Position 834: 0.010912197620089647
Position 3873: 0.010191758284386407
Position 1441: 0.00933772966058154
Position 988: 0.009307876890622405
Position 2354: 0.008396967649085325
Position 4139: 0.008186803734262369
Position 681: 0.008090081300910731
Position 2150: 0.007940074838872897
Position 1380: 0.007337473413508733
Position 2121: 0.005479356163904364
Position 396: 0.004501776456648851
Position 2254: 0.003927359724585219
Position 924: 0.003792128490692577
Position 1559: 0.0030109853371343776
Position 667: 0.0017221375096016153
Position 780: 0.001529146073087136
Position 362: 0.0009250234135878673
Position 423: 0.0007760479245955845
Position 399: 0.00020552159249179392
Position 620: 9.40782816249835e-05
Position 638: 9.185168147799721e-05
Position 683: 5.9063543925708775e-05
Position 359: 3.729906870954427e-05
Position 366: 2.858015266337777e-05
