Gene = Ost4
index = 784
Annotated 5SS: [124 390]
Annotated 3SS: [ 251 1021]
SMsplice 5SS: [124 390]
SMsplice 3SS: [ 251 1346]
top_k =  100
Partition function (log Z): -1.2383470146681652

Sorted 5' Splice Sites (High to Low Probability):
Position 124: 0.9826076983850281
Position 390: 0.9787562280511775
Position 661: 0.01976643726776169
Position 1489: 0.01934207163735485
Position 434: 0.008455265831927797
Position 119: 0.006249355720372128
Position 68: 0.004172762591271911
Position 1201: 0.0035615733707851094
Position 1438: 0.0034111795865962545
Position 1153: 0.0031182690826962907
Position 396: 0.002823527611153155
Position 86: 0.002177690707788291
Position 769: 0.00144127375636128
Position 548: 0.001156754826064051
Position 340: 0.000725603241442157
Position 702: 0.0004826822327009838
Position 630: 0.0003579931896208295
Position 82: 0.0003021596407312023
Position 1055: 0.000300120981686348
Position 1520: 0.0002783334766050417
Position 1057: 0.00022211005008049972
Position 94: 0.00021952527400836798
Position 99: 0.00013662532658077634
Position 176: 0.00012179763921135769
Position 9: 0.00010681277296249542
Position 56: 0.00010556716815057364
Position 90: 5.417287524481771e-05
Position 179: 4.0786632339092064e-05
Position 105: 1.1894925640633385e-05
Position 144: 8.17803985561764e-06
Position 369: 6.140033282946397e-06
Position 24: 5.981314173140117e-06
Position 405: 4.702933834646548e-06
Position 474: 3.4611850847080472e-06
Position 97: 3.2007788203435178e-06
Position 31: 2.9845631610226974e-06
Position 300: 2.208468997473061e-06
Position 790: 1.3270432034060761e-06
Position 213: 8.847359415073731e-07
Position 198: 1.2804282952038665e-07
Position 1399: 7.497343272757257e-08
Position 217: 4.695651253567109e-08
Position 34: 4.907558426997886e-10
Position 319: 2.051374242017869e-11
Position 298: 1.3230237507029852e-11
Position 265: 1.1784592330842785e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 251: 0.9892040365260841
Position 1346: 0.9205202439878878
Position 1021: 0.06607637190997152
Position 561: 0.009345531456036834
Position 1100: 0.008057875860349614
Position 1567: 0.007756460819635036
Position 538: 0.006792496246788972
Position 1736: 0.004970528134734019
Position 463: 0.00492334227969137
Position 629: 0.004166556796644586
Position 1467: 0.0025282330762314226
Position 1538: 0.0021267701152407384
Position 1803: 0.0018416967266668366
Position 1891: 0.0014363934317238548
Position 1604: 0.001425178584239388
Position 637: 0.0012806607759852028
Position 1361: 0.0011662712741264147
Position 592: 0.0011404624538803498
Position 1740: 0.0007111109306304483
Position 1029: 0.0007110011213995279
Position 1646: 0.0006119549152207889
Position 1810: 0.0005740131092849997
Position 1153: 0.00036591901012474076
Position 1842: 0.00034219151726777987
Position 270: 0.0002972648607558936
Position 1372: 0.00029649968637144127
Position 389: 0.0002558996870308093
Position 1788: 0.00025222738121555706
Position 826: 0.00024545366467620695
Position 1858: 0.00022414285901756456
Position 1898: 0.00021490523443289464
Position 1569: 0.00019516459896222314
Position 1667: 0.00018992755713040922
Position 1630: 0.00015891878515359624
Position 474: 0.00012729169296960544
Position 232: 4.520523940940797e-06
Position 340: 3.612431345412042e-06
Position 1390: 1.6377166834742265e-06
Position 1419: 7.793263714715396e-07
Position 198: 6.491359752682043e-07
Position 226: 5.07160945292844e-07
Position 152: 4.0829917237093413e-07
Position 360: 2.1635587363293068e-07
Position 1309: 1.5715998624756826e-07
Position 204: 3.312866120277519e-08
Position 357: 2.690703459468784e-08
Position 210: 2.419759527656459e-08
Position 202: 8.359814392389507e-09
Position 354: 7.931791253177796e-09
Position 206: 4.067530022535687e-09
Position 213: 3.6884746500880943e-09
