Gene = AI593442
index = 88
Annotated 5SS: [198]
Annotated 3SS: [1262]
SMsplice 5SS: [198]
SMsplice 3SS: [1262]
top_k =  100
Partition function (log Z): -8.932282468842802

Sorted 5' Splice Sites (High to Low Probability):
Position 198: 0.9333700064535383
Position 2726: 0.25187702746954965
Position 2526: 0.1346569344079775
Position 492: 0.08359719189963677
Position 263: 0.06646165375680538
Position 1649: 0.027218660371580758
Position 774: 0.003149756158933391
Position 1127: 0.003011505218168246
Position 2272: 0.00170775971747022
Position 1626: 0.0015673489655162072
Position 2093: 0.0015092237521219566
Position 211: 2.1474009367295627e-05
Position 188: 8.128547699885488e-06
Position 122: 6.916189242744635e-07
Position 115: 4.6749075568041347e-07
Position 208: 3.887858937157807e-07
Position 78: 2.1521640136302944e-07
Position 135: 1.8427074811571074e-07
Position 329: 1.2981200405081005e-07
Position 370: 3.7354981908794404e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 2415: 0.2217295520061721
Position 3374: 0.21942806042887938
Position 2635: 0.20589332102851407
Position 3262: 0.18253769857015742
Position 1262: 0.15129703936212255
Position 6583: 0.09384691267321368
Position 2604: 0.08828754167446536
Position 362: 0.07057406619708868
Position 4477: 0.051727763254055106
Position 2777: 0.03165921808378585
Position 289: 0.027718622347756433
Position 3528: 0.021976635407454564
Position 5790: 0.01898944519472859
Position 535: 0.013850394303617935
Position 447: 0.012437789639469558
Position 4628: 0.011148564094044177
Position 1987: 0.009686196649321925
Position 1494: 0.009322452712560846
Position 2142: 0.008022654147436708
Position 2455: 0.007966999296167758
Position 1464: 0.007154989905783394
Position 2018: 0.006881008432897811
Position 2980: 0.006546914138001446
Position 3627: 0.004739821516251579
Position 663: 0.0043253716649591595
Position 1759: 0.004149822595075251
Position 1499: 0.003865613279089049
Position 1648: 0.0029295460917240267
Position 1515: 0.0016419082524606837
Position 1587: 0.0016237743154563613
Position 1043: 0.001601992123455371
Position 334: 0.0012934729031200288
Position 467: 0.0011175498456260744
Position 995: 0.0008262176591618907
Position 919: 0.0004420950359142174
Position 650: 0.00029997186534236575
Position 815: 0.00011887754893833566
Position 398: 0.00010523574774601467
Position 671: 9.837932209621506e-05
Position 339: 7.18081033997147e-05
Position 640: 6.758215857720075e-05
Position 303: 5.567617154075577e-05
Position 731: 3.914870262229626e-05
Position 667: 3.256920202288538e-05
Position 370: 2.8511625798755723e-05
