Gene = Bard1
index = 168
Annotated 5SS: [  479 13676 15038 28604 36039 37668 49534 55507 56469 71788]
Annotated 3SS: [13618 14894 27665 35957 37494 49424 55373 56375 71689 72293]
SMsplice 5SS: [  479 15038 32367 37668 49534 55507 56469 70300]
SMsplice 3SS: [14923 32267 37494 49424 55373 56375 70073 72293]
top_k =  100
Partition function (log Z): -40.04428629327941

Sorted 5' Splice Sites (High to Low Probability):
Position 479: 0.9534088573576114
Position 4503: 0.2900722956905594
Position 658: 0.20335833305406564
Position 297: 0.11472588059770741
Position 5989: 0.06242168945368154
Position 4452: 0.04097799236500606
Position 285: 0.01882887314448646
Position 3175: 0.016993882821003132
Position 23: 0.0033877994058093435
Position 77: 0.0023546889388522335
Position 360: 0.00040018312190907824
Position 194: 0.00029360198537804576
Position 243: 0.00016060351477955435
Position 101: 9.849082322486017e-05
Position 179: 5.1874845224779176e-05
Position 333: 4.776309052306723e-05
Position 68: 1.1000984896738367e-05
Position 210: 9.448481536313328e-06
Position 220: 4.055584589880883e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 4314: 0.5186290513371571
Position 4872: 0.38344221316985205
Position 6081: 0.15749084416725845
Position 554: 0.11334956131213313
Position 430: 0.08683721909291663
Position 5872: 0.08149305864906231
Position 569: 0.04827645397199193
Position 3133: 0.044066462852175844
Position 1215: 0.03954152613091082
Position 6590: 0.03736226340635897
Position 377: 0.034398296340917
Position 1274: 0.028313366013365867
Position 787: 0.013563697246641313
Position 605: 0.011988851217267976
Position 3051: 0.011850087770780912
Position 2846: 0.009910152781672735
Position 657: 0.009771930182850353
Position 5906: 0.008130310923353451
Position 401: 0.007172495048576561
Position 2297: 0.006847126564344162
Position 3092: 0.006837888848110397
Position 2877: 0.005630027669339308
Position 2416: 0.005480456766750289
Position 3071: 0.005447244400092218
Position 1034: 0.0047263715380850896
Position 3114: 0.004662085354079686
Position 1813: 0.003872855713313859
Position 3174: 0.00350427637325011
Position 2152: 0.0034239532987955018
Position 226: 0.003153514000926993
Position 790: 0.0029663519211697094
Position 3095: 0.0022795191518028258
Position 2340: 0.0020043661042798374
Position 938: 0.0009640757757894509
Position 358: 0.00012502593617195456
Position 631: 2.7901487795851393e-05
Position 455: 1.857431981385844e-05
Position 458: 1.768248996216096e-05
Position 240: 5.3748033835843755e-06
Position 210: 5.149536185322601e-06
Position 167: 4.960272540386474e-06
Position 543: 4.300417171508883e-06
Position 257: 3.6537504071440916e-06
Position 534: 2.089967136005284e-06
Position 272: 1.53964470801965e-06
Position 275: 1.3068842613784233e-06
Position 234: 8.331314747565127e-07
Position 189: 6.651060695802089e-07
Position 155: 3.024183906852709e-07
